Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.199698,[369 112] ; [ 72 100],[324.84073507 156.15926493] ; [116.15926493  55.84073507],1
d3,1,0.0,59.276992,[382 100] ; [83 89],[342.70642202 139.29357798] ; [122.29357798  49.70642202],1
a2,1,0.0,32.260346,[147 335] ; [ 15 157],[119.39449541 362.60550459] ; [ 42.60550459 129.39449541],1
u1,1,2e-06,22.234591,[113 369] ; [ 12 160],[ 92.12538226 389.87461774] ; [ 32.87461774 139.12538226],1
b5,1,5e-06,20.960555,[312 170] ; [77 95],[286.6941896 195.3058104] ; [102.3058104  69.6941896],1
u3,1,0.000312,12.995227,[78 51] ; [14 33],[67.43181818 61.56818182] ; [24.56818182 22.43181818],1
r4,1,0.000527,12.017609,[451  31] ; [146  26],[439.99082569  42.00917431] ; [157.00917431  14.99082569],1
r1,1,0.001324,10.308603,[401  77] ; [125  47],[386.81230769  91.18769231] ; [139.18769231  32.81230769],0
d1,1,0.003919,8.320881,[307 175] ; [88 84],[291.11620795 190.88379205] ; [103.88379205  68.11620795],0
r3,1,0.007728,7.095398,[466  12] ; [160  12],[460.35076923  17.64923077] ; [165.64923077   6.35076923],0
p4,1,0.028126,4.820303,[328 152] ; [101  70],[316.31336406 163.68663594] ; [112.68663594  58.31336406],0
r2,1,0.030986,4.653747,[457  19] ; [156  14],[451.68421053  24.31578947] ; [161.31578947   8.68421053],0
d4,1,0.040621,4.191741,[408  74] ; [133  38],[399.32924962  82.67075038] ; [141.67075038  29.32924962],0
b1,1,0.042968,4.096651,[155 327] ; [ 70 102],[165.82568807 316.17431193] ; [ 59.17431193 112.82568807],0
v2,1,0.047389,3.931507,[277 187] ; [86 83],[266.08530806 197.91469194] ; [96.91469194 72.08530806],0
d5,1,0.056096,3.649217,[406  76] ; [133  38],[397.85298622  84.14701378] ; [141.14701378  29.85298622],0
v4,1,0.05889,3.568382,[466  13] ; [162  10],[462.07680492  16.92319508] ; [165.92319508   6.07680492],0
n5,1,0.078904,3.087332,[380  99] ; [147  25],[387.76190476  91.23809524] ; [139.23809524  32.76190476],0
n2,1,0.130484,2.286732,[72 21] ; [28 15],[68.38235294 24.61764706] ; [31.61764706 11.38235294],0
b4,1,0.15297,2.042384,[288 194] ; [92 80],[280.06116208 201.93883792] ; [99.93883792 72.06116208],0
b3,1,0.154296,2.029262,[104 178] ; [50 62],[110.22335025 171.77664975] ; [43.77664975 68.22335025],0
b2,1,0.154296,2.029262,[104 178] ; [50 62],[110.22335025 171.77664975] ; [43.77664975 68.22335025],0
u2,1,0.169134,1.890605,[70 59] ; [20 27],[65.96590909 63.03409091] ; [24.03409091 22.96590909],0
