Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9.1e-05,15.310643,[30  9] ; [ 4 14],[23.26315789 15.73684211] ; [10.73684211  7.26315789],1
n5,1,0.000103,15.087755,[28 11] ; [ 3 15],[21.21052632 17.78947368] ; [9.78947368 8.21052632],1
s7,1,0.036028,4.395764,[18 20] ; [ 3 14],[14.50909091 23.49090909] ; [ 6.49090909 10.50909091],0
v4,1,0.052687,3.75381,[38  1] ; [15  3],[36.26315789  2.73684211] ; [16.73684211  1.26315789],0
r2,1,0.055327,3.672203,[36  2] ; [14  4],[33.92857143  4.07142857] ; [16.07142857  1.92857143],0
a7,1,0.069768,3.288462,[29 10] ; [9 9],[26. 13.] ; [12.  6.],0
d3,1,0.143058,2.14475,[31  8] ; [11  7],[28.73684211 10.26315789] ; [13.26315789  4.73684211],0
a5,1,0.16179,1.957418,[27 12] ; [9 9],[24.63157895 14.36842105] ; [11.36842105  6.63157895],0
v1,1,0.166758,1.91185,[16 23] ; [ 4 14],[13.68421053 25.31578947] ; [ 6.31578947 11.68421053],0
p2,1,0.198181,1.655729,[32  7] ; [12  6],[30.10526316  8.89473684] ; [13.89473684  4.10526316],0
a3,1,0.218707,1.512836,[22 17] ; [ 7 11],[19.84210526 19.15789474] ; [9.15789474 8.84210526],0
b5,1,0.229573,1.443506,[26 13] ; [9 9],[23.94736842 15.05263158] ; [11.05263158  6.94736842],0
a4,1,0.287294,1.132259,[ 9 30] ; [ 2 16],[ 7.52631579 31.47368421] ; [ 3.47368421 14.52631579],0
a2,1,0.293279,1.104505,[ 6 33] ; [ 1 17],[ 4.78947368 34.21052632] ; [ 2.21052632 15.78947368],0
d2,1,0.293728,1.102454,[21 18] ; [ 7 11],[19.15789474 19.84210526] ; [8.84210526 9.15789474],0
d1,1,0.305945,1.048101,[23 16] ; [ 8 10],[21.21052632 17.78947368] ; [9.78947368 8.21052632],0
p10,1,0.335142,0.928928,[16 23] ; [ 5 13],[14.36842105 24.63157895] ; [ 6.63157895 11.36842105],0
u3,1,0.39033,0.737913,[8 9] ; [7 4],[9.10714286 7.89285714] ; [5.89285714 5.10714286],0
p6,1,0.403848,0.696839,[13 24] ; [8 9],[14.38888889 22.61111111] ; [ 6.61111111 10.38888889],0
s6,1,0.417882,0.656265,[21 17] ; [12  6],[22.39285714 15.60714286] ; [10.60714286  7.39285714],0
s8,1,0.46915,0.523977,[12 26] ; [ 4 14],[10.85714286 27.14285714] ; [ 5.14285714 12.85714286],0
a8,1,0.524324,0.405381,[ 4 29] ; [ 1 15],[ 3.36734694 29.63265306] ; [ 1.63265306 14.36734694],0
r4,1,0.543431,0.369217,[31  8] ; [13  5],[30.10526316  8.89473684] ; [13.89473684  4.10526316],0
p1,1,0.559778,0.340089,[ 4 35] ; [ 1 17],[ 3.42105263 35.57894737] ; [ 1.57894737 16.42105263],0
u2,1,0.57649,0.311943,[9 8] ; [7 4],[9.71428571 7.28571429] ; [6.28571429 4.71428571],0
s4,1,0.587906,0.293627,[ 6 31] ; [ 4 14],[ 6.72727273 30.27272727] ; [ 3.27272727 14.72727273],0
v2,1,0.631235,0.23039,[19 20] ; [10  8],[19.84210526 19.15789474] ; [9.15789474 8.84210526],0
b3,1,0.645845,0.211178,[ 3 19] ; [2 8],[ 3.4375 18.5625] ; [1.5625 8.4375],0
b2,1,0.645845,0.211178,[ 3 19] ; [2 8],[ 3.4375 18.5625] ; [1.5625 8.4375],0
p11,1,0.651512,0.203999,[22 17] ; [9 9],[21.21052632 17.78947368] ; [9.78947368 8.21052632],0
s3,1,0.7639,0.090218,[20 19] ; [10  8],[20.52631579 18.47368421] ; [9.47368421 8.52631579],0
n2,1,0.770335,0.085227,[9 2] ; [3 1],[8.8 2.2] ; [3.2 0.8],0
v3,1,0.77264,0.083477,[13 26] ; [ 5 12],[12.53571429 26.46428571] ; [ 5.46428571 11.53571429],0
p4,1,0.79801,0.065497,[24 14] ; [12  6],[24.42857143 13.57142857] ; [11.57142857  6.42857143],0
s2,1,0.837648,0.041985,[18 20] ; [ 8 10],[17.64285714 20.35714286] ; [8.35714286 9.64285714],0
s5,1,0.838977,0.041291,[ 7 30] ; [ 3 15],[ 6.72727273 30.27272727] ; [ 3.27272727 14.72727273],0
a6,1,0.850446,0.035551,[25 14] ; [12  6],[25.31578947 13.68421053] ; [11.68421053  6.31578947],0
r1,1,0.864782,0.028999,[29 10] ; [13  5],[28.73684211 10.26315789] ; [13.26315789  4.73684211],0
n3,1,0.875996,0.024351,[6 5] ; [2 2],[5.86666667 5.13333333] ; [2.13333333 1.86666667],0
n1,1,0.875996,0.024351,[6 5] ; [2 2],[5.86666667 5.13333333] ; [2.13333333 1.86666667],0
b4,1,0.878519,0.023362,[23 16] ; [11  7],[23.26315789 15.73684211] ; [10.73684211  7.26315789],0
b1,1,0.878519,0.023362,[23 16] ; [11  7],[23.26315789 15.73684211] ; [10.73684211  7.26315789],0
d4,1,0.943011,0.00511,[30  9] ; [14  4],[30.10526316  8.89473684] ; [13.89473684  4.10526316],0
p7,1,0.959642,0.002561,[29  8] ; [14  4],[28.92727273  8.07272727] ; [14.07272727  3.92727273],0
d5,1,0.973375,0.001114,[28 11] ; [13  5],[28.05263158 10.94736842] ; [12.94736842  5.05263158],0
p3,1,0.9836,0.000423,[17 21] ; [ 8 10],[16.96428571 21.03571429] ; [8.03571429 9.96428571],0
