Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.006918,7.294039,[ 5 17] ; [16 10],[ 9.625 12.375] ; [11.375 14.625],0
p4,1,0.026894,4.897619,[18  6] ; [12 15],[14.11764706  9.88235294] ; [15.88235294 11.11764706],0
n1,1,0.030754,4.666667,[5 2] ; [1 6],[3. 4.] ; [3. 4.],0
a6,1,0.038271,4.292929,[12 12] ; [21  6],[15.52941176  8.47058824] ; [17.47058824  9.52941176],0
b3,1,0.042205,4.126984,[10  8] ; [ 5 16],[ 6.92307692 11.07692308] ; [ 8.07692308 12.92307692],0
b2,1,0.042205,4.126984,[10  8] ; [ 5 16],[ 6.92307692 11.07692308] ; [ 8.07692308 12.92307692],0
d4,1,0.194062,1.686508,[18  6] ; [24  3],[19.76470588  4.23529412] ; [22.23529412  4.76470588],0
p8,1,0.219787,1.505758,[13 11] ; [10 17],[10.82352941 13.17647059] ; [12.17647059 14.82352941],0
s2,1,0.275633,1.188498,[17  6] ; [16 11],[15.18  7.82] ; [17.82  9.18],0
a4,1,0.283272,1.151323,[ 8 16] ; [13 14],[ 9.88235294 14.11764706] ; [11.11764706 15.88235294],0
u2,1,0.308709,1.03619,[4 3] ; [8 2],[4.94117647 2.05882353] ; [7.05882353 2.94117647],0
p2,1,0.318071,0.996863,[19  5] ; [18  9],[17.41176471  6.58823529] ; [19.58823529  7.41176471],0
n6,1,0.320645,0.986312,[17  6] ; [23  4],[18.4  4.6] ; [21.6  5.4],0
b1,1,0.322009,0.980769,[14 10] ; [12 15],[12.23529412 11.76470588] ; [13.76470588 13.23529412],0
n4,1,0.325457,0.96689,[16  7] ; [22  5],[17.48  5.52] ; [20.52  6.48],0
a7,1,0.369271,0.806117,[14 10] ; [19  8],[15.52941176  8.47058824] ; [17.47058824  9.52941176],0
s3,1,0.408083,0.68438,[17  6] ; [17 10],[15.64  7.36] ; [18.36  8.64],0
u1,1,0.422288,0.643939,[ 4 20] ; [ 7 20],[ 5.17647059 18.82352941] ; [ 5.82352941 21.17647059],0
p9,1,0.443458,0.587317,[15  9] ; [14 13],[13.64705882 10.35294118] ; [15.35294118 11.64705882],0
u4,1,0.483082,0.491898,[ 2 22] ; [ 1 26],[ 1.41176471 22.58823529] ; [ 1.58823529 25.41176471],0
p5,1,0.541566,0.372645,[ 3 21] ; [ 2 25],[ 2.35294118 21.64705882] ; [ 2.64705882 24.35294118],0
r4,1,0.541566,0.372645,[21  3] ; [25  2],[21.64705882  2.35294118] ; [24.35294118  2.64705882],0
d5,1,0.573604,0.316689,[19  5] ; [23  4],[19.76470588  4.23529412] ; [22.23529412  4.76470588],0
a8,1,0.598084,0.277895,[ 4 15] ; [ 7 18],[ 4.75 14.25] ; [ 6.25 18.75],0
a2,1,0.617935,0.24878,[ 4 20] ; [ 6 21],[ 4.70588235 19.29411765] ; [ 5.29411765 21.70588235],0
r3,1,0.623463,0.24103,[23  1] ; [25  2],[22.58823529  1.41176471] ; [25.41176471  1.58823529],0
p6,1,0.643103,0.214707,[10 13] ; [10 17],[ 9.2 13.8] ; [10.8 16.2],0
s7,1,0.67987,0.170272,[17  7] ; [17  9],[16.32  7.68] ; [17.68  8.32],0
n5,1,0.697051,0.151558,[15  8] ; [19  8],[15.64  7.36] ; [18.36  8.64],0
d2,1,0.735359,0.114247,[14 10] ; [17 10],[14.58823529  9.41176471] ; [16.41176471 10.58823529],0
p11,1,0.735359,0.114247,[14 10] ; [17 10],[14.58823529  9.41176471] ; [16.41176471 10.58823529],0
a5,1,0.748903,0.102455,[17  7] ; [18  9],[16.47058824  7.52941176] ; [18.52941176  8.47058824],0
d3,1,0.75596,0.096591,[15  9] ; [18  9],[15.52941176  8.47058824] ; [17.47058824  9.52941176],0
a3,1,0.78235,0.076319,[16  8] ; [17 10],[15.52941176  8.47058824] ; [17.47058824  9.52941176],0
b5,1,0.78235,0.076319,[16  8] ; [17 10],[15.52941176  8.47058824] ; [17.47058824  9.52941176],0
b4,1,0.78235,0.076319,[16  8] ; [17 10],[15.52941176  8.47058824] ; [17.47058824  9.52941176],0
p7,1,0.801881,0.062958,[11 13] ; [11 15],[10.56 13.44] ; [11.44 14.56],0
d1,1,0.812964,0.055981,[15  9] ; [16 11],[14.58823529  9.41176471] ; [16.41176471 10.58823529],0
s6,1,0.815431,0.054487,[18  6] ; [21  6],[18.35294118  5.64705882] ; [20.64705882  6.35294118],0
n2,1,0.832662,0.044643,[4 3] ; [5 3],[4.2 2.8] ; [4.8 3.2],0
r1,1,0.835366,0.043191,[19  5] ; [22  5],[19.29411765  4.70588235] ; [21.70588235  5.29411765],0
s4,1,0.86253,0.029982,[ 4 20] ; [ 5 22],[ 4.23529412 19.76470588] ; [ 4.76470588 22.23529412],0
u3,1,0.866815,0.028125,[7 1] ; [9 1],[7.11111111 0.88888889] ; [8.88888889 1.11111111],0
s5,1,0.88668,0.020308,[ 6 16] ; [ 7 17],[ 6.2173913 15.7826087] ; [ 6.7826087 17.2173913],0
v2,1,0.945311,0.004705,[13 10] ; [15 12],[12.88 10.12] ; [15.12 11.88],0
n3,1,1.0,0.0,[4 3] ; [4 3],[4. 3.] ; [4. 3.],0
v1,1,1.0,0.0,[12 12] ; [13 13],[12. 12.] ; [13. 13.],0
