Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000128,14.664012,[10  4] ; [11 46],[4.14084507 9.85915493] ; [16.85915493 40.14084507],1
s2,1,0.00013,14.636413,[10  5] ; [10 48],[ 4.10958904 10.89041096] ; [15.89041096 42.10958904],1
s3,1,0.000242,13.474778,[12  3] ; [16 41],[5.83333333 9.16666667] ; [22.16666667 34.83333333],1
s7,1,0.000327,12.908446,[9 6] ; [ 8 46],[ 3.69565217 11.30434783] ; [13.30434783 40.69565217],1
p7,1,0.002124,9.439447,[13  2] ; [24 33],[7.70833333 7.29166667] ; [29.29166667 27.70833333],0
p3,1,0.004686,7.996616,[9 6] ; [13 45],[ 4.52054795 10.47945205] ; [17.47945205 40.52054795],0
p4,1,0.011414,6.399653,[10  5] ; [18 40],[5.75342466 9.24657534] ; [22.24657534 35.75342466],0
p10,1,0.012702,6.21021,[13  2] ; [28 27],[8.78571429 6.21428571] ; [32.21428571 22.78571429],0
r4,1,0.019766,5.432445,[11  4] ; [23 35],[6.98630137 8.01369863] ; [27.01369863 30.98630137],0
r3,1,0.023984,5.095809,[14  1] ; [36 21],[10.41666667  4.58333333] ; [39.58333333 17.41666667],0
p11,1,0.036865,4.356631,[12  3] ; [29 29],[8.42465753 6.57534247] ; [32.57534247 25.42465753],0
p12,1,0.043498,4.075933,[ 2 13] ; [ 1 57],[ 0.61643836 14.38356164] ; [ 2.38356164 55.61643836],0
a5,1,0.058476,3.580077,[8 7] ; [16 42],[ 4.93150685 10.06849315] ; [19.06849315 38.93150685],0
v2,1,0.064195,3.425536,[6 8] ; [11 46],[ 3.35211268 10.64788732] ; [13.64788732 43.35211268],0
p9,1,0.088547,2.900597,[13  2] ; [35 20],[10.28571429  4.71428571] ; [37.71428571 17.28571429],0
a6,1,0.131553,2.274084,[10  5] ; [26 32],[7.39726027 7.60273973] ; [28.60273973 29.39726027],0
a2,1,0.133745,2.248492,[ 2 13] ; [ 2 56],[ 0.82191781 14.17808219] ; [ 3.17808219 54.82191781],0
s1,1,0.133745,2.248492,[ 2 13] ; [ 2 56],[ 0.82191781 14.17808219] ; [ 3.17808219 54.82191781],0
a3,1,0.141217,2.164652,[8 7] ; [19 39],[5.54794521 9.45205479] ; [21.45205479 36.54794521],0
b3,1,0.1524,2.048067,[1 9] ; [10 20],[2.75 7.25] ; [ 8.25 21.75],0
b2,1,0.1524,2.048067,[1 9] ; [10 20],[2.75 7.25] ; [ 8.25 21.75],0
d3,1,0.189223,1.723658,[ 1 14] ; [12 44],[ 2.74647887 12.25352113] ; [10.25352113 45.74647887],0
n1,1,0.214728,1.539263,[2 1] ; [ 7 16],[1.03846154 1.96153846] ; [ 7.96153846 15.03846154],0
n6,1,0.233648,1.418517,[12  3] ; [37 21],[10.06849315  4.93150685] ; [38.93150685 19.06849315],0
r2,1,0.252288,1.310589,[12  2] ; [41 17],[10.30555556  3.69444444] ; [42.69444444 15.30555556],0
d1,1,0.295901,1.092577,[ 1 14] ; [ 1 57],[ 0.4109589 14.5890411] ; [ 1.5890411 56.4109589],0
p6,1,0.319019,0.992964,[ 5 10] ; [12 45],[ 3.54166667 11.45833333] ; [13.45833333 43.54166667],0
b5,1,0.405577,0.69173,[7 8] ; [34 24],[8.42465753 6.57534247] ; [32.57534247 25.42465753],0
a4,1,0.408539,0.683048,[ 4 11] ; [10 48],[ 2.87671233 12.12328767] ; [11.12328767 46.87671233],0
p8,1,0.409828,0.679298,[7 8] ; [20 37],[5.625 9.375] ; [21.375 35.625],0
b4,1,0.418192,0.65539,[6 9] ; [30 28],[7.39726027 7.60273973] ; [28.60273973 29.39726027],0
n2,1,0.487561,0.481905,[3 1] ; [13 10],[2.37037037 1.62962963] ; [13.62962963  9.37037037],0
p2,1,0.538167,0.378947,[11  4] ; [37 20],[10.  5.] ; [38. 19.],0
v1,1,0.563053,0.334445,[ 5 10] ; [15 43],[ 4.10958904 10.89041096] ; [15.89041096 42.10958904],0
a8,1,0.565447,0.330361,[ 2 12] ; [ 5 50],[ 1.42028986 12.57971014] ; [ 5.57971014 49.42028986],0
p1,1,0.595717,0.281504,[ 2 13] ; [ 5 52],[ 1.45833333 13.54166667] ; [ 5.54166667 51.45833333],0
p5,1,0.596643,0.280089,[ 1 14] ; [ 2 54],[ 0.63380282 14.36619718] ; [ 2.36619718 53.63380282],0
s5,1,0.598613,0.277094,[ 1 13] ; [ 7 51],[ 1.55555556 12.44444444] ; [ 6.44444444 51.55555556],0
u2,1,0.626162,0.237302,[3 4] ; [13 26],[2.43478261 4.56521739] ; [13.56521739 25.43478261],0
v4,1,0.706447,0.141852,[11  3] ; [42 15],[10.45070423  3.54929577] ; [42.54929577 14.45070423],0
n4,1,0.71192,0.136367,[8 7] ; [34 24],[8.63013699 6.36986301] ; [33.36986301 24.63013699],0
s4,1,0.80342,0.061963,[ 3 12] ; [10 48],[ 2.67123288 12.32876712] ; [10.32876712 47.67123288],0
a7,1,0.883011,0.021654,[6 9] ; [24 33],[6.25 8.75] ; [23.75 33.25],0
u3,1,0.907366,0.01354,[2 5] ; [12 27],[2.13043478 4.86956522] ; [11.86956522 27.13043478],0
n5,1,0.943257,0.005066,[11  4] ; [42 16],[10.89041096  4.10958904] ; [42.10958904 15.89041096],0
v3,1,0.944253,0.00489,[ 2 13] ; [ 8 49],[ 2.08333333 12.91666667] ; [ 7.91666667 49.08333333],0
d2,1,0.949525,0.004007,[ 4 11] ; [15 43],[ 3.90410959 11.09589041] ; [15.09589041 42.90410959],0
n3,1,0.963482,0.002096,[3 1] ; [17  6],[2.96296296 1.03703704] ; [17.03703704  5.96296296],0
d5,1,0.980332,0.000608,[6 9] ; [23 34],[6.04166667 8.95833333] ; [22.95833333 34.04166667],0
b1,1,0.993653,6.3e-05,[7 8] ; [27 31],[6.98630137 8.01369863] ; [27.01369863 30.98630137],0
