Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,7.1e-05,15.772392,[6 5] ; [ 3 44],[1.70689655 9.29310345] ; [ 7.29310345 39.70689655],1
s6,1,0.015352,5.875593,[7 4] ; [12 35],[3.60344828 7.39655172] ; [15.39655172 31.60344828],0
p5,1,0.017307,5.664995,[3 8] ; [ 2 43],[ 0.98214286 10.01785714] ; [ 4.01785714 40.98214286],0
s3,1,0.023163,5.15625,[6 5] ; [ 9 35],[3. 8.] ; [12. 32.],0
d3,1,0.027527,4.857436,[8 3] ; [17 30],[4.74137931 6.25862069] ; [20.25862069 26.74137931],0
s2,1,0.033897,4.499893,[4 7] ; [ 5 42],[1.70689655 9.29310345] ; [ 7.29310345 39.70689655],0
b5,1,0.053187,3.738049,[8 3] ; [19 28],[5.12068966 5.87931034] ; [21.87931034 25.12068966],0
v1,1,0.061154,3.505803,[6 5] ; [12 35],[3.4137931 7.5862069] ; [14.5862069 32.4137931],0
a2,1,0.08552,2.956737,[3 8] ; [ 4 43],[1.32758621 9.67241379] ; [ 5.67241379 41.32758621],0
b3,1,0.087864,2.913073,[1 8] ; [13 18],[3.15 5.85] ; [10.85 20.15],0
b2,1,0.087864,2.913073,[1 8] ; [13 18],[3.15 5.85] ; [10.85 20.15],0
n2,1,0.10247,2.666667,[6 2] ; [10 14],[4. 4.] ; [12. 12.],0
p10,1,0.107392,2.592189,[7 4] ; [17 29],[4.63157895 6.36842105] ; [19.36842105 26.63157895],0
p4,1,0.108577,2.574816,[5 6] ; [10 36],[2.89473684 8.10526316] ; [12.10526316 33.89473684],0
p9,1,0.120296,2.413468,[7 4] ; [17 28],[4.71428571 6.28571429] ; [19.28571429 25.71428571],0
a6,1,0.121483,2.398103,[8 3] ; [22 25],[5.68965517 5.31034483] ; [24.31034483 22.68965517],0
s4,1,0.149797,2.074313,[3 8] ; [ 5 42],[1.51724138 9.48275862] ; [ 6.48275862 40.51724138],0
v2,1,0.169708,1.885522,[3 8] ; [ 5 40],[1.57142857 9.42857143] ; [ 6.42857143 38.57142857],0
p11,1,0.191301,1.707572,[5 6] ; [12 35],[3.22413793 7.77586207] ; [13.77586207 33.22413793],0
p2,1,0.226459,1.462964,[6 5] ; [16 30],[4.24561404 6.75438596] ; [17.75438596 28.24561404],0
d4,1,0.238885,1.387159,[8 3] ; [25 22],[6.25862069 4.74137931] ; [26.74137931 20.25862069],0
d1,1,0.250807,1.318805,[5 6] ; [13 34],[3.4137931 7.5862069] ; [14.5862069 32.4137931],0
p12,1,0.254552,1.298149,[ 1 10] ; [ 1 46],[ 0.37931034 10.62068966] ; [ 1.62068966 45.37931034],0
u1,1,0.254552,1.298149,[ 1 10] ; [ 1 46],[ 0.37931034 10.62068966] ; [ 1.62068966 45.37931034],0
r1,1,0.26208,1.257734,[6 5] ; [17 30],[4.36206897 6.63793103] ; [18.63793103 28.36206897],0
