Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,6.9e-05,15.847636,[58 34] ; [ 9 28],[47.78294574 44.21705426] ; [19.21705426 17.78294574],1
a6,1,0.000155,14.304506,[70 20] ; [16 21],[60.94488189 29.05511811] ; [25.05511811 11.94488189],1
u1,1,0.000159,14.264622,[32 60] ; [ 1 36],[23.53488372 68.46511628] ; [ 9.46511628 27.53488372],1
a2,1,0.000743,11.379509,[35 57] ; [ 3 34],[27.10077519 64.89922481] ; [10.89922481 26.10077519],1
d3,1,0.000882,11.059514,[75 16] ; [20 17],[67.5390625 23.4609375] ; [27.4609375  9.5390625],1
b1,1,0.03244,4.575113,[31 61] ; [20 17],[36.37209302 55.62790698] ; [14.62790698 22.37209302],0
n4,1,0.044469,4.038664,[74 18] ; [35  2],[77.73643411 14.26356589] ; [31.26356589  5.73643411],0
u3,1,0.059894,3.540305,[15  5] ; [2 4],[13.07692308  6.92307692] ; [3.92307692 2.07692308],0
p7,1,0.069923,3.284821,[66 23] ; [32  4],[69.776 19.224] ; [28.224  7.776],0
a1,1,0.086442,2.939415,[ 6 86] ; [ 6 31],[ 8.55813953 83.44186047] ; [ 3.44186047 33.55813953],0
s8,1,0.124524,2.359479,[58 32] ; [29  8],[61.65354331 28.34645669] ; [25.34645669 11.65354331],0
p12,1,0.142267,2.153267,[20 71] ; [ 4 33],[17.0625 73.9375] ; [ 6.9375 30.0625],0
s6,1,0.143644,2.138482,[82  9] ; [29  7],[79.53543307 11.46456693] ; [31.46456693  4.53543307],0
p10,1,0.154018,2.032001,[83  7] ; [31  6],[80.78740157  9.21259843] ; [33.21259843  3.78740157],0
v1,1,0.209749,1.573155,[64 28] ; [29  7],[66.84375 25.15625] ; [26.15625  9.84375],0
p1,1,0.222714,1.486799,[18 73] ; [ 4 33],[15.640625 75.359375] ; [ 6.359375 30.640625],0
p9,1,0.227739,1.454927,[82  6] ; [32  5],[80.256  7.744] ; [33.744  3.256],0
s4,1,0.228592,1.449598,[16 75] ; [10 27],[18.484375 72.515625] ; [ 7.515625 29.484375],0
d5,1,0.235291,1.408586,[76 15] ; [33  3],[78.1023622 12.8976378] ; [30.8976378  5.1023622],0
