Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.019769,5.432143,[19 51] ; [11  9],[23.33333333 46.66666667] ; [ 6.66666667 13.33333333],0
a3,1,0.040517,4.196108,[41 30] ; [18  4],[45.04301075 25.95698925] ; [13.95698925  8.04301075],0
s3,1,0.051657,3.786832,[21 50] ; [ 2 20],[17.55913978 53.44086022] ; [ 5.44086022 16.55913978],0
b1,1,0.085007,2.966472,[38 34] ; [ 7 15],[34.46808511 37.53191489] ; [10.53191489 11.46808511],0
p8,1,0.129462,2.298944,[12 59] ; [ 7 15],[14.50537634 56.49462366] ; [ 4.49462366 17.50537634],0
r2,1,0.137273,2.208261,[52 17] ; [19  2],[54.43333333 14.56666667] ; [16.56666667  4.43333333],0
v1,1,0.177841,1.815574,[13 58] ; [ 7 15],[15.2688172 55.7311828] ; [ 4.7311828 17.2688172],0
p1,1,0.189788,1.719264,[ 6 66] ; [ 4 18],[ 7.65957447 64.34042553] ; [ 2.34042553 19.65957447],0
v4,1,0.200627,1.637807,[45 27] ; [17  5],[47.4893617 24.5106383] ; [14.5106383  7.4893617],0
s4,1,0.206397,1.596524,[ 4 68] ; [ 3 19],[ 5.36170213 66.63829787] ; [ 1.63829787 20.36170213],0
b5,1,0.216945,1.524467,[37 35] ; [ 8 14],[34.46808511 37.53191489] ; [10.53191489 11.46808511],0
p9,1,0.296735,1.08881,[28 39] ; [12 10],[30.11235955 36.88764045] ; [ 9.88764045 12.11235955],0
p10,1,0.337027,0.921707,[30 40] ; [12 10],[31.95652174 38.04347826] ; [10.04347826 11.95652174],0
a2,1,0.382395,0.762987,[12 60] ; [ 2 20],[10.72340426 61.27659574] ; [ 3.27659574 18.72340426],0
d5,1,0.407949,0.684771,[42 30] ; [15  7],[43.65957447 28.34042553] ; [13.34042553  8.65957447],0
a6,1,0.419552,0.651569,[43 29] ; [11 11],[41.36170213 30.63829787] ; [12.63829787  9.36170213],0
d4,1,0.440896,0.593948,[52 20] ; [14  8],[50.55319149 21.44680851] ; [15.44680851  6.55319149],0
b3,1,0.44666,0.579114,[19 31] ; [6 6],[20.16129032 29.83870968] ; [4.83870968 7.16129032],0
b2,1,0.44666,0.579114,[19 31] ; [6 6],[20.16129032 29.83870968] ; [4.83870968 7.16129032],0
s1,1,0.4594,0.547356,[ 6 66] ; [ 3 19],[ 6.89361702 65.10638298] ; [ 2.10638298 19.89361702],0
u3,1,0.571751,0.319761,[11 20] ; [2 2],[11.51428571 19.48571429] ; [1.48571429 2.51428571],0
a1,1,0.602283,0.271567,[ 7 65] ; [ 3 19],[ 7.65957447 64.34042553] ; [ 2.34042553 19.65957447],0
d1,1,0.602927,0.270604,[34 38] ; [ 9 13],[32.93617021 39.06382979] ; [10.06382979 11.93617021],0
r1,1,0.626109,0.237374,[35 37] ; [12 10],[36. 36.] ; [11. 11.],0
r4,1,0.626109,0.237374,[37 35] ; [10 12],[36. 36.] ; [11. 11.],0
p4,1,0.669084,0.182675,[13 58] ; [ 3 18],[12.34782609 58.65217391] ; [ 3.65217391 17.34782609],0
n5,1,0.680873,0.169145,[45 26] ; [15  7],[45.80645161 25.19354839] ; [14.19354839  7.80645161],0
n2,1,0.691123,0.157872,[22 15] ; [6 3],[22.52173913 14.47826087] ; [5.47826087 3.52173913],0
p7,1,0.693203,0.15564,[20 51] ; [ 5 16],[19.29347826 51.70652174] ; [ 5.70652174 15.29347826],0
u2,1,0.702665,0.145714,[12 18] ; [2 2],[12.35294118 17.64705882] ; [1.64705882 2.35294118],0
n3,1,0.713596,0.134712,[20 15] ; [4 4],[19.53488372 15.46511628] ; [4.46511628 3.53488372],0
a5,1,0.753147,0.098906,[42 30] ; [12 10],[41.36170213 30.63829787] ; [12.63829787  9.36170213],0
a7,1,0.769792,0.085642,[40 32] ; [13  9],[40.59574468 31.40425532] ; [12.40425532  9.59574468],0
r3,1,0.792923,0.068915,[48 24] ; [14  8],[47.4893617 24.5106383] ; [14.5106383  7.4893617],0
d2,1,0.814975,0.054762,[33 37] ; [11 11],[33.47826087 36.52173913] ; [10.52173913 11.47826087],0
n4,1,0.831135,0.045474,[44 28] ; [14  8],[44.42553191 27.57446809] ; [13.57446809  8.42553191],0
n1,1,0.881235,0.022321,[17 19] ; [4 5],[16.8 19.2] ; [4.2 4.8],0
b4,1,0.884377,0.021148,[38 34] ; [12 10],[38.29787234 33.70212766] ; [11.70212766 10.29787234],0
d3,1,0.884377,0.021148,[34 38] ; [10 12],[33.70212766 38.29787234] ; [10.29787234 11.70212766],0
s2,1,0.88883,0.01954,[ 9 63] ; [ 3 19],[ 9.19148936 62.80851064] ; [ 2.80851064 19.19148936],0
s8,1,0.929817,0.007757,[ 7 65] ; [ 2 20],[ 6.89361702 65.10638298] ; [ 2.10638298 19.89361702],0
n6,1,0.932899,0.007089,[38 33] ; [12 10],[38.17204301 32.82795699] ; [11.82795699 10.17204301],0
p11,1,0.933531,0.006956,[32 40] ; [10 12],[32.17021277 39.82978723] ; [ 9.82978723 12.17021277],0
s7,1,0.954899,0.003199,[10 59] ; [ 3 17],[10.07865169 58.92134831] ; [ 2.92134831 17.07865169],0
p6,1,0.958441,0.002715,[ 3 67] ; [ 1 21],[ 3.04347826 66.95652174] ; [ 0.95652174 21.04347826],0
p3,1,0.98498,0.000354,[16 55] ; [ 5 17],[16.03225806 54.96774194] ; [ 4.96774194 17.03225806],0
a4,1,0.995741,2.8e-05,[29 42] ; [ 9 13],[29.01075269 41.98924731] ; [ 8.98924731 13.01075269],0
