Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.001898,9.645287,[3 5] ; [ 3 59],[0.68571429 7.31428571] ; [ 5.31428571 56.68571429],0
u2,1,0.029225,4.754286,[2 3] ; [18  3],[3.84615385 1.15384615] ; [16.15384615  4.84615385],0
n5,1,0.100251,2.701542,[1 6] ; [29 33],[3.04347826 3.95652174] ; [26.95652174 35.04347826],0
s6,1,0.10138,2.683703,[4 4] ; [47 14],[5.91304348 2.08695652] ; [45.08695652 15.91304348],0
a5,1,0.107463,2.591134,[7 1] ; [36 26],[4.91428571 3.08571429] ; [38.08571429 23.91428571],0
a3,1,0.13957,2.182698,[3 5] ; [40 22],[4.91428571 3.08571429] ; [38.08571429 23.91428571],0
v1,1,0.14368,2.138093,[6 2] ; [28 31],[4.05970149 3.94029851] ; [29.94029851 29.05970149],0
v2,1,0.156173,2.010892,[6 2] ; [27 29],[4.125 3.875] ; [28.875 27.125],0
b5,1,0.167493,1.905242,[3 5] ; [39 23],[4.8 3.2] ; [37.2 24.8],0
v3,1,0.167818,1.902324,[4 4] ; [15 42],[2.33846154 5.66153846] ; [16.66153846 40.33846154],0
p7,1,0.18317,1.771716,[2 5] ; [32 26],[3.66153846 3.33846154] ; [30.33846154 27.66153846],0
p4,1,0.187239,1.739212,[5 2] ; [28 34],[3.34782609 3.65217391] ; [29.65217391 32.34782609],0
a4,1,0.189638,1.72043,[4 4] ; [17 45],[2.4 5.6] ; [18.6 43.4],0
p11,1,0.19859,1.652717,[3 5] ; [38 24],[4.68571429 3.31428571] ; [36.31428571 25.68571429],0
s8,1,0.211416,1.561704,[2 6] ; [30 32],[3.65714286 4.34285714] ; [28.34285714 33.65714286],0
p8,1,0.21376,1.545773,[4 3] ; [20 40],[2.50746269 4.49253731] ; [21.49253731 38.50746269],0
n4,1,0.243267,1.361562,[2 6] ; [29 33],[3.54285714 4.45714286] ; [27.45714286 34.54285714],0
s4,1,0.284989,1.143145,[1 7] ; [19 43],[2.28571429 5.71428571] ; [17.71428571 44.28571429],0
d2,1,0.336487,0.92377,[4 4] ; [20 41],[2.7826087 5.2173913] ; [21.2173913 39.7826087],0
a2,1,0.357467,0.846774,[2 6] ; [ 8 54],[1.14285714 6.85714286] ; [ 8.85714286 53.14285714],0
d4,1,0.369251,0.806182,[6 2] ; [53  8],[6.84057971 1.15942029] ; [52.15942029  8.84057971],0
p6,1,0.426814,0.631477,[3 4] ; [17 43],[2.08955224 4.91044776] ; [17.91044776 42.08955224],0
r4,1,0.458527,0.549489,[7 1] ; [47 15],[6.17142857 1.82857143] ; [47.82857143 14.17142857],0
a6,1,0.482101,0.494106,[6 2] ; [38 23],[5.10144928 2.89855072] ; [38.89855072 22.10144928],0
p3,1,0.494889,0.465879,[2 5] ; [26 36],[2.84057971 4.15942029] ; [25.15942029 36.84057971],0
a7,1,0.50157,0.451613,[6 2] ; [39 23],[5.14285714 2.85714286] ; [39.85714286 22.14285714],0
r1,1,0.502227,0.450226,[5 3] ; [45 16],[5.79710145 2.20289855] ; [44.20289855 16.79710145],0
b1,1,0.56154,0.337045,[5 3] ; [32 30],[4.22857143 3.77142857] ; [32.77142857 29.22857143],0
b4,1,0.681394,0.168561,[5 3] ; [34 28],[4.45714286 3.54285714] ; [34.54285714 27.45714286],0
s5,1,0.705765,0.142544,[2 6] ; [18 39],[2.46153846 5.53846154] ; [17.53846154 39.46153846],0
d3,1,0.722358,0.126244,[6 2] ; [42 19],[5.56521739 2.43478261] ; [42.43478261 18.56521739],0
p2,1,0.842733,0.039362,[5 2] ; [42 20],[4.76811594 2.23188406] ; [42.23188406 19.76811594],0
s7,1,0.853056,0.034307,[4 3] ; [31 27],[3.76923077 3.23076923] ; [31.23076923 26.76923077],0
d1,1,0.863424,0.02959,[4 4] ; [33 29],[4.22857143 3.77142857] ; [32.77142857 29.22857143],0
p9,1,0.914322,0.011575,[5 2] ; [44 16],[5.11940299 1.88059701] ; [43.88059701 16.11940299],0
p10,1,0.937699,0.006109,[5 2] ; [42 18],[4.91044776 2.08955224] ; [42.08955224 17.91044776],0
