Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.011645,6.364201,[8 3] ; [ 8 20],[4.51282051 6.48717949] ; [11.48717949 16.51282051],0
s8,1,0.011863,6.331169,[7 4] ; [ 6 22],[3.66666667 7.33333333] ; [ 9.33333333 18.66666667],0
r1,1,0.021447,5.290081,[8 3] ; [ 9 19],[4.79487179 6.20512821] ; [12.20512821 15.79487179],0
p4,1,0.021447,5.290081,[8 3] ; [ 9 19],[4.79487179 6.20512821] ; [12.20512821 15.79487179],0
p3,1,0.023608,5.123182,[7 4] ; [ 7 21],[3.94871795 7.05128205] ; [10.05128205 17.94871795],0
s6,1,0.033852,4.502188,[8 2] ; [11 16],[5.13513514 4.86486486] ; [13.86486486 13.13513514],0
p9,1,0.051289,3.798825,[9 1] ; [15 12],[6.48648649 3.51351351] ; [17.51351351  9.48648649],0
p2,1,0.069086,3.304595,[9 2] ; [14 14],[6.48717949 4.51282051] ; [16.51282051 11.48717949],0
r4,1,0.07197,3.237498,[7 4] ; [ 9 19],[4.51282051 6.48717949] ; [11.48717949 16.51282051],0
v1,1,0.091696,2.844341,[6 5] ; [ 7 20],[3.76315789 7.23684211] ; [ 9.23684211 17.76315789],0
p12,1,0.098174,2.734966,[2 8] ; [ 1 27],[0.78947368 9.21052632] ; [ 2.21052632 25.78947368],0
b4,1,0.133505,2.251265,[6 5] ; [22  6],[7.8974359 3.1025641] ; [20.1025641  7.8974359],0
s5,1,0.156526,2.007475,[4 7] ; [ 4 22],[2.37837838 8.62162162] ; [ 5.62162162 20.37837838],0
u3,1,0.170904,1.875,[2 1] ; [3 9],[1. 2.] ; [4. 8.],0
s4,1,0.197149,1.663371,[3 8] ; [ 3 25],[1.69230769 9.30769231] ; [ 4.30769231 23.69230769],0
n5,1,0.21706,1.523701,[7 4] ; [23  5],[8.46153846 2.53846154] ; [21.53846154  6.46153846],0
p6,1,0.24061,1.377014,[4 7] ; [ 5 22],[2.60526316 8.39473684] ; [ 6.39473684 20.60526316],0
r3,1,0.248313,1.332772,[10  1] ; [20  7],[8.68421053 2.31578947] ; [21.31578947  5.68421053],0
b3,1,0.266217,1.236135,[3 4] ; [ 4 15],[1.88461538 5.11538462] ; [ 5.11538462 13.88461538],0
b2,1,0.266217,1.236135,[3 4] ; [ 4 15],[1.88461538 5.11538462] ; [ 5.11538462 13.88461538],0
p10,1,0.269818,1.21767,[8 2] ; [17 11],[6.57894737 3.42105263] ; [18.42105263  9.57894737],0
a5,1,0.27377,1.197761,[8 3] ; [15 13],[6.48717949 4.51282051] ; [16.51282051 11.48717949],0
d2,1,0.283232,1.151515,[7 4] ; [12 15],[5.5 5.5] ; [13.5 13.5],0
p11,1,0.285735,1.13961,[9 2] ; [18 10],[7.61538462 3.38461538] ; [19.38461538  8.61538462],0
p5,1,0.306535,1.045547,[2 9] ; [ 2 26],[1.12820513 9.87179487] ; [ 2.87179487 25.12820513],0
b1,1,0.333305,0.936013,[4 7] ; [15 13],[5.35897436 5.64102564] ; [13.64102564 14.35897436],0
v3,1,0.336449,0.923914,[4 7] ; [ 6 22],[2.82051282 8.17948718] ; [ 7.17948718 20.82051282],0
a3,1,0.368005,0.81039,[8 3] ; [16 12],[6.76923077 4.23076923] ; [17.23076923 10.76923077],0
d4,1,0.383281,0.760151,[9 2] ; [19  9],[7.8974359 3.1025641] ; [20.1025641  7.8974359],0
b5,1,0.387145,0.74789,[5 6] ; [17 11],[6.20512821 4.79487179] ; [15.79487179 12.20512821],0
d3,1,0.442068,0.590909,[7 4] ; [14 14],[5.92307692 5.07692308] ; [15.07692308 12.92307692],0
s1,1,0.48192,0.494516,[ 1 10] ; [ 1 27],[ 0.56410256 10.43589744] ; [ 1.43589744 26.56410256],0
r2,1,0.49478,0.466115,[5 6] ; [15 11],[5.94594595 5.05405405] ; [14.05405405 11.94594595],0
a7,1,0.509966,0.434137,[6 5] ; [12 16],[5.07692308 5.92307692] ; [12.92307692 15.07692308],0
n1,1,0.621014,0.244444,[1 2] ; [4 4],[1.36363636 1.63636364] ; [3.63636364 4.36363636],0
n2,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
v2,1,0.648133,0.208262,[6 5] ; [13 15],[5.35897436 5.64102564] ; [13.64102564 14.35897436],0
a6,1,0.648133,0.208262,[6 5] ; [13 15],[5.35897436 5.64102564] ; [13.64102564 14.35897436],0
n4,1,0.696681,0.151948,[8 3] ; [22  6],[8.46153846 2.53846154] ; [21.53846154  6.46153846],0
d1,1,0.710644,0.137634,[4 7] ; [12 16],[4.51282051 6.48717949] ; [11.48717949 16.51282051],0
s2,1,0.7437,0.106901,[3 7] ; [10 18],[3.42105263 6.57894737] ; [ 9.57894737 18.42105263],0
s7,1,0.763208,0.090764,[4 6] ; [ 9 17],[3.61111111 6.38888889] ; [ 9.38888889 16.61111111],0
u2,1,0.770335,0.085227,[1 2] ; [3 9],[0.8 2.2] ; [3.2 8.8],0
a8,1,0.771159,0.084599,[2 7] ; [ 5 23],[1.7027027 7.2972973] ; [ 5.2972973 22.7027027],0
a2,1,0.837224,0.042208,[ 1 10] ; [ 2 26],[ 0.84615385 10.15384615] ; [ 2.15384615 25.84615385],0
s3,1,0.84605,0.037698,[5 5] ; [13 15],[4.73684211 5.26315789] ; [13.26315789 14.73684211],0
a4,1,0.884483,0.021109,[3 8] ; [ 8 19],[3.18421053 7.81578947] ; [ 7.81578947 19.18421053],0
d5,1,0.935359,0.006578,[8 3] ; [20  8],[7.8974359 3.1025641] ; [20.1025641  7.8974359],0
