Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.323021,[75  3] ; [13 11],[67.29411765 10.70588235] ; [20.70588235  3.29411765],1
a3,1,4e-05,16.884565,[61 17] ; [ 8 16],[52.76470588 25.23529412] ; [16.23529412  7.76470588],1
r2,1,5.9e-05,16.14461,[76  2] ; [17  7],[71.11764706  6.88235294] ; [21.88235294  2.11764706],1
d1,1,0.00249,9.148095,[53 25] ; [ 8 16],[46.64705882 31.35294118] ; [14.35294118  9.64705882],0
a5,1,0.003783,8.385332,[60 18] ; [11 13],[54.29411765 23.70588235] ; [16.70588235  7.29411765],0
a4,1,0.00383,8.362633,[39 39] ; [ 4 20],[32.88235294 45.11764706] ; [10.11764706 13.88235294],0
s6,1,0.005043,7.864016,[70  6] ; [16  7],[66.02020202  9.97979798] ; [19.97979798  3.02020202],0
d3,1,0.009294,6.765433,[62 16] ; [12 11],[57.14851485 20.85148515] ; [16.85148515  6.14851485],0
p4,1,0.013942,6.045413,[62 16] ; [13 11],[57.35294118 20.64705882] ; [17.64705882  6.35294118],0
s3,1,0.02102,5.325123,[61 17] ; [13 11],[56.58823529 21.41176471] ; [17.41176471  6.58823529],0
p9,1,0.021373,5.296154,[72  6] ; [18  6],[68.82352941  9.17647059] ; [21.17647059  2.82352941],0
p10,1,0.021373,5.296154,[72  6] ; [18  6],[68.82352941  9.17647059] ; [21.17647059  2.82352941],0
d2,1,0.026093,4.949867,[43 35] ; [ 7 17],[38.23529412 39.76470588] ; [11.76470588 12.23529412],0
p6,1,0.028509,4.797007,[49 29] ; [ 9 15],[44.35294118 33.64705882] ; [13.64705882 10.35294118],0
d4,1,0.030008,4.708807,[65 13] ; [15  9],[61.17647059 16.82352941] ; [18.82352941  5.17647059],0
s5,1,0.032227,4.586405,[46 28] ; [ 8 14],[41.625 32.375] ; [12.375  9.625],0
n6,1,0.0406,4.19262,[68  9] ; [17  7],[64.8019802 12.1980198] ; [20.1980198  3.8019802],0
d5,1,0.04724,3.936814,[68 10] ; [16  7],[64.87128713 13.12871287] ; [19.12871287  3.87128713],0
v4,1,0.048671,3.886677,[76  2] ; [21  3],[74.17647059  3.82352941] ; [22.82352941  1.17647059],0
r3,1,0.050853,3.813119,[75  2] ; [21  3],[73.18811881  3.81188119] ; [22.81188119  1.18811881],0
n4,1,0.106466,2.605909,[56 22] ; [13 11],[52.76470588 25.23529412] ; [16.23529412  7.76470588],0
p2,1,0.114832,2.486432,[71  7] ; [19  5],[68.82352941  9.17647059] ; [21.17647059  2.82352941],0
n1,1,0.126858,2.330532,[ 3 11] ; [6 6],[4.84615385 9.15384615] ; [4.15384615 7.84615385],0
s8,1,0.136194,2.220437,[46 32] ; [10 14],[42.82352941 35.17647059] ; [13.17647059 10.82352941],0
v1,1,0.144755,2.126671,[42 35] ; [ 9 15],[38.88118812 38.11881188] ; [12.11881188 11.88118812],0
b4,1,0.16841,1.897039,[45 33] ; [10 14],[42.05882353 35.94117647] ; [12.94117647 11.05882353],0
v3,1,0.178226,1.812357,[28 48] ; [ 5 18],[25.33333333 50.66666667] ; [ 7.66666667 15.33333333],0
p8,1,0.181896,1.782063,[56 21] ; [14 10],[53.36633663 23.63366337] ; [16.63366337  7.36633663],0
s1,1,0.202915,1.621272,[ 2 76] ; [ 2 22],[ 3.05882353 74.94117647] ; [ 0.94117647 23.05882353],0
a7,1,0.204889,1.607178,[52 26] ; [12 11],[49.42574257 28.57425743] ; [14.57425743  8.42574257],0
s2,1,0.213918,1.544712,[56 22] ; [14 10],[53.52941176 24.47058824] ; [16.47058824  7.52941176],0
v2,1,0.256507,1.287513,[40 36] ; [ 9 14],[37.61616162 38.38383838] ; [11.38383838 11.61616162],0
s7,1,0.319742,0.99,[52 23] ; [14 10],[50. 25.] ; [16.  8.],0
b1,1,0.373578,0.791729,[31 47] ; [12 12],[32.88235294 45.11764706] ; [10.11764706 13.88235294],0
n5,1,0.383507,0.75943,[59 19] ; [16  8],[57.35294118 20.64705882] ; [17.64705882  6.35294118],0
u3,1,0.392959,0.729766,[11  6] ; [8 8],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
p12,1,0.443622,0.586896,[ 7 71] ; [ 1 23],[ 6.11764706 71.88235294] ; [ 1.88235294 22.11764706],0
p11,1,0.456565,0.554302,[61 17] ; [17  7],[59.64705882 18.35294118] ; [18.35294118  5.64705882],0
b5,1,0.581021,0.304587,[44 34] ; [12 12],[42.82352941 35.17647059] ; [13.17647059 10.82352941],0
a6,1,0.609212,0.261323,[50 28] ; [14 10],[48.94117647 29.05882353] ; [15.05882353  8.94117647],0
b2,1,0.634641,0.225819,[10 33] ; [ 3 14],[ 9.31666667 33.68333333] ; [ 3.68333333 13.31666667],0
b3,1,0.634641,0.225819,[10 33] ; [ 3 14],[ 9.31666667 33.68333333] ; [ 3.68333333 13.31666667],0
p3,1,0.706928,0.141365,[52 26] ; [15  9],[51.23529412 26.76470588] ; [15.76470588  8.23529412],0
u2,1,0.848698,0.036397,[8 9] ; [7 9],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
n3,1,0.866784,0.028139,[12  2] ; [10  2],[11.84615385  2.15384615] ; [10.15384615  1.84615385],0
n2,1,0.866784,0.028139,[12  2] ; [10  2],[11.84615385  2.15384615] ; [10.15384615  1.84615385],0
p1,1,0.898266,0.016346,[ 9 69] ; [ 3 21],[ 9.17647059 68.82352941] ; [ 2.82352941 21.17647059],0
