Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,25.248165,[102   9] ; [2 5],[97.83050847 13.16949153] ; [6.16949153 0.83050847],1
a7,1,0.000353,12.76386,[84 26] ; [1 6],[79.91452991 30.08547009] ; [5.08547009 1.91452991],1
p11,1,0.000815,11.206676,[82 29] ; [1 6],[78.07627119 32.92372881] ; [4.92372881 2.07627119],1
p2,1,0.008769,6.869236,[82 28] ; [2 5],[78.97435897 31.02564103] ; [5.02564103 1.97435897],0
s1,1,0.008785,6.866104,[  1 107] ; [1 6],[  1.87826087 106.12173913] ; [0.12173913 6.87826087],0
d4,1,0.013314,6.126938,[90 20] ; [3 4],[87.43589744 22.56410256] ; [5.56410256 1.43589744],0
p10,1,0.01911,5.491402,[87 21] ; [3 4],[84.52173913 23.47826087] ; [5.47826087 1.52173913],0
p9,1,0.020121,5.401392,[86 21] ; [3 4],[83.53508772 23.46491228] ; [5.46491228 1.53508772],0
a6,1,0.023237,5.150695,[77 33] ; [2 5],[74.27350427 35.72649573] ; [4.72649573 2.27350427],0
d3,1,0.027449,4.862338,[76 34] ; [2 5],[73.33333333 36.66666667] ; [4.66666667 2.33333333],0
s3,1,0.031746,4.612177,[60 47] ; [1 6],[57.25438596 49.74561404] ; [3.74561404 3.25438596],0
b5,1,0.036626,4.367727,[61 50] ; [1 6],[58.3220339 52.6779661] ; [3.6779661 3.3220339],0
s6,1,0.052177,3.77008,[71 38] ; [2 5],[68.59482759 40.40517241] ; [4.40517241 2.59482759],0
s7,1,0.067241,3.349118,[51 51] ; [1 6],[48.66055046 53.33944954] ; [3.33944954 3.66055046],0
s2,1,0.077124,3.124498,[54 57] ; [1 6],[51.73728814 59.26271186] ; [3.26271186 3.73728814],0
p3,1,0.089128,2.890059,[52 58] ; [1 6],[49.82905983 60.17094017] ; [3.17094017 3.82905983],0
v2,1,0.08954,2.882631,[78 29] ; [3 4],[76.02631579 30.97368421] ; [4.97368421 2.02631579],0
r1,1,0.107611,2.588953,[91 20] ; [4 3],[89.36440678 21.63559322] ; [5.63559322 1.36440678],0
n1,1,0.136198,2.220395,[ 6 18] ; [2 1],[ 7.11111111 16.88888889] ; [0.88888889 2.11111111],0
d1,1,0.145932,2.114268,[63 48] ; [2 5],[61.1440678 49.8559322] ; [3.8559322 3.1440678],0
p7,1,0.177046,1.822251,[66 42] ; [2 4],[64.42105263 43.57894737] ; [3.57894737 2.42105263],0
b4,1,0.240618,1.376967,[72 39] ; [3 4],[70.55084746 40.44915254] ; [4.44915254 2.55084746],0
p8,1,0.326508,0.962697,[51 56] ; [2 5],[49.74561404 57.25438596] ; [3.25438596 3.74561404],0
v4,1,0.334721,0.930547,[105   6] ; [6 1],[104.41525424   6.58474576] ; [6.58474576 0.41525424],0
s5,1,0.337966,0.918131,[34 74] ; [1 6],[32.86956522 75.13043478] ; [2.13043478 4.86956522],0
a5,1,0.342509,0.901018,[81 29] ; [4 3],[79.91452991 30.08547009] ; [5.08547009 1.91452991],0
n6,1,0.398092,0.714081,[93 18] ; [5 2],[92.18644068 18.81355932] ; [5.81355932 1.18644068],0
a1,1,0.41537,0.663379,[  7 104] ; [1 6],[  7.52542373 103.47457627] ; [0.47457627 6.52542373],0
p4,1,0.439807,0.596787,[53 54] ; [2 4],[52.07964602 54.92035398] ; [2.92035398 3.07964602],0
s8,1,0.446122,0.580486,[48 63] ; [2 5],[47.03389831 63.96610169] ; [2.96610169 4.03389831],0
a3,1,0.569121,0.324156,[84 26] ; [6 1],[84.61538462 25.38461538] ; [5.38461538 1.61538462],0
b1,1,0.605659,0.266545,[37 74] ; [3 4],[37.62711864 73.37288136] ; [2.37288136 4.62711864],0
d2,1,0.662838,0.190095,[54 57] ; [4 3],[54.55932203 56.44067797] ; [3.44067797 3.55932203],0
n4,1,0.673905,0.177068,[87 23] ; [6 1],[87.43589744 22.56410256] ; [5.56410256 1.43589744],0
s4,1,0.794517,0.067834,[20 90] ; [1 6],[19.74358974 90.25641026] ; [1.25641026 5.74358974],0
d5,1,0.800165,0.064077,[84 27] ; [5 2],[83.72033898 27.27966102] ; [5.27966102 1.72033898],0
b2,1,0.867077,0.028013,[25 43] ; [2 4],[24.81081081 43.18918919] ; [2.18918919 3.81081081],0
b3,1,0.867077,0.028013,[25 43] ; [2 4],[24.81081081 43.18918919] ; [2.18918919 3.81081081],0
p6,1,0.963783,0.002062,[30 78] ; [2 5],[30.05217391 77.94782609] ; [1.94782609 5.05217391],0
a4,1,0.994626,4.5e-05,[47 63] ; [3 4],[47.00854701 62.99145299] ; [2.99145299 4.00854701],0
