Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,22.100133,[ 2 12] ; [85 27],[9.66666667 4.33333333] ; [77.33333333 34.66666667],1
d5,1,0.002066,9.490285,[8 6] ; [99 13],[11.88888889  2.11111111] ; [95.11111111 16.88888889],0
v1,1,0.021243,5.306769,[ 3 11] ; [59 50],[7.05691057 6.94308943] ; [54.94308943 54.05691057],0
v2,1,0.061964,3.484025,[ 4 10] ; [60 49],[7.28455285 6.71544715] ; [56.71544715 52.28455285],0
a4,1,0.067587,3.340668,[ 4 10] ; [61 51],[7.22222222 6.77777778] ; [57.77777778 54.22222222],0
a5,1,0.075927,3.15,[8 6] ; [88 24],[10.66666667  3.33333333] ; [85.33333333 26.66666667],0
u4,1,0.077722,3.111895,[ 1 13] ; [  1 111],[ 0.22222222 13.77777778] ; [  1.77777778 110.22222222],0
p9,1,0.079353,3.078111,[9 5] ; [92 18],[11.40322581  2.59677419] ; [89.59677419 20.40322581],0
s1,1,0.110649,2.544934,[ 2 11] ; [  5 105],[ 0.7398374 12.2601626] ; [  6.2601626 103.7398374],0
p4,1,0.122564,2.384252,[10  4] ; [55 56],[7.28 6.72] ; [57.72 53.28],0
n5,1,0.141922,2.156999,[12  2] ; [73 37],[9.59677419 4.40322581] ; [75.40322581 34.59677419],0
r1,1,0.147771,2.095106,[8 5] ; [88 23],[10.06451613  2.93548387] ; [85.93548387 25.06451613],0
a6,1,0.183977,1.7652,[7 7] ; [76 36],[9.22222222 4.77777778] ; [73.77777778 38.22222222],0
d2,1,0.210537,1.567728,[6 8] ; [67 44],[8.176 5.824] ; [64.824 46.176],0
n1,1,0.210635,1.567059,[1 4] ; [16 16],[2.2972973 2.7027027] ; [14.7027027 17.2972973],0
b5,1,0.266072,1.236889,[7 7] ; [73 39],[8.88888889 5.11111111] ; [71.11111111 40.88888889],0
r3,1,0.276405,1.184682,[12  2] ; [104   7],[12.992  1.008] ; [103.008   7.992],0
s6,1,0.343066,0.898939,[13  1] ; [93 19],[11.77777778  2.22222222] ; [94.22222222 17.77777778],0
s2,1,0.355407,0.854058,[8 6] ; [77 34],[9.52 4.48] ; [75.48 35.52],0
r4,1,0.35656,0.849973,[11  3] ; [98 14],[12.11111111  1.88888889] ; [96.88888889 15.11111111],0
n6,1,0.36699,0.813832,[13  1] ; [92 18],[11.85483871  2.14516129] ; [93.14516129 16.85483871],0
p10,1,0.406215,0.689852,[9 4] ; [88 23],[10.16935484  2.83064516] ; [86.83064516 24.16935484],0
a7,1,0.464941,0.533973,[8 6] ; [75 37],[9.22222222 4.77777778] ; [73.77777778 38.22222222],0
s3,1,0.465312,0.533088,[8 6] ; [73 36],[9.2195122 4.7804878] ; [71.7804878 37.2195122],0
v3,1,0.48112,0.496324,[ 3 11] ; [33 75],[4.13114754 9.86885246] ; [31.86885246 76.13114754],0
a3,1,0.501165,0.452469,[10  4] ; [88 23],[10.976  3.024] ; [87.024 23.976],0
p5,1,0.519708,0.414474,[ 2 12] ; [ 10 102],[ 1.33333333 12.66666667] ; [ 10.66666667 101.33333333],0
s4,1,0.522527,0.408903,[5 9] ; [30 79],[ 3.98373984 10.01626016] ; [31.01626016 77.98373984],0
n3,1,0.550029,0.357265,[4 1] ; [22 11],[3.42105263 1.57894737] ; [22.57894737 10.42105263],0
a8,1,0.553309,0.351422,[ 2 11] ; [10 90],[ 1.38053097 11.61946903] ; [10.61946903 89.38053097],0
p6,1,0.561154,0.33771,[ 3 11] ; [32 79],[ 3.92 10.08] ; [31.08 79.92],0
b4,1,0.597108,0.279379,[10  4] ; [72 40],[9.11111111 4.88888889] ; [72.88888889 39.11111111],0
p11,1,0.600719,0.273913,[8 6] ; [72 40],[8.88888889 5.11111111] ; [71.11111111 40.88888889],0
n4,1,0.617086,0.249984,[10  3] ; [78 33],[9.22580645 3.77419355] ; [78.77419355 32.22580645],0
s7,1,0.619257,0.246914,[8 4] ; [64 44],[7.2 4.8] ; [64.8 43.2],0
u3,1,0.629063,0.233333,[3 1] ; [15  9],[2.57142857 1.42857143] ; [15.42857143  8.57142857],0
p3,1,0.65427,0.200559,[5 9] ; [47 65],[5.77777778 8.22222222] ; [46.22222222 65.77777778],0
s8,1,0.659082,0.194641,[6 8] ; [55 57],[6.77777778 7.22222222] ; [54.22222222 57.77777778],0
p1,1,0.678742,0.171545,[ 1 13] ; [ 12 100],[ 1.44444444 12.55555556] ; [ 11.55555556 100.44444444],0
p2,1,0.7175,0.130901,[11  3] ; [83 29],[10.44444444  3.55555556] ; [83.55555556 28.44444444],0
p7,1,0.755139,0.097263,[6 8] ; [52 58],[6.5483871 7.4516129] ; [51.4516129 58.5483871],0
b1,1,0.796779,0.066316,[6 8] ; [44 68],[5.55555556 8.44444444] ; [44.44444444 67.55555556],0
r2,1,0.8033,0.06204,[13  1] ; [103   6],[13.20325203  0.79674797] ; [102.79674797   6.20325203],0
n2,1,0.83528,0.043237,[4 1] ; [25  8],[3.81578947 1.18421053] ; [25.18421053  7.81578947],0
b2,1,0.839214,0.041168,[2 4] ; [27 45],[2.23076923 3.76923077] ; [26.76923077 45.23076923],0
b3,1,0.839214,0.041168,[2 4] ; [27 45],[2.23076923 3.76923077] ; [26.76923077 45.23076923],0
u2,1,0.866784,0.028139,[2 2] ; [12 10],[2.15384615 1.84615385] ; [11.84615385 10.15384615],0
v4,1,0.910999,0.012494,[13  1] ; [103   7],[13.09677419  0.90322581] ; [102.90322581   7.09677419],0
