Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000286,13.159821,[ 5 29] ; [11  6],[10.66666667 23.33333333] ; [ 5.33333333 11.66666667],1
s6,1,0.001529,10.043077,[12 22] ; [14  3],[17.33333333 16.66666667] ; [8.66666667 8.33333333],0
u3,1,0.046322,3.969862,[ 4 14] ; [5 3],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
p12,1,0.065555,3.390957,[ 1 33] ; [ 3 14],[ 2.66666667 31.33333333] ; [ 1.33333333 15.66666667],0
p7,1,0.074203,3.1875,[15 19] ; [12  5],[18. 16.] ; [9. 8.],0
p4,1,0.074203,3.1875,[15 19] ; [12  5],[18. 16.] ; [9. 8.],0
s8,1,0.087798,2.914286,[ 8 26] ; [8 9],[10.66666667 23.33333333] ; [ 5.33333333 11.66666667],0
p3,1,0.101343,2.684282,[ 9 25] ; [8 8],[11.56 22.44] ; [ 5.44 10.56],0
n1,1,0.111219,2.536813,[ 3 11] ; [3 2],[4.42105263 9.57894737] ; [1.57894737 3.42105263],0
p6,1,0.125202,2.351006,[ 6 28] ; [ 6 10],[ 8.16 25.84] ; [ 3.84 12.16],0
v3,1,0.161349,1.961538,[ 6 28] ; [ 6 11],[ 8. 26.] ; [ 4. 13.],0
a4,1,0.22871,1.448864,[ 9 25] ; [ 2 15],[ 7.33333333 26.66666667] ; [ 3.66666667 13.33333333],0
b4,1,0.233953,1.416667,[20 14] ; [ 7 10],[18. 16.] ; [9. 8.],0
a7,1,0.233953,1.416667,[20 14] ; [ 7 10],[18. 16.] ; [9. 8.],0
s4,1,0.276128,1.186047,[ 4 30] ; [ 4 13],[ 5.33333333 28.66666667] ; [ 2.66666667 14.33333333],0
s7,1,0.278587,1.173971,[ 7 24] ; [ 6 10],[ 8.57446809 22.42553191] ; [ 4.42553191 11.57446809],0
d5,1,0.310576,1.028226,[19 15] ; [12  5],[20.66666667 13.33333333] ; [10.33333333  6.66666667],0
a6,1,0.3175,0.999216,[13 21] ; [9 8],[14.66666667 19.33333333] ; [7.33333333 9.66666667],0
a8,1,0.320082,0.988612,[ 4 28] ; [ 4 13],[ 5.2244898 26.7755102] ; [ 2.7755102 14.2244898],0
d3,1,0.322009,0.980769,[15 19] ; [10  7],[16.66666667 17.33333333] ; [8.33333333 8.66666667],0
a5,1,0.322009,0.980769,[19 15] ; [ 7 10],[17.33333333 16.66666667] ; [8.66666667 8.33333333],0
u2,1,0.346912,0.884722,[10  8] ; [6 2],[11.07692308  6.92307692] ; [4.92307692 3.07692308],0
n2,1,0.36308,0.827211,[8 6] ; [4 1],[8.84210526 5.15789474] ; [3.15789474 1.84210526],0
p9,1,0.374813,0.787645,[26  8] ; [11  6],[24.66666667  9.33333333] ; [12.33333333  4.66666667],0
d4,1,0.393347,0.728571,[22 12] ; [13  4],[23.33333333 10.66666667] ; [11.66666667  5.33333333],0
p8,1,0.42606,0.63354,[14 20] ; [9 8],[15.33333333 18.66666667] ; [7.66666667 9.33333333],0
n6,1,0.441971,0.591159,[23 10] ; [10  7],[21.78 11.22] ; [11.22  5.78],0
a1,1,0.461377,0.542553,[ 2 32] ; [ 2 15],[ 2.66666667 31.33333333] ; [ 1.33333333 15.66666667],0
p2,1,0.514453,0.425,[25  9] ; [11  6],[24. 10.] ; [12.  5.],0
v4,1,0.514453,0.425,[23 11] ; [13  4],[24. 10.] ; [12.  5.],0
