Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,64.724099,[323   6] ; [6 5],[318.35588235  10.64411765] ; [10.64411765  0.35588235],1
r4,1,0.0,55.17936,[318  12] ; [5 6],[312.58064516  17.41935484] ; [10.41935484  0.58064516],1
a3,1,0.002062,9.493234,[271  58] ; [5 6],[267.07058824  61.92941176] ; [8.92941176 2.07058824],0
d1,1,0.013391,6.11666,[256  74] ; [5 6],[252.58064516  77.41935484] ; [8.41935484 2.58064516],0
s2,1,0.0157,5.836176,[243  84] ; [4 6],[239.67062315  87.32937685] ; [7.32937685 2.67062315],0
p3,1,0.029962,4.711471,[198 132] ; [3 8],[194.51612903 135.48387097] ; [6.48387097 4.51612903],0
v3,1,0.030957,4.655334,[153 161] ; [9 2],[156.51692308 157.48307692] ; [5.48307692 5.51692308],0
s3,1,0.078491,3.095867,[243  82] ; [5 5],[240.59701493  84.40298507] ; [7.40298507 2.59701493],0
n2,1,0.084775,2.970893,[55 18] ; [2 3],[53.34615385 19.65384615] ; [3.65384615 1.34615385],0
a4,1,0.084888,2.968747,[177 153] ; [3 8],[174.19354839 155.80645161] ; [5.80645161 5.19354839],0
a5,1,0.104115,2.641352,[273  57] ; [7 4],[270.96774194  59.03225806] ; [9.03225806 1.96774194],0
a6,1,0.127188,2.326498,[222 107] ; [5 6],[219.65588235 109.34411765] ; [7.34411765 3.65588235],0
n6,1,0.129116,2.303103,[288  39] ; [8 3],[286.36686391  40.63313609] ; [9.63313609 1.36686391],0
n5,1,0.133608,2.250068,[267  60] ; [7 4],[265.08284024  61.91715976] ; [8.91715976 2.08284024],0
a2,1,0.138566,2.193817,[ 98 232] ; [ 1 10],[ 95.80645161 234.19354839] ; [3.19354839 7.80645161],0
r1,1,0.165891,1.919689,[285  42] ; [8 3],[283.46449704  43.53550296] ; [9.53550296 1.46449704],0
r3,1,0.174812,1.841187,[322   8] ; [10  1],[321.29032258   8.70967742] ; [10.70967742  0.29032258],0
n1,1,0.204771,1.608013,[35 36] ; [1 4],[33.63157895 37.36842105] ; [2.36842105 2.63157895],0
u1,1,0.210511,1.567905,[ 85 245] ; [ 1 10],[ 83.22580645 246.77419355] ; [2.77419355 8.22580645],0
v1,1,0.213864,1.545074,[203 115] ; [5 6],[201.04559271 116.95440729] ; [6.95440729 4.04559271],0
s1,1,0.317469,0.999345,[ 11 313] ; [ 1 10],[ 11.60597015 312.39402985] ; [ 0.39402985 10.60597015],0
b4,1,0.335206,0.928681,[192 138] ; [8 3],[193.5483871 136.4516129] ; [6.4516129 4.5483871],0
s4,1,0.366151,0.816687,[ 66 262] ; [ 1 10],[ 64.8259587 263.1740413] ; [2.1740413 8.8259587],0
u2,1,0.376261,0.782882,[38 20] ; [5 1],[38.96875 19.03125] ; [4.03125 1.96875],0
p12,1,0.388837,0.742575,[ 33 293] ; [2 9],[ 33.85756677 292.14243323] ; [1.14243323 9.85756677],0
d3,1,0.475964,0.508096,[242  88] ; [7 4],[240.96774194  89.03225806] ; [8.03225806 2.96774194],0
s7,1,0.494025,0.467749,[241  74] ; [6 3],[240.13888889  74.86111111] ; [6.86111111 2.13888889],0
s5,1,0.514655,0.424592,[145 168] ; [4 7],[143.94135802 169.05864198] ; [5.05864198 5.94135802],0
n4,1,0.52865,0.396986,[275  53] ; [10  1],[275.75221239  52.24778761] ; [9.24778761 1.75221239],0
a7,1,0.558577,0.342174,[236  93] ; [7 4],[235.13823529  93.86176471] ; [7.86176471 3.13823529],0
u3,1,0.602836,0.27074,[45 14] ; [4 2],[44.47692308 14.52307692] ; [4.52307692 1.47692308],0
d2,1,0.610813,0.258993,[205 125] ; [6 5],[204.19354839 125.80645161] ; [6.80645161 4.19354839],0
s6,1,0.649327,0.206749,[279  45] ; [10  1],[279.51044776  44.48955224] ; [9.48955224 1.51044776],0
b5,1,0.670759,0.180716,[201 129] ; [6 5],[200.32258065 129.67741935] ; [6.67741935 4.32258065],0
p7,1,0.690509,0.158535,[221  98] ; [7 4],[220.4  98.6] ; [7.6 3.4],0
n3,1,0.69381,0.154992,[50 23] ; [3 2],[49.6025641 23.3974359] ; [3.3974359 1.6025641],0
p4,1,0.699184,0.149322,[221 108] ; [8 3],[221.59117647 107.40882353] ; [7.40882353 3.59117647],0
p5,1,0.774245,0.08227,[ 49 277] ; [2 9],[ 49.33531157 276.66468843] ; [1.66468843 9.33531157],0
b1,1,0.77794,0.079527,[134 196] ; [4 7],[133.5483871 196.4516129] ; [4.4516129 6.5483871],0
a8,1,0.785221,0.074268,[ 50 249] ; [2 8],[ 50.3171521 248.6828479] ; [1.6828479 8.3171521],0
b3,1,0.787378,0.072747,[ 96 131] ; [3 5],[ 95.62978723 131.37021277] ; [3.37021277 4.62978723],0
b2,1,0.787378,0.072747,[ 96 131] ; [3 5],[ 95.62978723 131.37021277] ; [3.37021277 4.62978723],0
p11,1,0.881974,0.022043,[264  66] ; [9 2],[264.19354839  65.80645161] ; [8.80645161 2.19354839],0
p8,1,0.914816,0.011442,[182 142] ; [6 5],[181.82686567 142.17313433] ; [6.17313433 4.82686567],0
p6,1,0.93895,0.005866,[152 174] ; [5 6],[151.87537092 174.12462908] ; [5.12462908 5.87537092],0
v2,1,0.953718,0.003369,[199 118] ; [7 4],[199.09146341 117.90853659] ; [6.90853659 4.09146341],0
p9,1,0.955946,0.003052,[296  31] ; [9 1],[295.9495549  31.0504451] ; [9.0504451 0.9495549],0
d4,1,0.972953,0.00115,[299  31] ; [10  1],[299.03225806  30.96774194] ; [9.96774194 1.03225806],0
