Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,9e-06,19.705859,[  7 261] ; [10 50],[ 13.8902439 254.1097561] ; [ 3.1097561 56.8902439],1
p7,1,0.000156,14.299591,[117 147] ; [41 16],[129.94392523 134.05607477] ; [28.05607477 28.94392523],1
s7,1,0.007251,7.209812,[ 89 168] ; [32 28],[ 98.0977918 158.9022082] ; [22.9022082 37.0977918],0
s2,1,0.023276,5.147766,[111 157] ; [34 25],[118.83792049 149.16207951] ; [26.16207951 32.83792049],0
b2,1,0.024206,5.079782,[ 47 102] ; [19 18],[52.87096774 96.12903226] ; [13.12903226 23.87096774],0
b3,1,0.024206,5.079782,[ 47 102] ; [19 18],[52.87096774 96.12903226] ; [13.12903226 23.87096774],0
s5,1,0.029935,4.713002,[ 65 195] ; [22 34],[ 71.58227848 188.41772152] ; [15.41772152 40.58227848],0
s8,1,0.035871,4.403208,[ 93 176] ; [29 30],[100.05487805 168.94512195] ; [21.94512195 37.05487805],0
p8,1,0.054728,3.690356,[ 87 180] ; [27 32],[ 93.36809816 173.63190184] ; [20.63190184 38.36809816],0
p3,1,0.091557,2.846791,[ 58 212] ; [19 41],[ 63. 207.] ; [14. 46.],0
v1,1,0.100164,2.702925,[110 154] ; [32 28],[115.7037037 148.2962963] ; [26.2962963 33.7037037],0
n5,1,0.131676,2.272639,[169  99] ; [44 16],[174.03658537  93.96341463] ; [38.96341463 21.03658537],0
a7,1,0.143482,2.140213,[191  79] ; [36 23],[186.29179331  83.70820669] ; [40.70820669 18.29179331],0
d5,1,0.180121,1.796623,[209  60] ; [41 18],[205.0304878  63.9695122] ; [44.9695122 14.0304878],0
b5,1,0.184674,1.759607,[169 101] ; [43 17],[173.45454545  96.54545455] ; [38.54545455 21.45454545],0
n6,1,0.205468,1.603075,[214  55] ; [52  8],[217.4893617  51.5106383] ; [48.5106383 11.4893617],0
b4,1,0.208035,1.58505,[159 111] ; [30 30],[154.63636364 115.36363636] ; [34.36363636 25.63636364],0
u3,1,0.211199,1.563185,[48 43] ; [13  6],[50.46363636 40.53636364] ; [10.53636364  8.46363636],0
p11,1,0.221999,1.491402,[205  65] ; [41 19],[201.27272727  68.72727273] ; [44.72727273 15.27272727],0
s3,1,0.222827,1.486069,[135 132] ; [35 24],[139.23312883 127.76687117] ; [30.76687117 28.23312883],0
a1,1,0.232119,1.42783,[  6 264] ; [ 3 57],[  7.36363636 262.63636364] ; [ 1.63636364 58.36363636],0
n2,1,0.241207,1.373526,[58 18] ; [16  2],[59.82978723 16.17021277] ; [14.17021277  3.82978723],0
n4,1,0.244001,1.35733,[181  88] ; [45 15],[184.78419453  84.21580547] ; [41.21580547 18.78419453],0
n1,1,0.280477,1.164778,[29 46] ; [9 8],[30.97826087 44.02173913] ; [7.02173913 9.97826087],0
a5,1,0.306243,1.046811,[185  85] ; [37 23],[181.63636364  88.36363636] ; [40.36363636 19.63636364],0
s1,1,0.307936,1.039508,[  7 260] ; [ 3 55],[  8.21538462 258.78461538] ; [ 1.78461538 56.21538462],0
s4,1,0.317298,1.000052,[ 46 222] ; [ 7 52],[ 43.43730887 224.56269113] ; [ 9.56269113 49.43730887],0
r1,1,0.33211,0.940651,[224  44] ; [47 13],[221.42682927  46.57317073] ; [49.57317073 10.42682927],0
a4,1,0.343603,0.89694,[112 157] ; [21 39],[108.74468085 160.25531915] ; [24.25531915 35.74468085],0
d3,1,0.351714,0.867262,[168 101] ; [33 26],[164.8445122 104.1554878] ; [36.1554878 22.8445122],0
v4,1,0.36326,0.826593,[257  11] ; [59  1],[258.19512195   9.80487805] ; [57.80487805  2.19512195],0
u1,1,0.401066,0.705128,[ 34 236] ; [10 50],[ 36. 234.] ; [ 8. 52.],0
s6,1,0.403409,0.698143,[152 114] ; [36 21],[154.82352941 111.17647059] ; [33.17647059 23.82352941],0
p5,1,0.429892,0.623115,[  8 261] ; [ 3 57],[  8.99392097 260.00607903] ; [ 2.00607903 57.99392097],0
n3,1,0.435001,0.609433,[56 18] ; [12  6],[54.69565217 19.30434783] ; [13.30434783  4.69565217],0
v2,1,0.529087,0.396144,[128 125] ; [32 26],[130.1607717 122.8392283] ; [29.8392283 28.1607717],0
p2,1,0.544745,0.366816,[192  78] ; [45 15],[193.90909091  76.09090909] ; [43.09090909 16.90909091],0
a2,1,0.554726,0.348919,[ 54 216] ; [10 50],[ 52.36363636 217.63636364] ; [11.63636364 48.36363636],0
p9,1,0.606434,0.2654,[206  57] ; [48 11],[207.45962733  55.54037267] ; [46.54037267 12.45962733],0
r3,1,0.612735,0.256211,[264   6] ; [58  2],[263.45454545   6.54545455] ; [58.54545455  1.45454545],0
a3,1,0.662494,0.190509,[179  90] ; [41 18],[180.42682927  88.57317073] ; [39.57317073 19.42682927],0
b1,1,0.725857,0.12295,[ 97 173] ; [23 37],[ 98.18181818 171.81818182] ; [21.81818182 38.18181818],0
p10,1,0.732442,0.116882,[194  74] ; [44 15],[195.05810398  72.94189602] ; [42.94189602 16.05810398],0
v3,1,0.784277,0.074939,[ 87 171] ; [21 38],[ 87.89905363 170.10094637] ; [20.10094637 38.89905363],0
r2,1,0.784346,0.07489,[263   6] ; [59  1],[263.27659574   5.72340426] ; [58.72340426  1.27659574],0
d2,1,0.799074,0.064794,[112 156] ; [24 36],[111.12195122 156.87804878] ; [24.87804878 35.12195122],0
d1,1,0.855847,0.033001,[134 136] ; [29 31],[133.36363636 136.63636364] ; [29.63636364 30.36363636],0
u2,1,0.904094,0.014518,[46 44] ; [10  9],[46.23853211 43.76146789] ; [9.76146789 9.23853211],0
a6,1,0.90446,0.014407,[180  89] ; [39 20],[179.60670732  89.39329268] ; [39.39329268 19.60670732],0
u4,1,0.91541,0.011282,[  4 266] ; [ 1 59],[  4.09090909 265.90909091] ; [ 0.90909091 59.09090909],0
d4,1,0.945772,0.004626,[211  57] ; [47 13],[210.80487805  57.19512195] ; [47.19512195 12.80487805],0
a8,1,0.970412,0.001376,[ 37 214] ; [ 8 47],[ 36.91176471 214.08823529] ; [ 8.08823529 46.91176471],0
p12,1,0.987246,0.000256,[ 14 254] ; [ 3 55],[ 13.97546012 254.02453988] ; [ 3.02453988 54.97546012],0
