Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000465,12.25,[17 13] ; [ 8 37],[10. 20.] ; [15. 30.],1
s7,1,0.001139,10.58642,[12 16] ; [ 4 38],[ 6.4 21.6] ; [ 9.6 32.4],0
p3,1,0.001329,10.302316,[15 15] ; [ 7 38],[ 8.8 21.2] ; [13.2 31.8],0
p7,1,0.008015,7.030129,[22  8] ; [19 26],[16.4 13.6] ; [24.6 20.4],0
s8,1,0.009452,6.735281,[12 18] ; [ 6 38],[ 7.2972973 22.7027027] ; [10.7027027 33.2972973],0
a5,1,0.010846,6.490385,[21  9] ; [18 27],[15.6 14.4] ; [23.4 21.6],0
p6,1,0.010949,6.473563,[11 19] ; [ 5 38],[ 6.57534247 23.42465753] ; [ 9.42465753 33.57534247],0
u2,1,0.023926,5.1,[8 2] ; [ 9 15],[5. 5.] ; [12. 12.],0
s6,1,0.033887,4.500381,[18 12] ; [15 28],[13.56164384 16.43835616] ; [19.43835616 23.56164384],0
d5,1,0.046118,3.977273,[21  9] ; [21 24],[16.8 13.2] ; [25.2 19.8],0
s2,1,0.074865,3.172995,[15 15] ; [13 31],[11.35135135 18.64864865] ; [16.64864865 27.35135135],0
d3,1,0.099845,2.708021,[15 15] ; [14 31],[11.6 18.4] ; [17.4 27.6],0
a3,1,0.107565,2.589644,[20 10] ; [21 23],[16.62162162 13.37837838] ; [24.37837838 19.62162162],0
n1,1,0.134435,2.24053,[5 5] ; [ 6 19],[3.14285714 6.85714286] ; [ 7.85714286 17.14285714],0
s1,1,0.14195,2.15669,[ 3 27] ; [ 1 44],[ 1.6 28.4] ; [ 2.4 42.6],0
p1,1,0.1645,1.932367,[ 4 26] ; [ 2 43],[ 2.4 27.6] ; [ 3.6 41.4],0
u3,1,0.198314,1.654745,[7 3] ; [11 13],[5.29411765 4.70588235] ; [12.70588235 11.29411765],0
n2,1,0.208723,1.58026,[10  1] ; [18  7],[8.55555556 2.44444444] ; [19.44444444  5.55555556],0
n6,1,0.21332,1.548754,[15 15] ; [29 16],[17.6 12.4] ; [26.4 18.6],0
s4,1,0.215517,1.533976,[ 9 21] ; [ 8 37],[ 6.8 23.2] ; [10.2 34.8],0
p10,1,0.219034,1.510686,[18 12] ; [20 24],[15.40540541 14.59459459] ; [22.59459459 21.40540541],0
n5,1,0.250655,1.319648,[10 20] ; [21 24],[12.4 17.6] ; [18.6 26.4],0
d1,1,0.254731,1.29717,[11 19] ; [11 34],[ 8.8 21.2] ; [13.2 31.8],0
s3,1,0.294442,1.099201,[15 15] ; [17 28],[12.8 17.2] ; [19.2 25.8],0
p11,1,0.38041,0.769377,[17 13] ; [30 15],[18.8 11.2] ; [28.2 16.8],0
b4,1,0.392715,0.730519,[15 15] ; [27 18],[16.8 13.2] ; [25.2 19.8],0
n3,1,0.413272,0.669369,[8 3] ; [14 10],[6.91428571 4.08571429] ; [15.08571429  8.91428571],0
a4,1,0.428111,0.627943,[12 18] ; [14 31],[10.4 19.6] ; [15.6 29.4],0
p2,1,0.448718,0.573888,[18 12] ; [23 22],[16.4 13.6] ; [24.6 20.4],0
v4,1,0.465905,0.531672,[24  6] ; [38  6],[25.13513514  4.86486486] ; [36.86486486  7.13513514],0
a1,1,0.516853,0.420168,[ 2 28] ; [ 5 40],[ 2.8 27.2] ; [ 4.2 40.8],0
p9,1,0.520577,0.41275,[19 11] ; [24 19],[17.67123288 12.32876712] ; [25.32876712 17.67123288],0
a2,1,0.529096,0.396127,[ 1 29] ; [ 3 42],[ 1.6 28.4] ; [ 2.4 42.6],0
d4,1,0.569865,0.322909,[21  9] ; [28 16],[19.86486486 10.13513514] ; [29.13513514 14.86486486],0
b1,1,0.571573,0.320057,[16 14] ; [21 24],[14.8 15.2] ; [22.2 22.8],0
v3,1,0.627469,0.235508,[ 5 23] ; [ 6 38],[ 4.27777778 23.72222222] ; [ 6.72222222 37.27777778],0
d2,1,0.696654,0.151976,[12 18] ; [16 29],[11.2 18.8] ; [16.8 28.2],0
a6,1,0.696654,0.151976,[12 18] ; [16 29],[11.2 18.8] ; [16.8 28.2],0
s5,1,0.702313,0.146077,[ 9 19] ; [12 31],[ 8.28169014 19.71830986] ; [12.71830986 30.28169014],0
r3,1,0.716642,0.131733,[25  5] ; [36  9],[24.4  5.6] ; [36.6  8.4],0
v2,1,0.769603,0.085787,[11 19] ; [14 28],[10.41666667 19.58333333] ; [14.58333333 27.41666667],0
p5,1,0.782369,0.076305,[ 1 29] ; [ 1 43],[ 0.81081081 29.18918919] ; [ 1.18918919 42.81081081],0
b2,1,0.79829,0.065311,[ 5 14] ; [ 6 14],[ 5.35897436 13.64102564] ; [ 5.64102564 14.35897436],0
b3,1,0.79829,0.065311,[ 5 14] ; [ 6 14],[ 5.35897436 13.64102564] ; [ 5.64102564 14.35897436],0
r2,1,0.808806,0.058548,[24  6] ; [37  8],[24.4  5.6] ; [36.6  8.4],0
r4,1,0.839828,0.04085,[20 10] ; [31 14],[20.4  9.6] ; [30.6 14.4],0
b5,1,0.850318,0.035613,[16 14] ; [23 22],[15.6 14.4] ; [23.4 21.6],0
v1,1,0.937667,0.006116,[12 18] ; [18 26],[12.16216216 17.83783784] ; [17.83783784 26.16216216],0
a8,1,0.989525,0.000172,[ 2 27] ; [ 3 40],[ 2.01388889 26.98611111] ; [ 2.98611111 40.01388889],0
r1,1,1.0,0.0,[16 14] ; [24 21],[16. 14.] ; [24. 21.],0
