Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.064899,[ 1 11] ; [94 21],[8.97637795 3.02362205] ; [86.02362205 28.97637795],1
b1,1,0.000267,13.290582,[10  2] ; [35 80],[4.2519685 7.7480315] ; [40.7480315 74.2519685],1
v4,1,0.006814,7.321485,[7 5] ; [100  14],[10.19047619  1.80952381] ; [96.80952381 17.19047619],0
n6,1,0.00711,7.244966,[ 2 10] ; [66 49],[6.42519685 5.57480315] ; [61.57480315 53.42519685],0
r2,1,0.009219,6.77982,[7 4] ; [103  11],[9.68 1.32] ; [100.32  13.68],0
v2,1,0.016256,5.775005,[ 2 10] ; [58 51],[5.95041322 6.04958678] ; [54.04958678 54.95041322],0
r1,1,0.020534,5.36588,[5 7] ; [84 30],[8.47619048 3.52380952] ; [80.52380952 33.47619048],0
s3,1,0.023261,5.148903,[ 1 10] ; [51 64],[4.53968254 6.46031746] ; [47.46031746 67.53968254],0
s2,1,0.025617,4.981655,[ 1 11] ; [47 67],[4.57142857 7.42857143] ; [43.42857143 70.57142857],0
n2,1,0.028519,4.796403,[1 5] ; [25 14],[3.46666667 2.53333333] ; [22.53333333 16.46666667],0
p11,1,0.03207,4.594758,[3 9] ; [66 49],[6.51968504 5.48031496] ; [62.48031496 52.51968504],0
s1,1,0.040451,4.198854,[ 2 10] ; [  4 111],[ 0.56692913 11.43307087] ; [  5.43307087 109.56692913],0
a6,1,0.06566,3.388319,[4 8] ; [70 45],[6.99212598 5.00787402] ; [67.00787402 47.99212598],0
s6,1,0.073036,3.213445,[3 9] ; [59 54],[5.952 6.048] ; [56.048 56.952],0
p2,1,0.07539,3.161576,[4 8] ; [69 46],[6.8976378 5.1023622] ; [66.1023622 48.8976378],0
p9,1,0.137557,2.205072,[5 7] ; [70 40],[7.37704918 4.62295082] ; [67.62295082 42.37704918],0
s8,1,0.173064,1.856196,[ 1 11] ; [30 85],[2.92913386 9.07086614] ; [28.07086614 86.92913386],0
p4,1,0.317875,0.997672,[ 2 10] ; [35 80],[3.49606299 8.50393701] ; [33.50393701 81.49606299],0
n1,1,0.329801,0.949677,[3 3] ; [12 28],[1.95652174 4.04347826] ; [13.04347826 26.95652174],0
d3,1,0.395414,0.722227,[9 3] ; [72 43],[7.65354331 4.34645669] ; [73.34645669 41.65354331],0
u3,1,0.407577,0.685858,[4 1] ; [30 19],[3.14814815 1.85185185] ; [30.85185185 18.14814815],0
s7,1,0.447698,0.576475,[2 9] ; [31 76],[3.07627119 7.92372881] ; [29.92372881 77.07627119],0
p10,1,0.468176,0.526277,[5 7] ; [59 53],[6.19354839 5.80645161] ; [57.80645161 54.19354839],0
s5,1,0.501926,0.450861,[ 2 10] ; [27 79],[2.94915254 9.05084746] ; [26.05084746 79.94915254],0
b5,1,0.502627,0.449385,[6 6] ; [69 46],[7.08661417 4.91338583] ; [67.91338583 47.08661417],0
b3,1,0.520907,0.412098,[3 3] ; [22 38],[2.27272727 3.72727273] ; [22.72727273 37.27272727],0
b2,1,0.520907,0.412098,[3 3] ; [22 38],[2.27272727 3.72727273] ; [22.72727273 37.27272727],0
n3,1,0.538462,0.378397,[3 3] ; [24 14],[3.68181818 2.31818182] ; [23.31818182 14.68181818],0
a2,1,0.583901,0.299971,[ 2 10] ; [ 13 102],[ 1.41732283 10.58267717] ; [ 13.58267717 101.41732283],0
v3,1,0.609405,0.261043,[4 8] ; [28 78],[3.25423729 8.74576271] ; [28.74576271 77.25423729],0
a5,1,0.62292,0.241785,[6 6] ; [66 49],[6.80314961 5.19685039] ; [65.19685039 49.80314961],0
s4,1,0.626538,0.236785,[3 9] ; [22 93],[2.36220472 9.63779528] ; [22.63779528 92.36220472],0
d5,1,0.682778,0.167016,[10  2] ; [90 25],[9.4488189 2.5511811] ; [90.5511811 24.4488189],0
n4,1,0.694644,0.154104,[4 8] ; [45 70],[4.62992126 7.37007874] ; [44.37007874 70.62992126],0
b4,1,0.694644,0.154104,[8 4] ; [70 45],[7.37007874 4.62992126] ; [70.62992126 44.37007874],0
a4,1,0.725394,0.123382,[5 7] ; [42 73],[4.44094488 7.55905512] ; [42.55905512 72.44094488],0
a7,1,0.736532,0.113198,[8 4] ; [82 33],[8.50393701 3.49606299] ; [81.49606299 33.50393701],0
d2,1,0.781743,0.076756,[4 8] ; [43 72],[4.44094488 7.55905512] ; [42.55905512 72.44094488],0
p3,1,0.807748,0.059211,[3 9] ; [25 89],[2.66666667 9.33333333] ; [25.33333333 88.66666667],0
p8,1,0.825232,0.048762,[ 2 10] ; [22 92],[2.28571429 9.71428571] ; [21.71428571 92.28571429],0
p1,1,0.866312,0.02834,[ 1 11] ; [  8 106],[ 0.85714286 11.14285714] ; [  8.14285714 105.85714286],0
d4,1,0.949672,0.003984,[10  2] ; [95 20],[9.92125984 2.07874016] ; [95.07874016 19.92125984],0
a3,1,0.949916,0.003945,[7 5] ; [66 49],[6.8976378 5.1023622] ; [66.1023622 48.8976378],0
v1,1,0.968233,0.001586,[5 7] ; [46 66],[4.93548387 7.06451613] ; [46.06451613 65.93548387],0
d1,1,0.977132,0.000822,[6 6] ; [57 58],[5.95275591 6.04724409] ; [57.04724409 57.95275591],0
u2,1,0.985537,0.000329,[3 2] ; [29 19],[3.01886792 1.98113208] ; [28.98113208 19.01886792],0
