Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.019135,5.489163,[4 3] ; [ 3 19],[1.68965517 5.31034483] ; [ 5.31034483 16.68965517],0
p6,1,0.096451,2.763269,[3 4] ; [ 3 19],[1.44827586 5.55172414] ; [ 4.55172414 17.44827586],0
p8,1,0.147569,2.097198,[4 3] ; [ 6 16],[2.4137931 4.5862069] ; [ 7.5862069 14.4137931],0
p3,1,0.1593,1.98086,[5 2] ; [ 9 13],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
s7,1,0.168509,1.896162,[4 2] ; [ 7 13],[2.53846154 3.46153846] ; [ 8.46153846 11.53846154],0
v3,1,0.183912,1.765728,[3 4] ; [ 4 18],[1.68965517 5.31034483] ; [ 5.31034483 16.68965517],0
p11,1,0.229078,1.446576,[4 3] ; [ 7 15],[2.65517241 4.34482759] ; [ 8.34482759 13.65517241],0
a7,1,0.23099,1.434756,[5 2] ; [10 12],[3.62068966 3.37931034] ; [11.37931034 10.62068966],0
b1,1,0.23099,1.434756,[5 2] ; [10 12],[3.62068966 3.37931034] ; [11.37931034 10.62068966],0
a3,1,0.23099,1.434756,[2 5] ; [12 10],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
a4,1,0.271455,1.20938,[1 6] ; [ 8 14],[2.17241379 4.82758621] ; [ 6.82758621 15.17241379],0
r4,1,0.320742,0.98592,[5 2] ; [11 11],[3.86206897 3.13793103] ; [12.13793103  9.86206897],0
a5,1,0.320742,0.98592,[2 5] ; [11 11],[3.13793103 3.86206897] ; [ 9.86206897 12.13793103],0
r1,1,0.320742,0.98592,[5 2] ; [11 11],[3.86206897 3.13793103] ; [12.13793103  9.86206897],0
p7,1,0.330931,0.945251,[4 3] ; [ 8 14],[2.89655172 4.10344828] ; [ 9.10344828 12.89655172],0
d1,1,0.330931,0.945251,[4 3] ; [ 8 14],[2.89655172 4.10344828] ; [ 9.10344828 12.89655172],0
d5,1,0.366018,0.817138,[6 1] ; [15  7],[5.06896552 1.93103448] ; [15.93103448  6.06896552],0
p1,1,0.375728,0.784632,[1 6] ; [ 1 21],[0.48275862 6.51724138] ; [ 1.51724138 20.48275862],0
a2,1,0.375728,0.784632,[1 6] ; [ 1 21],[0.48275862 6.51724138] ; [ 1.51724138 20.48275862],0
b5,1,0.42956,0.624013,[5 2] ; [12 10],[4.10344828 2.89655172] ; [12.89655172  9.10344828],0
p10,1,0.554492,0.349332,[2 5] ; [ 4 18],[1.44827586 5.55172414] ; [ 4.55172414 17.44827586],0
b4,1,0.55791,0.343336,[5 2] ; [13  9],[4.34482759 2.65517241] ; [13.65517241  8.34482759],0
d4,1,0.55791,0.343336,[5 2] ; [13  9],[4.34482759 2.65517241] ; [13.65517241  8.34482759],0
a6,1,0.592516,0.286432,[3 4] ; [ 7 15],[2.4137931 4.5862069] ; [ 7.5862069 14.4137931],0
r2,1,0.594853,0.282828,[6 1] ; [16  5],[5.5 1.5] ; [16.5  4.5],0
s5,1,0.594853,0.282828,[1 5] ; [ 6 16],[1.5 4.5] ; [ 5.5 16.5],0
u3,1,0.679708,0.170455,[4 1] ; [7 3],[3.66666667 1.33333333] ; [7.33333333 2.66666667],0
u1,1,0.69426,0.154512,[1 6] ; [ 2 20],[0.72413793 6.27586207] ; [ 2.27586207 19.72413793],0
u2,1,0.714393,0.133929,[3 2] ; [5 5],[2.66666667 2.33333333] ; [5.33333333 4.66666667],0
d2,1,0.741854,0.108503,[3 4] ; [11 11],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
n4,1,0.741854,0.108503,[4 3] ; [11 11],[3.62068966 3.37931034] ; [11.37931034 10.62068966],0
n5,1,0.741854,0.108503,[4 3] ; [11 11],[3.62068966 3.37931034] ; [11.37931034 10.62068966],0
n6,1,0.757782,0.095107,[4 3] ; [14  8],[4.34482759 2.65517241] ; [13.65517241  8.34482759],0
v1,1,0.871524,0.026154,[2 5] ; [ 7 15],[2.17241379 4.82758621] ; [ 6.82758621 15.17241379],0
d3,1,0.904201,0.014486,[4 3] ; [12 10],[3.86206897 3.13793103] ; [12.13793103  9.86206897],0
