Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.657744,[30  5] ; [ 7 21],[20.55555556 14.44444444] ; [16.44444444 11.55555556],1
s2,1,4.2e-05,16.8,[23 12] ; [ 4 24],[15. 20.] ; [12. 16.],1
s7,1,0.00154,10.030263,[20 15] ; [ 5 23],[13.88888889 21.11111111] ; [11.11111111 16.88888889],0
n1,1,0.011743,6.349206,[7 1] ; [2 6],[4.5 3.5] ; [4.5 3.5],0
n5,1,0.014237,6.008536,[24 11] ; [11 18],[19.140625 15.859375] ; [15.859375 13.140625],0
s5,1,0.047423,3.930317,[ 9 25] ; [ 2 26],[ 6.03225806 27.96774194] ; [ 4.96774194 23.03225806],0
b3,1,0.054364,3.701478,[ 8 13] ; [ 2 16],[ 5.38461538 15.61538462] ; [ 4.61538462 13.38461538],0
b2,1,0.054364,3.701478,[ 8 13] ; [ 2 16],[ 5.38461538 15.61538462] ; [ 4.61538462 13.38461538],0
p4,1,0.058781,3.571454,[25 10] ; [14 15],[21.328125 13.671875] ; [17.671875 11.328125],0
s8,1,0.089713,2.879511,[16 19] ; [ 7 21],[12.77777778 22.22222222] ; [10.22222222 17.77777778],0
r1,1,0.092423,2.831649,[29  6] ; [18 10],[26.11111111  8.88888889] ; [20.88888889  7.11111111],0
a8,1,0.104494,2.635578,[ 6 25] ; [ 1 22],[ 4.01851852 26.98148148] ; [ 2.98148148 20.01851852],0
a6,1,0.11652,2.463481,[20 15] ; [22  7],[22.96875 12.03125] ; [19.03125  9.96875],0
p5,1,0.138693,2.192401,[ 5 30] ; [ 1 28],[ 3.28125 31.71875] ; [ 2.71875 26.28125],0
n4,1,0.169084,1.891044,[24 11] ; [15 14],[21.328125 13.671875] ; [17.671875 11.328125],0
n3,1,0.229142,1.446181,[3 5] ; [6 3],[4.23529412 3.76470588] ; [4.76470588 4.23529412],0
p9,1,0.233456,1.419677,[16 18] ; [ 9 19],[13.70967742 20.29032258] ; [11.29032258 16.70967742],0
b5,1,0.263844,1.248473,[22 13] ; [22  7],[24.0625 10.9375] ; [19.9375  9.0625],0
r2,1,0.26969,1.218323,[33  2] ; [25  4],[31.71875  3.28125] ; [26.28125  2.71875],0
p3,1,0.28023,1.165974,[18 17] ; [11 18],[15.859375 19.140625] ; [13.140625 15.859375],0
d1,1,0.28023,1.165974,[17 18] ; [18 11],[19.140625 15.859375] ; [15.859375 13.140625],0
u1,1,0.289611,1.12143,[ 7 28] ; [ 3 26],[ 5.46875 29.53125] ; [ 4.53125 24.46875],0
v2,1,0.30373,1.057745,[16 19] ; [17 12],[18.046875 16.953125] ; [14.953125 14.046875],0
d4,1,0.314398,1.01211,[29  6] ; [21  8],[27.34375  7.65625] ; [22.65625  6.34375],0
u2,1,0.314736,1.010695,[ 5 11] ; [6 6],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
d2,1,0.34828,0.879715,[14 21] ; [15 14],[15.859375 19.140625] ; [13.140625 15.859375],0
n6,1,0.409327,0.680754,[27  8] ; [19  9],[25.55555556  9.44444444] ; [20.44444444  7.55555556],0
a4,1,0.417619,0.657006,[13 22] ; [ 8 21],[11.484375 23.515625] ; [ 9.515625 19.484375],0
b1,1,0.422571,0.643153,[18 17] ; [12 17],[16.40625 18.59375] ; [13.59375 15.40625],0
r3,1,0.446625,0.579203,[34  1] ; [27  2],[33.359375  1.640625] ; [27.640625  1.359375],0
d3,1,0.468525,0.525452,[25 10] ; [23  6],[26.25  8.75] ; [21.75  7.25],0
p2,1,0.488685,0.479421,[29  6] ; [22  7],[27.890625  7.109375] ; [23.109375  5.890625],0
r4,1,0.499051,0.456954,[30  5] ; [23  6],[28.984375  6.015625] ; [24.015625  4.984375],0
v4,1,0.505242,0.443908,[32  3] ; [25  4],[31.171875  3.828125] ; [25.828125  3.171875],0
v3,1,0.573073,0.317567,[12 22] ; [ 8 20],[10.96774194 23.03225806] ; [ 9.03225806 18.96774194],0
a7,1,0.611533,0.257949,[25 10] ; [19 10],[24.0625 10.9375] ; [19.9375  9.0625],0
p6,1,0.627327,0.235704,[17 18] ; [11 15],[16.06557377 18.93442623] ; [11.93442623 14.06557377],0
a5,1,0.649939,0.205977,[21 14] ; [19 10],[21.875 13.125] ; [18.125 10.875],0
s1,1,0.691469,0.1575,[ 2 33] ; [ 1 27],[ 1.66666667 33.33333333] ; [ 1.33333333 26.66666667],0
n2,1,0.70663,0.141667,[6 2] ; [6 3],[5.64705882 2.35294118] ; [6.35294118 2.64705882],0
a3,1,0.72784,0.121104,[19 16] ; [17 12],[19.6875 15.3125] ; [16.3125 12.6875],0
p11,1,0.72784,0.121104,[19 16] ; [17 12],[19.6875 15.3125] ; [16.3125 12.6875],0
u3,1,0.742787,0.107692,[7 9] ; [6 6],[7.42857143 8.57142857] ; [5.57142857 6.42857143],0
p1,1,0.858143,0.031947,[ 4 30] ; [ 3 26],[ 3.77777778 30.22222222] ; [ 3.22222222 25.77777778],0
d5,1,0.90416,0.014498,[27  8] ; [22  7],[26.796875  8.203125] ; [22.203125  6.796875],0
v1,1,0.910948,0.012509,[14 21] ; [12 17],[14.21875 20.78125] ; [11.78125 17.21875],0
b4,1,0.910948,0.012509,[21 14] ; [17 12],[20.78125 14.21875] ; [17.21875 11.78125],0
p7,1,0.930461,0.007615,[25 10] ; [21  8],[25.15625  9.84375] ; [20.84375  8.15625],0
a2,1,0.945575,0.00466,[ 7 28] ; [ 6 23],[ 7.109375 27.890625] ; [ 5.890625 23.109375],0
