Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-05,18.159679,[33  8] ; [ 4 14],[25.71186441 15.28813559] ; [11.28813559  6.71186441],1
s8,1,8.8e-05,15.378302,[28 13] ; [ 2 15],[21.20689655 19.79310345] ; [8.79310345 8.20689655],1
p9,1,0.002305,9.289588,[37  4] ; [10  8],[32.66101695  8.33898305] ; [14.33898305  3.66101695],0
s5,1,0.007146,7.235962,[20 15] ; [ 3 14],[15.48076923 19.51923077] ; [7.51923077 9.48076923],0
a5,1,0.008807,6.861511,[34  7] ; [9 9],[29.88135593 11.11864407] ; [13.11864407  4.88135593],0
d3,1,0.01119,6.434843,[34  7] ; [8 8],[30.21052632 10.78947368] ; [11.78947368  4.21052632],0
s6,1,0.015236,5.88895,[31  8] ; [8 9],[27.16071429 11.83928571] ; [11.83928571  5.16071429],0
d1,1,0.019885,5.421965,[31 10] ; [ 8 10],[27.10169492 13.89830508] ; [11.89830508  6.10169492],0
a3,1,0.020226,5.392253,[32  8] ; [9 9],[28.27586207 11.72413793] ; [12.72413793  5.27586207],0
s3,1,0.020521,5.366991,[27 14] ; [ 6 12],[22.93220339 18.06779661] ; [10.06779661  7.93220339],0
p4,1,0.054531,3.696364,[29 12] ; [ 8 10],[25.71186441 15.28813559] ; [11.28813559  6.71186441],0
v2,1,0.08061,3.052569,[26 15] ; [ 7 11],[22.93220339 18.06779661] ; [10.06779661  7.93220339],0
p7,1,0.085245,2.961947,[27 13] ; [16  2],[29.65517241 10.34482759] ; [13.34482759  4.65517241],0
a7,1,0.086323,2.941639,[33  8] ; [10  7],[30.39655172 10.60344828] ; [12.60344828  4.39655172],0
d4,1,0.100383,2.699446,[35  6] ; [12  6],[32.66101695  8.33898305] ; [14.33898305  3.66101695],0
b4,1,0.107299,2.593552,[23 18] ; [ 6 12],[20.15254237 20.84745763] ; [8.84745763 9.15254237],0
v1,1,0.107299,2.593552,[23 18] ; [ 6 12],[20.15254237 20.84745763] ; [8.84745763 9.15254237],0
n1,1,0.115993,2.470604,[9 4] ; [1 3],[7.64705882 5.35294118] ; [2.35294118 1.64705882],0
u1,1,0.126021,2.340852,[15 26] ; [ 3 15],[12.50847458 28.49152542] ; [ 5.49152542 12.50847458],0
d5,1,0.129851,2.294282,[34  7] ; [11  6],[31.81034483  9.18965517] ; [13.18965517  3.81034483],0
v4,1,0.134381,2.241147,[39  2] ; [15  3],[37.52542373  3.47457627] ; [16.47457627  1.52542373],0
u3,1,0.146924,2.103896,[7 2] ; [4 5],[5.5 3.5] ; [5.5 3.5],0
v3,1,0.166758,1.91185,[16 23] ; [ 4 14],[13.68421053 25.31578947] ; [ 6.31578947 11.68421053],0
b5,1,0.172247,1.863275,[27 14] ; [15  3],[29.18644068 11.81355932] ; [12.81355932  5.18644068],0
n4,1,0.177834,1.81563,[32  9] ; [11  7],[29.88135593 11.11864407] ; [13.11864407  4.88135593],0
r1,1,0.232641,1.42464,[35  6] ; [13  5],[33.3559322  7.6440678] ; [14.6440678  3.3559322],0
d2,1,0.25754,1.281932,[31 10] ; [11  7],[29.18644068 11.81355932] ; [12.81355932  5.18644068],0
a6,1,0.346777,0.885214,[28 13] ; [10  8],[26.40677966 14.59322034] ; [11.59322034  6.40677966],0
p10,1,0.354281,0.858063,[30 11] ; [11  7],[28.49152542 12.50847458] ; [12.50847458  5.49152542],0
a8,1,0.356552,0.85,[ 5 29] ; [ 1 16],[ 4. 30.] ; [ 2. 15.],0
n6,1,0.371352,0.799134,[33  7] ; [13  5],[31.72413793  8.27586207] ; [14.27586207  3.72413793],0
a4,1,0.543103,0.369819,[24 17] ; [9 9],[22.93220339 18.06779661] ; [10.06779661  7.93220339],0
s1,1,0.593736,0.284548,[ 4 37] ; [ 1 17],[ 3.47457627 37.52542373] ; [ 1.52542373 16.47457627],0
p2,1,0.628108,0.234635,[32  9] ; [13  5],[31.27118644  9.72881356] ; [13.72881356  4.27118644],0
u2,1,0.628745,0.233766,[6 3] ; [5 4],[5.5 3.5] ; [5.5 3.5],0
a2,1,0.629773,0.232369,[14 27] ; [ 5 13],[13.20338983 27.79661017] ; [ 5.79661017 12.20338983],0
r4,1,0.629942,0.232139,[38  3] ; [16  2],[37.52542373  3.47457627] ; [16.47457627  1.52542373],0
n5,1,0.651612,0.203874,[29 11] ; [12  6],[28.27586207 11.72413793] ; [12.72413793  5.27586207],0
n3,1,0.659118,0.194597,[11  2] ; [3 1],[10.70588235  2.29411765] ; [3.29411765 0.70588235],0
s4,1,0.708255,0.140026,[11 30] ; [ 4 14],[10.42372881 30.57627119] ; [ 4.57627119 13.42372881],0
p8,1,0.795542,0.067143,[19 22] ; [9 9],[19.45762712 21.54237288] ; [8.54237288 9.45762712],0
b1,1,0.795542,0.067143,[22 19] ; [9 9],[21.54237288 19.45762712] ; [9.45762712 8.54237288],0
r3,1,0.804277,0.061413,[38  3] ; [17  1],[38.22033898  2.77966102] ; [16.77966102  1.22033898],0
p3,1,0.852948,0.034358,[24 17] ; [11  7],[24.3220339 16.6779661] ; [10.6779661  7.3220339],0
p5,1,0.905624,0.014056,[ 5 36] ; [ 2 16],[ 4.86440678 36.13559322] ; [ 2.13559322 15.86440678],0
b2,1,0.981629,0.00053,[11 14] ; [4 5],[11.02941176 13.97058824] ; [3.97058824 5.02941176],0
b3,1,0.981629,0.00053,[11 14] ; [4 5],[11.02941176 13.97058824] ; [3.97058824 5.02941176],0
