Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.481263,[13 42] ; [20  4],[22.97468354 32.02531646] ; [10.02531646 13.97468354],1
s2,1,5.8e-05,16.173322,[16 43] ; [18  6],[24.1686747 34.8313253] ; [ 9.8313253 14.1686747],1
s3,1,0.00096,10.903235,[19 38] ; [17  6],[25.65 31.35] ; [10.35 12.65],1
s6,1,0.004576,8.039966,[24 35] ; [18  6],[29.85542169 29.14457831] ; [12.14457831 11.85542169],0
v3,1,0.010007,6.633739,[ 7 52] ; [ 9 16],[11.23809524 47.76190476] ; [ 4.76190476 20.23809524],0
p4,1,0.026926,4.89558,[25 35] ; [17  8],[29.64705882 30.35294118] ; [12.35294118 12.64705882],0
p6,1,0.041595,4.151593,[14 46] ; [11 13],[17.85714286 42.14285714] ; [ 7.14285714 16.85714286],0
a3,1,0.062072,3.481146,[27 32] ; [17  8],[30.9047619 28.0952381] ; [13.0952381 11.9047619],0
n5,1,0.070183,3.278741,[31 27] ; [18  6],[34.65853659 23.34146341] ; [14.34146341  9.65853659],0
v2,1,0.076807,3.131204,[20 37] ; [14 11],[23.63414634 33.36585366] ; [10.36585366 14.63414634],0
d2,1,0.091345,2.850502,[13 46] ; [10 15],[16.1547619 42.8452381] ; [ 6.8452381 18.1547619],0
d4,1,0.091519,2.847458,[36 23] ; [20  5],[39.33333333 19.66666667] ; [16.66666667  8.33333333],0
u3,1,0.10247,2.666667,[10 22] ; [5 3],[12. 20.] ; [3. 5.],0
r3,1,0.11914,2.428584,[35 21] ; [20  5],[38.02469136 17.97530864] ; [16.97530864  8.02469136],0
a5,1,0.161168,1.96323,[26 34] ; [15 10],[28.94117647 31.05882353] ; [12.05882353 12.94117647],0
d1,1,0.161429,1.960787,[17 43] ; [11 14],[19.76470588 40.23529412] ; [ 8.23529412 16.76470588],0
p11,1,0.171462,1.870111,[39 21] ; [20  5],[41.64705882 18.35294118] ; [17.35294118  7.64705882],0
p10,1,0.178311,1.811642,[37 22] ; [18  5],[39.57317073 19.42682927] ; [15.42682927  7.57317073],0
p9,1,0.20926,1.57654,[42 18] ; [20  4],[44.28571429 15.71428571] ; [17.71428571  6.28571429],0
n4,1,0.212428,1.5548,[32 28] ; [17  8],[34.58823529 25.41176471] ; [14.41176471 10.58823529],0
p8,1,0.223668,1.480678,[20 39] ; [12 13],[22.47619048 36.52380952] ; [ 9.52380952 15.47619048],0
d5,1,0.236032,1.404137,[35 25] ; [18  7],[37.41176471 22.58823529] ; [15.58823529  9.41176471],0
a8,1,0.355637,0.853242,[ 2 53] ; [ 2 21],[ 2.82051282 52.17948718] ; [ 1.17948718 21.82051282],0
n2,1,0.376363,0.782547,[16 10] ; [7 2],[17.08571429  8.91428571] ; [5.91428571 3.08571429],0
b4,1,0.382619,0.762271,[35 25] ; [12 13],[33.17647059 26.82352941] ; [13.82352941 11.17647059],0
a2,1,0.415072,0.664225,[ 4 56] ; [ 3 22],[ 4.94117647 55.05882353] ; [ 2.05882353 22.94117647],0
b1,1,0.432916,0.614987,[32 28] ; [11 14],[30.35294118 29.64705882] ; [12.64705882 12.35294118],0
v1,1,0.447872,0.576032,[22 35] ; [11 12],[23.5125 33.4875] ; [ 9.4875 13.5125],0
p7,1,0.44791,0.575935,[29 30] ; [14 10],[30.56626506 28.43373494] ; [12.43373494 11.56626506],0
u2,1,0.476462,0.50695,[15 16] ; [5 3],[15.8974359 15.1025641] ; [4.1025641 3.8974359],0
a4,1,0.48458,0.488538,[17 43] ; [ 9 16],[18.35294118 41.64705882] ; [ 7.64705882 17.35294118],0
d3,1,0.505101,0.444203,[33 26] ; [12 13],[31.60714286 27.39285714] ; [13.39285714 11.60714286],0
s1,1,0.51785,0.418173,[ 1 59] ; [ 1 24],[ 1.41176471 58.58823529] ; [ 0.58823529 24.41176471],0
b2,1,0.598542,0.2772,[ 7 23] ; [ 6 14],[ 7.8 22.2] ; [ 5.2 14.8],0
b3,1,0.598542,0.2772,[ 7 23] ; [ 6 14],[ 7.8 22.2] ; [ 5.2 14.8],0
n3,1,0.598901,0.276657,[17  9] ; [5 4],[16.34285714  9.65714286] ; [5.65714286 3.34285714],0
a7,1,0.600745,0.273874,[32 27] ; [12 13],[30.9047619 28.0952381] ; [13.0952381 11.9047619],0
s5,1,0.620651,0.244953,[13 46] ; [ 6 16],[13.83950617 45.16049383] ; [ 5.16049383 16.83950617],0
p3,1,0.662574,0.190412,[21 39] ; [10 15],[21.88235294 38.11764706] ; [ 9.11764706 15.88235294],0
r2,1,0.707837,0.140447,[32 24] ; [11 10],[31.27272727 24.72727273] ; [11.72727273  9.27272727],0
n1,1,0.713694,0.134615,[ 7 19] ; [3 6],[ 7.42857143 18.57142857] ; [2.57142857 6.42857143],0
a6,1,0.715332,0.133009,[29 31] ; [11 14],[28.23529412 31.76470588] ; [11.76470588 13.23529412],0
p5,1,0.773549,0.082792,[ 6 54] ; [ 2 23],[ 5.64705882 54.35294118] ; [ 2.35294118 22.64705882],0
u1,1,0.826901,0.04782,[ 4 56] ; [ 2 23],[ 4.23529412 55.76470588] ; [ 1.76470588 23.23529412],0
s4,1,0.835456,0.043143,[13 46] ; [ 5 20],[12.64285714 46.35714286] ; [ 5.35714286 19.64285714],0
a1,1,0.842753,0.039352,[ 3 57] ; [ 1 24],[ 2.82352941 57.17647059] ; [ 1.17647059 23.82352941],0
n6,1,0.867238,0.027945,[40 18] ; [17  7],[40.31707317 17.68292683] ; [16.68292683  7.31707317],0
b5,1,0.886874,0.020238,[35 25] ; [15 10],[35.29411765 24.70588235] ; [14.70588235 10.29411765],0
p12,1,0.890415,0.018983,[ 2 57] ; [ 1 24],[ 2.10714286 56.89285714] ; [ 0.89285714 24.10714286],0
v4,1,0.917547,0.010717,[44 13] ; [18  5],[44.175 12.825] ; [17.825  5.175],0
r1,1,0.974337,0.001035,[17 42] ; [ 7 17],[17.06024096 41.93975904] ; [ 6.93975904 17.06024096],0
