Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.551887,[2 4] ; [76  6],[5.31818182 0.68181818] ; [72.68181818  9.31818182],1
r2,1,0.000337,12.85065,[3 3] ; [76  5],[5.44827586 0.55172414] ; [73.55172414  7.44827586],1
r3,1,0.0076,7.125388,[4 2] ; [78  4],[5.59090909 0.40909091] ; [76.40909091  5.59090909],0
a7,1,0.024798,5.03794,[2 4] ; [62 20],[4.36363636 1.63636364] ; [59.63636364 22.36363636],0
s2,1,0.033803,4.504625,[1 5] ; [50 32],[3.47727273 2.52272727] ; [47.52272727 34.47727273],0
v1,1,0.037761,4.315752,[2 4] ; [58 21],[4.23529412 1.76470588] ; [55.76470588 23.23529412],0
s7,1,0.04019,4.209857,[2 4] ; [57 21],[4.21428571 1.78571429] ; [54.78571429 23.21428571],0
v3,1,0.041367,4.160923,[1 5] ; [47 32],[3.38823529 2.61176471] ; [44.61176471 34.38823529],0
p8,1,0.063076,3.454588,[3 3] ; [67 15],[4.77272727 1.22727273] ; [65.22727273 16.77272727],0
p3,1,0.098657,2.727116,[3 3] ; [65 17],[4.63636364 1.36363636] ; [63.36363636 18.63636364],0
d3,1,0.119724,2.420927,[3 3] ; [64 18],[4.56818182 1.43181818] ; [62.43181818 19.56818182],0
s8,1,0.126322,2.337127,[2 4] ; [53 29],[3.75 2.25] ; [51.25 30.75],0
p9,1,0.139777,2.18041,[5 1] ; [79  3],[5.72727273 0.27272727] ; [78.27272727  3.72727273],0
s3,1,0.144076,2.133872,[2 4] ; [52 30],[3.68181818 2.31818182] ; [50.31818182 31.68181818],0
b4,1,0.210873,1.565423,[5 1] ; [47 35],[3.54545455 2.45454545] ; [48.45454545 33.54545455],0
v2,1,0.211213,1.563095,[2 4] ; [47 32],[3.45882353 2.54117647] ; [45.54117647 33.45882353],0
d1,1,0.224423,1.475865,[3 3] ; [60 22],[4.29545455 1.70454545] ; [58.70454545 23.29545455],0
s6,1,0.304342,1.055072,[4 2] ; [65 13],[4.92857143 1.07142857] ; [64.07142857 13.92857143],0
n6,1,0.311431,1.024599,[4 1] ; [76  6],[4.59770115 0.40229885] ; [75.40229885  6.59770115],0
s1,1,0.321456,0.983013,[1 5] ; [ 5 77],[0.40909091 5.59090909] ; [ 5.59090909 76.40909091],0
p10,1,0.334043,0.93316,[5 1] ; [75  5],[5.58139535 0.41860465] ; [74.41860465  5.58139535],0
b5,1,0.33596,0.925786,[4 2] ; [38 44],[2.86363636 3.13636364] ; [39.13636364 42.86363636],0
p2,1,0.389125,0.741676,[4 1] ; [75  7],[4.54022989 0.45977011] ; [74.45977011  7.54022989],0
p6,1,0.410409,0.677615,[2 3] ; [47 33],[2.88235294 2.11764706] ; [46.11764706 33.88235294],0
r1,1,0.417836,0.656394,[4 2] ; [66 16],[4.77272727 1.22727273] ; [65.22727273 16.77272727],0
s5,1,0.45094,0.568289,[3 3] ; [49 26],[3.85185185 2.14814815] ; [48.14814815 26.85185185],0
a4,1,0.464623,0.534734,[2 4] ; [40 42],[2.86363636 3.13636364] ; [39.13636364 42.86363636],0
a6,1,0.471944,0.517422,[3 3] ; [53 29],[3.81818182 2.18181818] ; [52.18181818 29.81818182],0
p12,1,0.573833,0.316312,[1 5] ; [22 59],[1.5862069 4.4137931] ; [21.4137931 59.5862069],0
b1,1,0.61389,0.254549,[2 4] ; [36 46],[2.59090909 3.40909091] ; [35.40909091 46.59090909],0
p1,1,0.668327,0.183565,[1 5] ; [20 62],[1.43181818 4.56818182] ; [19.56818182 62.43181818],0
b2,1,0.720015,0.128479,[2 3] ; [29 31],[2.38461538 2.61538462] ; [28.61538462 31.38461538],0
b3,1,0.720015,0.128479,[2 3] ; [29 31],[2.38461538 2.61538462] ; [28.61538462 31.38461538],0
n5,1,0.749197,0.102207,[5 1] ; [72 10],[5.25 0.75] ; [71.75 10.25],0
d5,1,0.749197,0.102207,[5 1] ; [72 10],[5.25 0.75] ; [71.75 10.25],0
p4,1,0.758618,0.094431,[5 1] ; [71 10],[5.24137931 0.75862069] ; [70.75862069 10.24137931],0
a5,1,0.761364,0.092228,[5 1] ; [64 18],[4.70454545 1.29545455] ; [64.29545455 17.70454545],0
a2,1,0.811657,0.056782,[1 5] ; [17 65],[1.22727273 4.77272727] ; [16.77272727 65.22727273],0
p7,1,0.832315,0.044831,[5 1] ; [63 16],[4.8 1.2] ; [63.2 15.8],0
p11,1,0.892262,0.018345,[5 1] ; [70 12],[5.11363636 0.88636364] ; [69.88636364 12.11363636],0
a8,1,0.894432,0.017609,[1 5] ; [11 64],[0.88888889 5.11111111] ; [11.11111111 63.88888889],0
a3,1,0.979607,0.000653,[5 1] ; [68 14],[4.97727273 1.02272727] ; [68.02272727 13.97727273],0
n3,1,1.0,0.0,[1 1] ; [9 9],[1. 1.] ; [9. 9.],0
