Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.000704,11.479763,[ 8 18] ; [35 14],[14.90666667 11.09333333] ; [28.09333333 20.90666667],1
p10,1,0.000918,10.986782,[ 9 16] ; [37 12],[15.54054054  9.45945946] ; [30.45945946 18.54054054],1
p9,1,0.014044,6.032579,[13 12] ; [39 10],[17.56756757  7.43243243] ; [34.43243243 14.56756757],0
r4,1,0.021167,5.312991,[17  9] ; [43  6],[20.8  5.2] ; [39.2  9.8],0
n4,1,0.029956,4.711837,[12 13] ; [36 13],[16.21621622  8.78378378] ; [31.78378378 17.21621622],0
r3,1,0.05946,3.552378,[19  6] ; [45  4],[21.62162162  3.37837838] ; [42.37837838  6.62162162],0
v4,1,0.069009,3.306432,[20  5] ; [46  3],[22.2972973  2.7027027] ; [43.7027027  5.2972973],0
p1,1,0.080089,3.063092,[ 5 21] ; [ 3 46],[ 2.77333333 23.22666667] ; [ 5.22666667 43.77333333],0
n6,1,0.08144,3.035928,[15 10] ; [38 10],[18.15068493  6.84931507] ; [34.84931507 13.15068493],0
s8,1,0.101826,2.676713,[ 8 17] ; [25 23],[11.30136986 13.69863014] ; [21.69863014 26.30136986],0
b1,1,0.108939,2.56955,[14 12] ; [17 32],[10.74666667 15.25333333] ; [20.25333333 28.74666667],0
a2,1,0.110008,2.554112,[ 7 19] ; [ 6 43],[ 4.50666667 21.49333333] ; [ 8.49333333 40.50666667],0
n3,1,0.126858,2.330532,[11  3] ; [6 6],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
s6,1,0.147826,2.094545,[14 10] ; [36 12],[16.66666667  7.33333333] ; [33.33333333 14.66666667],0
a8,1,0.158621,1.987327,[ 4 19] ; [ 3 43],[ 2.33333333 20.66666667] ; [ 4.66666667 41.33333333],0
p3,1,0.183044,1.772734,[ 6 19] ; [19 29],[ 8.56164384 16.43835616] ; [16.43835616 31.56164384],0
n5,1,0.184437,1.761502,[14 11] ; [35 14],[16.55405405  8.44594595] ; [32.44594595 16.55405405],0
n2,1,0.191785,1.703855,[10  4] ; [11  1],[11.30769231  2.69230769] ; [9.69230769 2.30769231],0
p4,1,0.208481,1.581944,[ 7 19] ; [20 28],[ 9.48648649 16.51351351] ; [17.51351351 30.48648649],0
d3,1,0.270202,1.215721,[17  9] ; [25 23],[14.75675676 11.24324324] ; [27.24324324 20.75675676],0
s2,1,0.277655,1.178532,[14 12] ; [32 16],[16.16216216  9.83783784] ; [29.83783784 18.16216216],0
s5,1,0.283549,1.15,[ 6 17] ; [18 28],[ 8. 15.] ; [16. 30.],0
s1,1,0.319699,0.990179,[ 4 21] ; [ 4 44],[ 2.73972603 22.26027397] ; [ 5.26027397 42.73972603],0
a4,1,0.366133,0.816747,[14 11] ; [22 27],[12.16216216 12.83783784] ; [23.83783784 25.16216216],0
a5,1,0.390987,0.735871,[19  7] ; [31 18],[17.33333333  8.66666667] ; [32.66666667 16.33333333],0
p6,1,0.409546,0.680119,[ 6 19] ; [16 32],[ 7.53424658 17.46575342] ; [14.46575342 33.53424658],0
a1,1,0.410621,0.677002,[ 3 23] ; [ 3 46],[ 2.08 23.92] ; [ 3.92 45.08],0
s3,1,0.420234,0.649661,[17  8] ; [28 20],[15.4109589  9.5890411] ; [29.5890411 18.4109589],0
u2,1,0.435819,0.607265,[4 5] ; [12  8],[4.96551724 4.03448276] ; [11.03448276  8.96551724],0
u3,1,0.437589,0.602597,[6 3] ; [16  4],[6.82758621 2.17241379] ; [15.17241379  4.82758621],0
v2,1,0.441619,0.592073,[12 12] ; [28 19],[13.52112676 10.47887324] ; [26.47887324 20.52112676],0
a3,1,0.459525,0.54705,[17  8] ; [29 20],[15.54054054  9.45945946] ; [30.45945946 18.54054054],0
p8,1,0.489133,0.478433,[ 6 20] ; [15 34],[ 7.28 18.72] ; [13.72 35.28],0
r1,1,0.491418,0.473421,[17  8] ; [37 12],[18.24324324  6.75675676] ; [35.75675676 13.24324324],0
p7,1,0.491934,0.472292,[ 9 16] ; [20 25],[10.35714286 14.64285714] ; [18.64285714 26.35714286],0
d4,1,0.498569,0.45798,[17  9] ; [35 13],[18.27027027  7.72972973] ; [33.72972973 14.27027027],0
v3,1,0.512977,0.427989,[ 9 15] ; [21 25],[10.28571429 13.71428571] ; [19.71428571 26.28571429],0
a7,1,0.569865,0.322909,[16  9] ; [28 21],[14.86486486 10.13513514] ; [29.13513514 19.86486486],0
r2,1,0.593751,0.284524,[22  3] ; [45  4],[22.63513514  2.36486486] ; [44.36486486  4.63513514],0
d2,1,0.606531,0.265257,[13 13] ; [21 27],[11.94594595 14.05405405] ; [22.05405405 25.94594595],0
d5,1,0.659108,0.194609,[16 10] ; [32 16],[16.86486486  9.13513514] ; [31.13513514 16.86486486],0
s7,1,0.667439,0.184612,[10 13] ; [23 24],[10.84285714 12.15714286] ; [22.15714286 24.84285714],0
n1,1,0.670896,0.180556,[7 7] ; [7 5],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
s4,1,0.679782,0.170372,[ 5 21] ; [11 36],[ 5.69863014 20.30136986] ; [10.30136986 36.69863014],0
d1,1,0.688284,0.16095,[12 14] ; [25 24],[12.82666667 13.17333333] ; [24.17333333 24.82666667],0
b2,1,0.817764,0.053094,[5 8] ; [16 22],[5.35294118 7.64705882] ; [15.64705882 22.35294118],0
b3,1,0.817764,0.053094,[5 8] ; [16 22],[5.35294118 7.64705882] ; [15.64705882 22.35294118],0
a6,1,0.842575,0.039442,[14 12] ; [27 21],[14.40540541 11.59459459] ; [26.59459459 21.40540541],0
u1,1,0.898131,0.01639,[ 4 22] ; [ 7 42],[ 3.81333333 22.18666667] ; [ 7.18666667 41.81333333],0
