Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,51.481092,[268  12] ; [4 6],[262.62068966  17.37931034] ; [9.37931034 0.62068966],1
d1,1,0.000496,12.128918,[180 100] ; [1 9],[174.75862069 105.24137931] ; [6.24137931 3.75862069],1
v4,1,0.001756,9.788874,[272   7] ; [8 2],[270.31141869   8.68858131] ; [9.68858131 0.31141869],0
d3,1,0.014106,6.024888,[208  70] ; [4 6],[204.63888889  73.36111111] ; [7.36111111 2.63888889],0
a4,1,0.014997,5.916803,[137 142] ; [1 9],[133.22491349 145.77508651] ; [4.77508651 5.22491349],0
s2,1,0.015168,5.896864,[208  71] ; [4 6],[204.66435986  74.33564014] ; [7.33564014 2.66435986],0
r1,1,0.017634,5.632156,[241  37] ; [6 4],[238.42361111  39.57638889] ; [8.57638889 1.42361111],0
n6,1,0.034181,4.48562,[250  26] ; [7 3],[248.01398601  27.98601399] ; [8.98601399 1.01398601],0
s3,1,0.054909,3.684843,[212  65] ; [5 5],[209.43902439  67.56097561] ; [7.56097561 2.43902439],0
a3,1,0.060172,3.532639,[231  47] ; [6 4],[228.77083333  49.22916667] ; [8.22916667 1.77083333],0
r3,1,0.072951,3.215334,[275   5] ; [9 1],[274.20689655   5.79310345] ; [9.79310345 0.20689655],0
n3,1,0.096199,2.767454,[39 13] ; [2 3],[37.40350877 14.59649123] ; [3.59649123 1.40350877],0
n2,1,0.120093,2.416106,[45  7] ; [3 2],[43.78947368  8.21052632] ; [4.21052632 0.78947368],0
b4,1,0.12457,2.358896,[153 127] ; [3 7],[150.62068966 129.37931034] ; [5.37931034 4.62068966],0
v2,1,0.131194,2.278314,[174 100] ; [4 6],[171.73239437 102.26760563] ; [6.26760563 3.73239437],0
b5,1,0.136243,2.219882,[151 129] ; [3 7],[148.68965517 131.31034483] ; [5.31034483 4.68965517],0
d2,1,0.161494,1.960177,[146 132] ; [3 7],[143.82638889 134.17361111] ; [5.17361111 4.82638889],0
a7,1,0.168861,1.893022,[197  83] ; [5 5],[195.03448276  84.96551724] ; [6.96551724 3.03448276],0
s4,1,0.188227,1.731443,[ 62 217] ; [4 6],[ 63.71626298 215.28373702] ; [2.28373702 7.71626298],0
b1,1,0.188898,1.72619,[110 170] ; [6 4],[112. 168.] ; [4. 6.],0
a2,1,0.205407,1.603508,[ 79 201] ; [1 9],[ 77.24137931 202.75862069] ; [2.75862069 7.24137931],0
n4,1,0.217782,1.518928,[235  43] ; [7 3],[233.59722222  44.40277778] ; [8.40277778 1.59722222],0
n5,1,0.303088,1.060557,[229  48] ; [7 3],[227.77700348  49.22299652] ; [8.22299652 1.77700348],0
u1,1,0.317072,1.000985,[ 66 214] ; [1 9],[ 64.68965517 215.31034483] ; [2.31034483 7.68965517],0
p12,1,0.359856,0.838397,[ 30 249] ; [2 8],[ 30.89273356 248.10726644] ; [1.10726644 8.89273356],0
p5,1,0.371975,0.797055,[ 52 226] ; [3 7],[ 53.09027778 224.90972222] ; [1.90972222 8.09027778],0
p8,1,0.41358,0.668485,[189  90] ; [8 2],[190.183391  88.816609] ; [6.816609 3.183391],0
a8,1,0.42317,0.641496,[ 52 204] ; [1 9],[ 51.0075188 204.9924812] ; [1.9924812 8.0075188],0
s8,1,0.442999,0.588501,[198  80] ; [6 4],[196.91666667  81.08333333] ; [7.08333333 2.91666667],0
v3,1,0.512157,0.429657,[137 134] ; [4 6],[135.98220641 135.01779359] ; [5.01779359 4.98220641],0
d4,1,0.67658,0.174001,[235  42] ; [8 2],[234.53310105  42.46689895] ; [8.46689895 1.53310105],0
p6,1,0.685101,0.16444,[157 121] ; [5 5],[156.375 121.625] ; [5.625 4.375],0
b2,1,0.710792,0.137487,[ 85 111] ; [4 4],[ 85.50980392 110.49019608] ; [3.49019608 4.50980392],0
b3,1,0.710792,0.137487,[ 85 111] ; [4 4],[ 85.50980392 110.49019608] ; [3.49019608 4.50980392],0
s6,1,0.739657,0.110428,[230  44] ; [8 2],[229.61971831  44.38028169] ; [8.38028169 1.61971831],0
p4,1,0.751146,0.100571,[211  68] ; [8 2],[211.42214533  67.57785467] ; [7.57785467 2.42214533],0
d5,1,0.802296,0.062688,[230  47] ; [8 2],[229.70731707  47.29268293] ; [8.29268293 1.70731707],0
n1,1,0.826779,0.047889,[23 28] ; [2 3],[22.76785714 28.23214286] ; [2.23214286 2.76785714],0
a6,1,0.832015,0.044994,[185  92] ; [7 3],[185.31010453  91.68989547] ; [6.68989547 3.31010453],0
p3,1,0.86223,0.030115,[188  91] ; [7 3],[188.25259516  90.74740484] ; [6.74740484 3.25259516],0
p9,1,0.877212,0.023871,[255  24] ; [9 1],[254.8650519  24.1349481] ; [9.1349481 0.8650519],0
p10,1,0.944978,0.004763,[252  26] ; [9 1],[251.9375  26.0625] ; [9.0625 0.9375],0
s5,1,0.954301,0.003284,[133 138] ; [5 5],[133.08896797 137.91103203] ; [4.91103203 5.08896797],0
a5,1,0.978008,0.00076,[223  57] ; [8 2],[223.03448276  56.96551724] ; [7.96551724 2.03448276],0
v1,1,0.996348,2.1e-05,[166 111] ; [6 4],[166.00696864 110.99303136] ; [5.99303136 4.00696864],0
