Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.045719,3.991935,[15 16] ; [18  6],[18.6 12.4] ; [14.4  9.6],0
s8,1,0.052307,3.765911,[11 20] ; [ 3 21],[ 7.89090909 23.10909091] ; [ 6.10909091 17.89090909],0
b4,1,0.053138,3.739558,[21 10] ; [10 14],[17.47272727 13.52727273] ; [13.52727273 10.47272727],0
n4,1,0.053138,3.739558,[21 10] ; [10 14],[17.47272727 13.52727273] ; [13.52727273 10.47272727],0
r3,1,0.081361,3.0375,[23  7] ; [13 11],[20. 10.] ; [16.  8.],0
p7,1,0.112176,2.523297,[14 17] ; [16  8],[16.90909091 14.09090909] ; [13.09090909 10.90909091],0
b5,1,0.165883,1.919758,[20 11] ; [11 13],[17.47272727 13.52727273] ; [13.52727273 10.47272727],0
p11,1,0.182864,1.774194,[21 10] ; [12 12],[18.6 12.4] ; [14.4  9.6],0
n5,1,0.198945,1.650106,[22  9] ; [13 11],[19.72727273 11.27272727] ; [15.27272727  8.72727273],0
p3,1,0.235467,1.407532,[11 20] ; [ 5 19],[ 9.01818182 21.98181818] ; [ 6.98181818 17.01818182],0
v1,1,0.237903,1.392979,[ 6 25] ; [ 8 16],[ 7.89090909 23.10909091] ; [ 6.10909091 17.89090909],0
p9,1,0.245885,1.346533,[21 10] ; [12 11],[18.94444444 12.05555556] ; [14.05555556  8.94444444],0
v3,1,0.250234,1.321994,[ 6 25] ; [ 2 22],[ 4.50909091 26.49090909] ; [ 3.49090909 20.50909091],0
b3,1,0.264122,1.247021,[ 7 13] ; [ 2 10],[ 5.625 14.375] ; [3.375 8.625],0
b2,1,0.264122,1.247021,[ 7 13] ; [ 2 10],[ 5.625 14.375] ; [3.375 8.625],0
r4,1,0.284395,1.145969,[ 9 22] ; [ 4 20],[ 7.32727273 23.67272727] ; [ 5.67272727 18.32727273],0
s7,1,0.291979,1.110472,[10 21] ; [ 4 17],[ 8.34615385 22.65384615] ; [ 5.65384615 15.34615385],0
p4,1,0.297205,1.086694,[16 15] ; [ 9 15],[14.09090909 16.90909091] ; [10.90909091 13.09090909],0
d2,1,0.336411,0.924059,[ 7 24] ; [ 3 21],[ 5.63636364 25.36363636] ; [ 4.36363636 19.63636364],0
s6,1,0.374545,0.78853,[14 17] ; [ 8 16],[12.4 18.6] ; [ 9.6 14.4],0
v4,1,0.402417,0.701093,[19 12] ; [12 12],[17.47272727 13.52727273] ; [13.52727273 10.47272727],0
d3,1,0.404057,0.69622,[11 20] ; [ 6 18],[ 9.58181818 21.41818182] ; [ 7.41818182 16.58181818],0
a4,1,0.414687,0.665323,[ 5 26] ; [ 6 18],[ 6.2 24.8] ; [ 4.8 19.2],0
s2,1,0.415694,0.662457,[ 8 23] ; [ 4 20],[ 6.76363636 24.23636364] ; [ 5.23636364 18.76363636],0
p12,1,0.435106,0.609154,[ 3 28] ; [ 1 23],[ 2.25454545 28.74545455] ; [ 1.74545455 22.25454545],0
p2,1,0.437163,0.603719,[20 11] ; [13 11],[18.6 12.4] ; [14.4  9.6],0
a1,1,0.43904,0.59879,[ 2 29] ; [ 3 21],[ 2.81818182 28.18181818] ; [ 2.18181818 21.81818182],0
p6,1,0.449931,0.570825,[ 5 25] ; [ 6 18],[ 6.11111111 23.88888889] ; [ 4.88888889 19.11111111],0
v2,1,0.452288,0.564911,[ 7 24] ; [ 7 15],[ 8.18867925 22.81132075] ; [ 5.81132075 16.18867925],0
p10,1,0.455598,0.556688,[18 13] ; [11 12],[16.64814815 14.35185185] ; [12.35185185 10.64814815],0
a3,1,0.502911,0.448788,[12 19] ; [11 12],[13.2037037 17.7962963] ; [ 9.7962963 13.2037037],0
a7,1,0.551387,0.354839,[13 18] ; [12 12],[14.09090909 16.90909091] ; [10.90909091 13.09090909],0
d5,1,0.567826,0.326333,[14 17] ; [ 9 15],[12.96363636 18.03636364] ; [10.03636364 13.96363636],0
p8,1,0.593924,0.284257,[13 18] ; [ 8 15],[12.05555556 18.94444444] ; [ 8.94444444 14.05555556],0
u3,1,0.59933,0.276008,[ 6 13] ; [ 3 10],[ 5.34375 13.65625] ; [3.65625 9.34375],0
s3,1,0.652787,0.202405,[ 9 22] ; [ 8 15],[ 9.75925926 21.24074074] ; [ 7.24074074 15.75925926],0
s1,1,0.711332,0.13695,[ 2 29] ; [ 1 23],[ 1.69090909 29.30909091] ; [ 1.30909091 22.69090909],0
a6,1,0.739136,0.110887,[13 18] ; [ 9 15],[12.4 18.6] ; [ 9.6 14.4],0
n3,1,0.794625,0.067761,[7 4] ; [7 5],[6.69565217 4.30434783] ; [7.30434783 4.69565217],0
n2,1,0.794625,0.067761,[7 4] ; [7 5],[6.69565217 4.30434783] ; [7.30434783 4.69565217],0
n1,1,0.794625,0.067761,[4 7] ; [5 7],[4.30434783 6.69565217] ; [4.69565217 7.30434783],0
a5,1,0.795505,0.067168,[14 17] ; [10 14],[13.52727273 17.47272727] ; [10.47272727 13.52727273],0
s5,1,0.797687,0.065711,[ 6 25] ; [ 4 20],[ 5.63636364 25.36363636] ; [ 4.36363636 19.63636364],0
u2,1,0.836697,0.042486,[11  8] ; [8 5],[11.28125  7.71875] ; [7.71875 5.28125],0
d4,1,0.850773,0.035394,[16 15] ; [13 11],[16.34545455 14.65454545] ; [12.65454545 11.34545455],0
s4,1,0.891864,0.018481,[ 6 25] ; [ 5 19],[ 6.2 24.8] ; [ 4.8 19.2],0
r1,1,0.93283,0.007104,[10 21] ; [ 8 16],[10.14545455 20.85454545] ; [ 7.85454545 16.14545455],0
a8,1,0.988676,0.000201,[ 5 24] ; [ 4 19],[ 5.01923077 23.98076923] ; [ 3.98076923 19.01923077],0
