Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.002528,9.120077,[3 1] ; [78  1],[3.90361446 0.09638554] ; [77.09638554  1.90361446],0
s1,1,0.002899,8.869986,[1 3] ; [ 1 76],[0.09876543 3.90123457] ; [ 1.90123457 75.09876543],0
p11,1,0.011004,6.464719,[1 3] ; [63 16],[3.08433735 0.91566265] ; [60.91566265 18.08433735],0
r4,1,0.069702,3.290025,[2 2] ; [67 12],[3.3253012 0.6746988] ; [65.6746988 13.3253012],0
a5,1,0.084985,2.966897,[1 3] ; [53 26],[2.60240964 1.39759036] ; [51.39759036 27.60240964],0
p9,1,0.110353,2.549157,[2 2] ; [65 14],[3.22891566 0.77108434] ; [63.77108434 15.22891566],0
p7,1,0.13873,2.191994,[2 2] ; [63 15],[3.17073171 0.82926829] ; [61.82926829 16.17073171],0
a7,1,0.164649,1.931001,[2 2] ; [62 16],[3.12195122 0.87804878] ; [60.87804878 17.12195122],0
n4,1,0.185925,1.749615,[2 2] ; [62 17],[3.08433735 0.91566265] ; [60.91566265 18.08433735],0
d2,1,0.190795,1.71147,[3 1] ; [33 46],[1.73493976 2.26506024] ; [34.26506024 44.73493976],0
n3,1,0.221099,1.497222,[1 1] ; [17  3],[1.63636364 0.36363636] ; [16.36363636  3.63636364],0
v1,1,0.249902,1.323853,[1 3] ; [43 36],[2.12048193 1.87951807] ; [41.87951807 37.12048193],0
r1,1,0.340402,0.908916,[2 2] ; [57 22],[2.84337349 1.15662651] ; [56.15662651 22.84337349],0
d5,1,0.350113,0.873047,[2 2] ; [56 22],[2.82926829 1.17073171] ; [55.17073171 22.82926829],0
a3,1,0.384757,0.755448,[2 2] ; [55 23],[2.7804878 1.2195122] ; [54.2195122 23.7804878],0
v2,1,0.403274,0.698543,[1 2] ; [45 33],[1.7037037 1.2962963] ; [44.2962963 33.7037037],0
p4,1,0.444601,0.58438,[2 2] ; [54 25],[2.69879518 1.30120482] ; [53.30120482 25.69879518],0
d3,1,0.468304,0.525974,[2 2] ; [52 25],[2.66666667 1.33333333] ; [51.33333333 25.66666667],0
v3,1,0.511089,0.431837,[1 3] ; [32 45],[1.62962963 2.37037037] ; [31.37037037 45.62962963],0
s7,1,0.516744,0.420388,[1 3] ; [31 44],[1.62025316 2.37974684] ; [30.37974684 44.62025316],0
b1,1,0.536424,0.382208,[1 3] ; [32 47],[1.59036145 2.40963855] ; [31.40963855 47.59036145],0
b5,1,0.568078,0.325909,[3 1] ; [48 31],[2.45783133 1.54216867] ; [48.54216867 30.45783133],0
p8,1,0.600727,0.273901,[3 1] ; [49 30],[2.5060241 1.4939759] ; [49.4939759 29.5060241],0
n6,1,0.712066,0.136222,[3 1] ; [65 14],[3.27710843 0.72289157] ; [64.72289157 14.27710843],0
a6,1,0.779807,0.078159,[3 1] ; [54 25],[2.74698795 1.25301205] ; [54.25301205 24.74698795],0
s8,1,0.779807,0.078159,[1 3] ; [25 54],[1.25301205 2.74698795] ; [24.74698795 54.25301205],0
a4,1,0.784003,0.075134,[2 2] ; [34 45],[1.73493976 2.26506024] ; [34.26506024 44.73493976],0
p3,1,0.784003,0.075134,[2 2] ; [45 34],[2.26506024 1.73493976] ; [44.73493976 34.26506024],0
b3,1,0.815021,0.054735,[1 1] ; [28 20],[1.16 0.84] ; [27.84 20.16],0
b2,1,0.815021,0.054735,[1 1] ; [28 20],[1.16 0.84] ; [27.84 20.16],0
u2,1,0.818726,0.052525,[1 1] ; [14 10],[1.15384615 0.84615385] ; [13.84615385 10.15384615],0
n1,1,0.83008,0.046053,[1 1] ; [ 8 11],[0.85714286 1.14285714] ; [ 8.14285714 10.85714286],0
s3,1,0.859465,0.031348,[1 3] ; [23 56],[1.15662651 2.84337349] ; [22.84337349 56.15662651],0
d4,1,0.859465,0.031348,[3 1] ; [56 23],[2.84337349 1.15662651] ; [56.15662651 22.84337349],0
a2,1,0.86909,0.027164,[1 3] ; [17 62],[0.86746988 3.13253012] ; [17.13253012 61.86746988],0
n5,1,0.901185,0.015417,[3 1] ; [57 22],[2.89156627 1.10843373] ; [57.10843373 21.89156627],0
d1,1,0.901538,0.015306,[2 2] ; [42 37],[2.12048193 1.87951807] ; [41.87951807 37.12048193],0
b4,1,0.940895,0.005497,[2 2] ; [41 38],[2.07228916 1.92771084] ; [40.92771084 38.07228916],0
s2,1,0.988668,0.000202,[1 3] ; [20 59],[1.01204819 2.98795181] ; [19.98795181 59.01204819],0
