Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.9e-05,16.125,[25  7] ; [18 36],[16. 16.] ; [27. 27.],1
p6,1,0.006969,7.280879,[15 16] ; [11 43],[ 9.48235294 21.51764706] ; [16.51764706 37.48235294],0
p5,1,0.007792,7.080775,[ 7 25] ; [ 2 52],[ 3.34883721 28.65116279] ; [ 5.65116279 48.34883721],0
b1,1,0.012014,6.308752,[22 10] ; [22 32],[16.37209302 15.62790698] ; [27.62790698 26.37209302],0
n6,1,0.022601,5.198899,[27  5] ; [31 20],[22.36144578  9.63855422] ; [35.63855422 15.36144578],0
d5,1,0.023529,5.129038,[25  7] ; [29 25],[20.09302326 11.90697674] ; [33.90697674 20.09302326],0
d4,1,0.030537,4.678803,[26  6] ; [31 22],[21.45882353 10.54117647] ; [35.54117647 17.45882353],0
a6,1,0.034087,4.490334,[20 12] ; [21 33],[15.25581395 16.74418605] ; [25.74418605 28.25581395],0
p1,1,0.04138,4.160402,[ 4 28] ; [ 1 53],[ 1.86046512 30.13953488] ; [ 3.13953488 50.86046512],0
a5,1,0.051027,3.807399,[20 12] ; [22 32],[15.62790698 16.37209302] ; [26.37209302 27.62790698],0
p8,1,0.100403,2.699125,[16 16] ; [17 36],[12.42352941 19.57647059] ; [20.57647059 32.42352941],0
a2,1,0.120199,2.41473,[ 5 27] ; [ 3 51],[ 2.97674419 29.02325581] ; [ 5.02325581 48.97674419],0
b4,1,0.198795,1.651202,[15 17] ; [33 21],[17.86046512 14.13953488] ; [30.13953488 23.86046512],0
s2,1,0.207863,1.586248,[15 15] ; [19 34],[12.28915663 17.71084337] ; [21.71084337 31.28915663],0
p7,1,0.21115,1.563526,[19 12] ; [25 28],[16.23809524 14.76190476] ; [27.76190476 25.23809524],0
n1,1,0.22133,1.495726,[4 5] ; [ 6 20],[2.57142857 6.42857143] ; [ 7.42857143 18.57142857],0
d3,1,0.228168,1.452246,[20 12] ; [26 27],[17.31764706 14.68235294] ; [28.68235294 24.31764706],0
u1,1,0.254952,1.295961,[ 4 28] ; [ 3 51],[ 2.60465116 29.39534884] ; [ 4.39534884 49.60465116],0
n4,1,0.27872,1.17332,[21 11] ; [29 25],[18.60465116 13.39534884] ; [31.39534884 22.60465116],0
