Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,98.424539,[ 3 70] ; [196  89],[40.57821229 32.42178771] ; [158.42178771 126.57821229],1
d4,1,0.0,59.628125,[37 36] ; [255  29],[59.70868347 13.29131653] ; [232.29131653  51.70868347],1
d3,1,0.0,25.829837,[30 43] ; [207  78],[48.32681564 24.67318436] ; [188.67318436  96.32681564],1
p2,1,0.0,25.561,[43 30] ; [241  41],[58.4 14.6] ; [225.6  56.4],1
a5,1,2e-06,22.847155,[35 38] ; [218  67],[51.58938547 21.41061453] ; [201.41061453  83.58938547],1
d2,1,2.2e-05,17.978986,[15 58] ; [136 147],[30.96348315 42.03651685] ; [120.03651685 162.96348315],1
a7,1,0.000857,11.113541,[44 29] ; [224  59],[54.95505618 18.04494382] ; [213.04494382  69.95505618],1
a4,1,0.001084,10.679107,[17 54] ; [129 156],[29.11797753 41.88202247] ; [116.88202247 168.11797753],0
a2,1,0.001533,10.038617,[ 5 68] ; [ 67 218],[14.68156425 58.31843575] ; [ 57.31843575 227.68156425],0
a3,1,0.002023,9.528922,[33 38] ; [189  96],[44.2752809 26.7247191] ; [177.7247191 107.2752809],0
u1,1,0.003817,8.368902,[ 2 71] ; [ 44 241],[ 9.37988827 63.62011173] ; [ 36.62011173 248.37988827],0
p4,1,0.004295,8.154654,[25 45] ; [155 128],[35.69405099 34.30594901] ; [144.30594901 138.69405099],0
p7,1,0.008338,6.95933,[31 40] ; [169 108],[40.8045977 30.1954023] ; [159.1954023 117.8045977],0
p9,1,0.011942,6.319445,[47 25] ; [223  58],[55.07082153 16.92917847] ; [214.92917847  66.07082153],0
p10,1,0.012521,6.235533,[44 26] ; [219  64],[52.1529745 17.8470255] ; [210.8470255  72.1529745],0
s8,1,0.020962,5.329981,[ 8 65] ; [ 66 218],[15.13165266 57.86834734] ; [ 58.86834734 225.13165266],0
a1,1,0.036115,4.391647,[ 5 68] ; [  6 279],[ 2.24301676 70.75698324] ; [  8.75698324 276.24301676],0
p8,1,0.039847,4.22439,[27 45] ; [143 137],[34.77272727 37.22727273] ; [135.22727273 144.77272727],0
n5,1,0.056852,3.626904,[41 30] ; [197  86],[47.73446328 23.26553672] ; [190.26553672  92.73446328],0
s1,1,0.058855,3.569363,[ 4 65] ; [  5 276],[ 1.77428571 67.22571429] ; [  7.22571429 273.77428571],0
s6,1,0.081758,3.029612,[30 40] ; [152 127],[36.50429799 33.49570201] ; [145.49570201 133.50429799],0
p3,1,0.139251,2.186213,[24 49] ; [120 163],[29.52808989 43.47191011] ; [114.47191011 168.52808989],0
n2,1,0.158389,1.98954,[16  3] ; [46 22],[13.54022989  5.45977011] ; [48.45977011 19.54022989],0
r3,1,0.164244,1.934708,[67  6] ; [272  12],[69.31932773  3.68067227] ; [269.68067227  14.31932773],0
b5,1,0.176149,1.829821,[39 34] ; [177 108],[44.04469274 28.95530726] ; [171.95530726 113.04469274],0
s5,1,0.185709,1.751337,[12 56] ; [ 70 207],[16.16231884 51.83768116] ; [ 65.83768116 211.16231884],0
u3,1,0.189563,1.72101,[19 20] ; [58 37],[22.41044776 16.58955224] ; [54.58955224 40.41044776],0
v1,1,0.201266,1.633163,[31 40] ; [145 133],[35.80515759 35.19484241] ; [140.19484241 137.80515759],0
p12,1,0.210854,1.56555,[ 6 66] ; [ 13 269],[ 3.86440678 68.13559322] ; [ 15.13559322 266.86440678],0
v2,1,0.216184,1.529526,[33 35] ; [153 116],[37.53115727 30.46884273] ; [148.46884273 120.53115727],0
v4,1,0.216346,1.528448,[67  6] ; [271  13],[69.11484594  3.88515406] ; [268.88515406  15.11484594],0
r2,1,0.268151,1.22618,[69  4] ; [273   8],[70.52542373  2.47457627] ; [271.47457627   9.52542373],0
p1,1,0.276486,1.184281,[ 7 66] ; [ 17 266],[ 4.92134831 68.07865169] ; [ 19.07865169 263.92134831],0
n4,1,0.295758,1.093222,[47 25] ; [204  81],[50.62184874 21.37815126] ; [200.37815126  84.62184874],0
n6,1,0.340155,0.909848,[54 19] ; [224  59],[57.00561798 15.99438202] ; [220.99438202  62.00561798],0
s3,1,0.349249,0.876182,[30 40] ; [103 177],[26.6 43.4] ; [106.4 173.6],0
r4,1,0.408269,0.683836,[67  6] ; [269  16],[68.51396648  4.48603352] ; [267.48603352  17.51396648],0
a6,1,0.445599,0.581821,[50 23] ; [208  77],[52.60893855 20.39106145] ; [205.39106145  79.60893855],0
s4,1,0.491123,0.474065,[11 61] ; [ 34 244],[ 9.25714286 62.74285714] ; [ 35.74285714 242.25714286],0
p6,1,0.495732,0.46406,[17 55] ; [ 77 202],[19.28205128 52.71794872] ; [ 74.71794872 204.28205128],0
n1,1,0.519185,0.415512,[ 7 11] ; [21 47],[ 5.86046512 12.13953488] ; [22.13953488 45.86046512],0
b1,1,0.526253,0.401621,[28 45] ; [ 98 187],[25.69273743 47.30726257] ; [100.30726257 184.69273743],0
