Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.664294,[ 4 76] ; [15 23],[12.88135593 67.11864407] ; [ 6.11864407 31.88135593],1
p7,1,0.000381,12.625546,[28 51] ; [25 10],[36.72807018 42.27192982] ; [16.27192982 18.72807018],1
p2,1,0.000926,10.969685,[41 37] ; [32  6],[49.0862069 28.9137931] ; [23.9137931 14.0862069],1
p4,1,0.004099,8.239222,[20 58] ; [20 18],[26.89655172 51.10344828] ; [13.10344828 24.89655172],0
s7,1,0.004914,7.910834,[ 7 63] ; [12 26],[12.31481481 57.68518519] ; [ 6.68518519 31.31481481],0
s5,1,0.004939,7.901703,[ 5 73] ; [ 9 27],[ 9.57894737 68.42105263] ; [ 4.42105263 31.57894737],0
p9,1,0.005189,7.812415,[38 41] ; [28  9],[44.94827586 34.05172414] ; [21.05172414 15.94827586],0
v4,1,0.008467,6.931919,[52 26] ; [34  4],[57.82758621 20.17241379] ; [28.17241379  9.82758621],0
p8,1,0.010188,6.601741,[21 57] ; [19 18],[27.13043478 50.86956522] ; [12.86956522 24.13043478],0
p11,1,0.017282,5.667463,[36 44] ; [26 12],[42.03389831 37.96610169] ; [19.96610169 18.03389831],0
r3,1,0.018723,5.527244,[53 27] ; [33  5],[58.30508475 21.69491525] ; [27.69491525 10.30508475],0
p10,1,0.024429,5.063916,[31 47] ; [23 14],[36.62608696 41.37391304] ; [17.37391304 19.62608696],0
r4,1,0.03519,4.43592,[45 35] ; [29  9],[50.16949153 29.83050847] ; [23.83050847 14.16949153],0
n2,1,0.041219,4.166987,[15 16] ; [12  3],[18.19565217 12.80434783] ; [8.80434783 6.19565217],0
v1,1,0.050538,3.823506,[24 56] ; [18 19],[28.71794872 51.28205128] ; [13.28205128 23.71794872],0
u1,1,0.057505,3.607928,[ 3 77] ; [ 5 33],[ 5.42372881 74.57627119] ; [ 2.57627119 35.42372881],0
s3,1,0.064147,3.426773,[17 62] ; [14 23],[21.11206897 57.88793103] ; [ 9.88793103 27.11206897],0
p3,1,0.093249,2.817365,[19 59] ; [15 23],[22.86206897 55.13793103] ; [11.13793103 26.86206897],0
b5,1,0.101976,2.674362,[42 38] ; [26 12],[46.10169492 33.89830508] ; [21.89830508 16.10169492],0
a8,1,0.105637,2.61831,[ 4 72] ; [ 5 30],[ 6.16216216 69.83783784] ; [ 2.83783784 32.16216216],0
u3,1,0.10564,2.618257,[10 17] ; [10  6],[12.55813953 14.44186047] ; [7.44186047 8.55813953],0
p6,1,0.118885,2.431954,[10 66] ; [ 9 27],[12.89285714 63.10714286] ; [ 6.10714286 29.89285714],0
u2,1,0.133444,2.251969,[14 13] ; [12  4],[16.3255814 10.6744186] ; [9.6744186 6.3255814],0
p5,1,0.139288,2.18581,[ 3 76] ; [ 4 33],[ 4.76724138 74.23275862] ; [ 2.23275862 34.76724138],0
r1,1,0.185027,1.75678,[49 31] ; [28 10],[52.20338983 27.79661017] ; [24.79661017 13.20338983],0
a7,1,0.196593,1.667505,[47 33] ; [27 11],[50.16949153 29.83050847] ; [23.83050847 14.16949153],0
d1,1,0.198024,1.65689,[28 52] ; [18 20],[31.18644068 48.81355932] ; [14.81355932 23.18644068],0
a4,1,0.206982,1.592413,[35 45] ; [12 26],[31.86440678 48.13559322] ; [15.13559322 22.86440678],0
d2,1,0.247863,1.335309,[31 49] ; [19 19],[33.89830508 46.10169492] ; [16.10169492 21.89830508],0
v2,1,0.25784,1.280315,[27 48] ; [17 19],[29.72972973 45.27027027] ; [14.27027027 21.72972973],0
