Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,88.148147,[98 16] ; [ 48 118],[59.44285714 54.55714286] ; [86.55714286 79.44285714],1
s7,1,0.0,59.962414,[79 33] ; [ 37 122],[47.94095941 64.05904059] ; [68.05904059 90.94095941],1
s6,1,0.0,47.126122,[90 24] ; [ 62 104],[61.88571429 52.11428571] ; [90.11428571 75.88571429],1
s8,1,1e-06,23.339569,[61 55] ; [ 41 126],[41.80918728 74.19081272] ; [ 60.19081272 106.80918728],1
s5,1,4e-06,21.4351,[44 67] ; [ 24 137],[27.75 83.25] ; [ 40.25 120.75],1
p10,1,0.000896,11.030127,[93 23] ; [101  63],[80.37142857 35.62857143] ; [113.62857143  50.37142857],1
s1,1,0.001083,10.680219,[ 11 104] ; [  2 163],[  5.33928571 109.66071429] ; [  7.66071429 157.33928571],0
s4,1,0.002276,9.312629,[23 91] ; [ 13 154],[14.60498221 99.39501779] ; [ 21.39501779 145.60498221],0
r3,1,0.003236,8.669501,[109   6] ; [138  28],[101.08540925  13.91459075] ; [145.91459075  20.08540925],0
v2,1,0.00325,8.661542,[68 43] ; [68 90],[56.11895911 54.88104089] ; [79.88104089 78.11895911],0
v1,1,0.004272,8.164355,[60 52] ; [ 59 104],[48.46545455 63.53454545] ; [70.53454545 92.46545455],0
v3,1,0.006808,7.322895,[52 61] ; [ 49 114],[41.35144928 71.64855072] ; [ 59.64855072 103.35144928],0
v4,1,0.010625,6.527019,[108   7] ; [140  27],[101.13475177  13.86524823] ; [146.86524823  20.13475177],0
u1,1,0.013144,6.149613,[23 93] ; [ 16 152],[ 15.92957746 100.07042254] ; [ 23.07042254 144.92957746],0
r1,1,0.016779,5.719312,[95 21] ; [115  51],[86.38297872 29.61702128] ; [123.61702128  42.38297872],0
r4,1,0.016902,5.706526,[101  15] ; [127  41],[93.12676056 22.87323944] ; [134.87323944  33.12676056],0
a6,1,0.020295,5.386319,[64 50] ; [117  51],[73.17021277 40.82978723] ; [107.82978723  60.17021277],0
p7,1,0.029674,4.728057,[61 49] ; [69 95],[52.18978102 57.81021898] ; [77.81021898 86.18978102],0
p6,1,0.031477,4.626743,[27 88] ; [ 22 141],[20.26978417 94.73021583] ; [ 28.73021583 134.26978417],0
r2,1,0.033342,4.528139,[110   4] ; [147  17],[105.38848921   8.61151079] ; [151.61151079  12.38848921],0
u3,1,0.033451,4.522555,[18 12] ; [19 34],[13.37349398 16.62650602] ; [23.62650602 29.37349398],0
p9,1,0.034113,4.489011,[91 23] ; [110  51],[83.32363636 30.67636364] ; [117.67636364  43.32363636],0
a8,1,0.049597,3.85502,[25 81] ; [ 22 134],[19.01526718 86.98473282] ; [ 27.98473282 128.01526718],0
n6,1,0.05294,3.745818,[97 17] ; [127  41],[90.55319149 23.44680851] ; [133.44680851  34.55319149],0
d4,1,0.056577,3.635001,[94 21] ; [120  47],[87.26950355 27.73049645] ; [126.73049645  40.26950355],0
p11,1,0.066971,3.355746,[89 27] ; [112  56],[82.09859155 33.90140845] ; [118.90140845  49.09859155],0
n5,1,0.090151,2.871676,[97 18] ; [127  40],[91.34751773 23.65248227] ; [132.65248227  34.34751773],0
p2,1,0.103023,2.658104,[85 31] ; [107  60],[78.69964664 37.30035336] ; [113.30035336  53.69964664],0
d2,1,0.126987,2.328955,[58 57] ; [68 97],[51.75 63.25] ; [74.25 90.75],0
u2,1,0.158922,1.984449,[17 12] ; [22 30],[13.96296296 15.03703704] ; [25.03703704 26.96296296],0
d5,1,0.175593,1.834536,[91 24] ; [121  47],[86.14840989 28.85159011] ; [125.85159011  42.14840989],0
p8,1,0.209695,1.573528,[41 73] ; [ 47 116],[36.2166065 77.7833935] ; [ 51.7833935 111.2166065],0
a5,1,0.254289,1.299585,[86 30] ; [114  54],[81.69014085 34.30985915] ; [118.30985915  49.69014085],0
d1,1,0.307544,1.041192,[61 55] ; [78 90],[56.77464789 59.22535211] ; [82.22535211 85.77464789],0
a3,1,0.314625,1.01116,[86 29] ; [115  51],[82.25978648 32.74021352] ; [118.74021352  47.25978648],0
n1,1,0.41468,0.665343,[10 16] ; [26 28],[11.7 14.3] ; [24.3 29.7],0
