Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,52.468667,[ 36 192] ; [116 132],[ 72.80672269 155.19327731] ; [ 79.19327731 168.80672269],1
v1,1,0.0,38.700486,[ 71 159] ; [149 103],[104.97925311 125.02074689] ; [115.02074689 136.97925311],1
d1,1,0.000148,14.401221,[ 96 137] ; [150 107],[116.9755102 116.0244898] ; [129.0244898 127.9755102],1
r1,1,0.000254,13.385336,[156  76] ; [209  47],[173.52459016  58.47540984] ; [191.47540984  64.52459016],1
a5,1,0.000299,13.078014,[136  97] ; [189  67],[154.85685072  78.14314928] ; [170.14314928  85.85685072],1
d3,1,0.000836,11.160474,[137  93] ; [189  67],[154.27983539  75.72016461] ; [171.72016461  84.27983539],1
p10,1,0.003336,8.614149,[153  75] ; [199  53],[167.2  60.8] ; [184.8  67.2],0
a3,1,0.004537,8.055192,[132  99] ; [178  78],[147.04312115  83.95687885] ; [162.95687885  93.04312115],0
s1,1,0.006006,7.548564,[ 13 217] ; [  3 251],[  7.60330579 222.39669421] ; [  8.39669421 245.60330579],0
p9,1,0.01284,6.190962,[166  63] ; [205  45],[177.36743215  51.63256785] ; [193.63256785  56.36743215],0
p3,1,0.014586,5.965802,[ 85 147] ; [120 132],[ 98.26446281 133.73553719] ; [106.73553719 145.26446281],0
p12,1,0.015853,5.819116,[  5 226] ; [ 17 235],[ 10.52173913 220.47826087] ; [ 11.47826087 240.52173913],0
d4,1,0.018503,5.5479,[175  57] ; [215  41],[185.40983607  46.59016393] ; [204.59016393  51.40983607],0
d5,1,0.02403,5.092434,[166  65] ; [207  50],[176.56352459  54.43647541] ; [196.43647541  60.56352459],0
p4,1,0.031646,4.61755,[109 122] ; [143 108],[120.77178423 110.22821577] ; [131.22821577 119.77178423],0
p7,1,0.034847,4.452648,[117 109] ; [154  97],[128.39832285  97.60167715] ; [142.60167715 108.39832285],0
p11,1,0.036243,4.385629,[168  65] ; [206  51],[177.84081633  55.15918367] ; [196.15918367  60.84081633],0
b5,1,0.044713,4.02945,[153  80] ; [146 111],[142.17755102  90.82244898] ; [156.82244898 100.17755102],0
p8,1,0.077646,3.113504,[ 96 136] ; [123 126],[105.62993763 126.37006237] ; [113.37006237 135.62993763],0
