Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.004345,8.133843,[7 6] ; [ 1 15],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
a4,1,0.012511,6.236919,[6 7] ; [ 1 15],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
n4,1,0.014372,5.991873,[ 3 10] ; [11  5],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
a3,1,0.027469,4.861111,[8 4] ; [ 4 12],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
d1,1,0.043742,4.066506,[6 7] ; [ 2 14],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
p3,1,0.07776,3.111111,[ 1 11] ; [ 6 10],[3. 9.] ; [ 4. 12.],0
b3,1,0.110149,2.552083,[3 5] ; [ 1 11],[1.6 6.4] ; [2.4 9.6],0
b2,1,0.110149,2.552083,[3 5] ; [ 1 11],[1.6 6.4] ; [2.4 9.6],0
d3,1,0.111349,2.534965,[7 6] ; [ 4 12],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
s4,1,0.119355,2.425759,[ 1 12] ; [ 5 11],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
p7,1,0.137276,2.208236,[ 3 10] ; [8 8],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
n6,1,0.170007,1.882882,[4 9] ; [9 7],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
p2,1,0.170007,1.882882,[4 9] ; [9 7],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
s2,1,0.185116,1.756067,[ 2 11] ; [ 6 10],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
r3,1,0.197631,1.659799,[8 5] ; [ 6 10],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
v2,1,0.233297,1.420648,[6 7] ; [ 4 12],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
d4,1,0.295694,1.093514,[9 4] ; [8 8],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
n5,1,0.295694,1.093514,[4 9] ; [8 8],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
n3,1,0.333998,0.933333,[6 2] ; [3 3],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
s3,1,0.338939,0.91444,[ 3 10] ; [6 9],[4.17857143 8.82142857] ; [ 4.82142857 10.17857143],0
d5,1,0.340405,0.908906,[8 5] ; [7 9],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
s7,1,0.356216,0.85119,[ 1 11] ; [ 3 11],[ 1.84615385 10.15384615] ; [ 2.15384615 11.84615385],0
a8,1,0.377822,0.777778,[ 2 10] ; [ 1 15],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
a6,1,0.378715,0.774871,[7 6] ; [ 6 10],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
v3,1,0.390447,0.737548,[ 1 12] ; [ 3 13],[ 1.79310345 11.20689655] ; [ 2.20689655 13.79310345],0
n1,1,0.393153,0.729167,[3 5] ; [1 5],[2.28571429 5.71428571] ; [1.71428571 4.28571429],0
p4,1,0.403755,0.697115,[ 3 10] ; [ 6 10],[4.03448276 8.96551724] ; [ 4.96551724 11.03448276],0
s1,1,0.421806,0.645279,[ 2 11] ; [ 1 15],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
d2,1,0.435819,0.607265,[5 8] ; [ 4 12],[4.03448276 8.96551724] ; [ 4.96551724 11.03448276],0
s6,1,0.473701,0.51333,[4 9] ; [7 9],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
u3,1,0.536268,0.3825,[2 3] ; [3 9],[1.47058824 3.52941176] ; [3.52941176 8.47058824],0
v4,1,0.588439,0.292788,[7 6] ; [7 9],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
b5,1,0.588439,0.292788,[6 7] ; [9 7],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
p8,1,0.594853,0.282828,[ 2 10] ; [ 4 12],[2.57142857 9.42857143] ; [ 3.42857143 12.57142857],0
p1,1,0.672452,0.178748,[ 1 12] ; [ 2 14],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
r4,1,0.672452,0.178748,[ 1 12] ; [ 2 14],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
p11,1,0.684498,0.165106,[5 8] ; [ 5 11],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
r1,1,0.684498,0.165106,[5 8] ; [ 5 11],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
u2,1,0.70663,0.141667,[2 3] ; [6 6],[2.35294118 2.64705882] ; [5.64705882 6.35294118],0
p10,1,0.822729,0.050192,[ 2 11] ; [ 2 14],[ 1.79310345 11.20689655] ; [ 2.20689655 13.79310345],0
p6,1,0.824653,0.049091,[ 2 10] ; [ 3 12],[2.22222222 9.77777778] ; [ 2.77777778 12.22222222],0
s8,1,0.878842,0.023237,[ 1 12] ; [ 1 15],[ 0.89655172 12.10344828] ; [ 1.10344828 14.89655172],0
v1,1,0.904201,0.014486,[ 3 10] ; [ 4 12],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
b4,1,0.957675,0.002817,[8 5] ; [10  6],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
b1,1,0.957675,0.002817,[8 5] ; [10  6],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
n2,1,1.0,0.0,[4 4] ; [3 3],[4. 4.] ; [3. 3.],0
