Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6.9e-05,15.830206,[ 9 63] ; [17 19],[17.33333333 54.66666667] ; [ 8.66666667 27.33333333],1
p3,1,0.000355,12.752679,[11 61] ; [17 19],[18.66666667 53.33333333] ; [ 9.33333333 26.66666667],1
p9,1,0.005537,7.695225,[40 31] ; [30  6],[46.44859813 24.55140187] ; [23.55140187 12.44859813],0
p10,1,0.007435,7.164761,[34 37] ; [27  9],[40.47663551 30.52336449] ; [20.52336449 15.47663551],0
s7,1,0.007927,7.04986,[12 58] ; [14 20],[17.5 52.5] ; [ 8.5 25.5],0
n6,1,0.011304,6.416941,[45 27] ; [31  5],[50.66666667 21.33333333] ; [25.33333333 10.66666667],0
p2,1,0.015428,5.866917,[41 31] ; [29  7],[46.66666667 25.33333333] ; [23.33333333 12.66666667],0
p8,1,0.016467,5.75232,[20 52] ; [18 17],[25.57009346 46.42990654] ; [12.42990654 22.57009346],0
s2,1,0.034296,4.47987,[19 52] ; [17 19],[23.88785047 47.11214953] ; [12.11214953 23.88785047],0
p7,1,0.034463,4.471574,[33 36] ; [25 11],[38.11428571 30.88571429] ; [19.88571429 16.11428571],0
s6,1,0.055068,3.680028,[29 43] ; [21 14],[33.64485981 38.35514019] ; [16.35514019 18.64485981],0
v4,1,0.077948,3.107174,[55 16] ; [32  3],[58.27358491 12.72641509] ; [28.72641509  6.27358491],0
p6,1,0.078291,3.10002,[14 55] ; [13 23],[17.74285714 51.25714286] ; [ 9.25714286 26.74285714],0
r4,1,0.089151,2.889632,[42 30] ; [27  9],[46. 26.] ; [23. 13.],0
r3,1,0.09114,2.854123,[54 18] ; [32  4],[57.33333333 14.66666667] ; [28.66666667  7.33333333],0
n4,1,0.09769,2.742857,[38 34] ; [25 11],[42. 30.] ; [21. 15.],0
p1,1,0.115313,2.47985,[ 5 67] ; [ 6 30],[ 7.33333333 64.66666667] ; [ 3.66666667 32.33333333],0
b5,1,0.131133,2.279037,[37 35] ; [24 12],[40.66666667 31.33333333] ; [20.33333333 15.66666667],0
u2,1,0.153378,2.03833,[20 29] ; [13  9],[22.77464789 26.22535211] ; [10.22535211 11.77464789],0
b4,1,0.219958,1.504644,[35 37] ; [22 14],[38. 34.] ; [19. 17.],0
n2,1,0.230549,1.437471,[21  8] ; [4 4],[19.59459459  9.40540541] ; [5.40540541 2.59459459],0
v1,1,0.241372,1.372561,[23 47] ; [16 20],[25.75471698 44.24528302] ; [13.24528302 22.75471698],0
s4,1,0.273322,1.2,[14 58] ; [ 4 32],[12. 60.] ; [ 6. 30.],0
b3,1,0.292404,1.108519,[12 29] ; [ 4 19],[10.25 30.75] ; [ 5.75 17.25],0
b2,1,0.292404,1.108519,[12 29] ; [ 4 19],[10.25 30.75] ; [ 5.75 17.25],0
n5,1,0.323984,0.972794,[43 29] ; [25 11],[45.33333333 26.66666667] ; [22.66666667 13.33333333],0
v2,1,0.329741,0.949915,[18 47] ; [13 22],[20.15 44.85] ; [10.85 24.15],0
d2,1,0.371589,0.798344,[11 61] ; [ 8 28],[12.66666667 59.33333333] ; [ 6.33333333 29.66666667],0
a4,1,0.381479,0.765929,[ 6 65] ; [ 5 31],[ 7.29906542 63.70093458] ; [ 3.70093458 32.29906542],0
n3,1,0.423026,0.641893,[19 10] ; [4 4],[18.02702703 10.97297297] ; [4.97297297 3.02702703],0
s5,1,0.492966,0.470047,[11 59] ; [ 7 26],[12.23300971 57.76699029] ; [ 5.76699029 27.23300971],0
n1,1,0.497602,0.460046,[11 18] ; [2 6],[10.18918919 18.81081081] ; [2.81081081 5.18918919],0
a1,1,0.517228,0.419417,[ 4 68] ; [ 1 35],[ 3.33333333 68.66666667] ; [ 1.66666667 34.33333333],0
v3,1,0.519712,0.414464,[16 55] ; [ 6 29],[14.73584906 56.26415094] ; [ 7.26415094 27.73584906],0
u3,1,0.552453,0.35294,[19 31] ; [10 12],[20.13888889 29.86111111] ; [ 8.86111111 13.13888889],0
s3,1,0.580483,0.305455,[32 38] ; [18 17],[33.33333333 36.66666667] ; [16.66666667 18.33333333],0
a3,1,0.627336,0.235691,[22 48] ; [13 23],[23.11320755 46.88679245] ; [11.88679245 24.11320755],0
a8,1,0.637718,0.221739,[ 6 62] ; [ 4 30],[ 6.66666667 61.33333333] ; [ 3.33333333 30.66666667],0
