Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.002177,9.394336,[20 34] ; [24 10],[27. 27.] ; [17. 17.],0
b3,1,0.003013,8.799375,[ 3 29] ; [ 9 11],[ 7.38461538 24.61538462] ; [ 4.61538462 15.38461538],0
b2,1,0.003013,8.799375,[ 3 29] ; [ 9 11],[ 7.38461538 24.61538462] ; [ 4.61538462 15.38461538],0
s7,1,0.015293,5.882359,[11 42] ; [15 18],[16.02325581 36.97674419] ; [ 9.97674419 23.02325581],0
a5,1,0.016132,5.788406,[36 20] ; [13 21],[30.48888889 25.51111111] ; [18.51111111 15.48888889],0
s8,1,0.033098,4.540725,[ 9 46] ; [12 21],[13.125 41.875] ; [ 7.875 25.125],0
p11,1,0.050036,3.84024,[26 30] ; [23 11],[30.48888889 25.51111111] ; [18.51111111 15.48888889],0
u2,1,0.148529,2.087298,[ 8 16] ; [11  9],[10.36363636 13.63636364] ; [ 8.63636364 11.36363636],0
r3,1,0.152487,2.047195,[47  9] ; [32  2],[49.15555556  6.84444444] ; [29.84444444  4.15555556],0
s2,1,0.157053,2.002374,[18 38] ; [16 18],[21.15555556 34.84444444] ; [12.84444444 21.15555556],0
b1,1,0.157899,1.994229,[26 30] ; [21 13],[29.24444444 26.75555556] ; [17.75555556 16.24444444],0
v2,1,0.168721,1.89427,[19 35] ; [17 17],[22.09090909 31.90909091] ; [13.90909091 20.09090909],0
r1,1,0.205192,1.605029,[35 20] ; [26  8],[37.69662921 17.30337079] ; [23.30337079 10.69662921],0
a3,1,0.220314,1.502323,[30 25] ; [14 20],[27.19101124 27.80898876] ; [16.80898876 17.19101124],0
b5,1,0.296596,1.089436,[37 19] ; [26  8],[39.2 16.8] ; [23.8 10.2],0
n6,1,0.304519,1.054298,[34 20] ; [25  9],[36.20454545 17.79545455] ; [22.79545455 11.20454545],0
r2,1,0.326749,0.96174,[47  9] ; [31  3],[48.53333333  7.46666667] ; [29.46666667  4.53333333],0
d2,1,0.403764,0.697087,[26 29] ; [13 21],[24.1011236 30.8988764] ; [14.8988764 19.1011236],0
s1,1,0.415743,0.662317,[ 4 52] ; [ 1 32],[ 3.14606742 52.85393258] ; [ 1.85393258 31.14606742],0
r4,1,0.429544,0.624056,[44 12] ; [29  5],[45.42222222 10.57777778] ; [27.57777778  6.42222222],0
a2,1,0.439422,0.597792,[10 46] ; [ 4 30],[ 8.71111111 47.28888889] ; [ 5.28888889 28.71111111],0
p4,1,0.48046,0.497818,[27 29] ; [19 15],[28.62222222 27.37777778] ; [17.37777778 16.62222222],0
n2,1,0.480868,0.496894,[13  5] ; [10  2],[13.8  4.2] ; [9.2 2.8],0
d5,1,0.540396,0.374806,[32 23] ; [22 12],[33.37078652 21.62921348] ; [20.62921348 13.37078652],0
u1,1,0.575124,0.314183,[ 6 50] ; [ 5 29],[ 6.84444444 49.15555556] ; [ 4.15555556 29.84444444],0
u3,1,0.603602,0.269597,[11 15] ; [10 10],[11.86956522 14.13043478] ; [ 9.13043478 10.86956522],0
a1,1,0.606011,0.266025,[ 2 54] ; [ 2 32],[ 2.48888889 53.51111111] ; [ 1.51111111 32.48888889],0
s6,1,0.620204,0.245581,[27 28] ; [18 15],[28.125 26.875] ; [16.875 16.125],0
b4,1,0.626859,0.236345,[30 26] ; [20 14],[31.11111111 24.88888889] ; [18.88888889 15.11111111],0
p9,1,0.684745,0.164834,[21 32] ; [12 22],[20.10344828 32.89655172] ; [12.89655172 21.10344828],0
v3,1,0.70674,0.141555,[14 41] ; [ 7 25],[13.27586207 41.72413793] ; [ 7.72413793 24.27586207],0
s4,1,0.723522,0.125143,[ 7 49] ; [ 5 28],[ 7.5505618 48.4494382] ; [ 4.4494382 28.5505618],0
s5,1,0.740768,0.109453,[14 42] ; [ 7 25],[13.36363636 42.63636364] ; [ 7.63636364 24.36363636],0
p3,1,0.747644,0.103521,[25 31] ; [14 20],[24.26666667 31.73333333] ; [14.73333333 19.26666667],0
v4,1,0.751181,0.100541,[49  6] ; [31  3],[49.43820225  5.56179775] ; [30.56179775  3.43820225],0
s3,1,0.776659,0.080472,[33 23] ; [19 15],[32.35555556 23.64444444] ; [19.64444444 14.35555556],0
p5,1,0.791727,0.069732,[ 4 51] ; [ 3 31],[ 4.3258427 50.6741573] ; [ 2.6741573 31.3258427],0
d1,1,0.809848,0.057899,[20 36] ; [13 21],[20.53333333 35.46666667] ; [12.46666667 21.53333333],0
a8,1,0.839068,0.041244,[ 7 43] ; [ 5 27],[ 7.31707317 42.68292683] ; [ 4.68292683 27.31707317],0
v1,1,0.859022,0.031549,[20 35] ; [13 21],[20.39325843 34.60674157] ; [12.60674157 21.39325843],0
n3,1,0.860116,0.031056,[14  4] ; [9 3],[13.8  4.2] ; [9.2 2.8],0
