Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.066394,3.369982,[ 8 21] ; [4 2],[ 9.94285714 19.05714286] ; [2.05714286 3.94285714],0
p4,1,0.085832,2.950849,[13 16] ; [5 1],[14.91428571 14.08571429] ; [3.08571429 2.91428571],0
n4,1,0.14298,2.145594,[19 10] ; [2 4],[17.4 11.6] ; [3.6 2.4],0
v4,1,0.14298,2.145594,[26  3] ; [4 2],[24.85714286  4.14285714] ; [5.14285714 0.85714286],0
u1,1,0.204177,1.612243,[ 1 28] ; [1 5],[ 1.65714286 27.34285714] ; [0.34285714 5.65714286],0
n3,1,0.21289,1.551667,[9 6] ; [1 3],[7.89473684 7.10526316] ; [2.10526316 1.89473684],0
d3,1,0.254133,1.300438,[17 12] ; [5 1],[18.22857143 10.77142857] ; [3.77142857 2.22857143],0
b5,1,0.257712,1.281004,[17 12] ; [2 4],[15.74285714 13.25714286] ; [3.25714286 2.74285714],0
b4,1,0.281695,1.158895,[21  8] ; [3 3],[19.88571429  9.11428571] ; [4.11428571 1.88571429],0
s2,1,0.31786,0.99773,[11 18] ; [1 5],[ 9.94285714 19.05714286] ; [2.05714286 3.94285714],0
v1,1,0.329919,0.949215,[13 16] ; [4 2],[14.08571429 14.91428571] ; [2.91428571 3.08571429],0
a6,1,0.329919,0.949215,[13 16] ; [4 2],[14.08571429 14.91428571] ; [2.91428571 3.08571429],0
p5,1,0.394881,0.72386,[ 5 23] ; [2 4],[ 5.76470588 22.23529412] ; [1.23529412 4.76470588],0
p12,1,0.436471,0.605544,[ 2 27] ; [1 5],[ 2.48571429 26.51428571] ; [0.51428571 5.48571429],0
a5,1,0.473964,0.51272,[19 10] ; [3 3],[18.22857143 10.77142857] ; [3.77142857 2.22857143],0
s6,1,0.503623,0.447293,[14 15] ; [2 4],[13.25714286 15.74285714] ; [2.74285714 3.25714286],0
r1,1,0.503623,0.447293,[15 14] ; [4 2],[15.74285714 13.25714286] ; [3.25714286 2.74285714],0
d2,1,0.503623,0.447293,[14 15] ; [2 4],[13.25714286 15.74285714] ; [2.74285714 3.25714286],0
v3,1,0.532723,0.389194,[ 6 22] ; [2 4],[ 6.58823529 21.41176471] ; [1.41176471 4.58823529],0
v2,1,0.532723,0.389194,[ 6 22] ; [2 4],[ 6.58823529 21.41176471] ; [1.41176471 4.58823529],0
s7,1,0.628439,0.234184,[11 17] ; [3 3],[11.52941176 16.47058824] ; [2.47058824 3.52941176],0
a2,1,0.657738,0.196283,[ 3 26] ; [1 5],[ 3.31428571 25.68571429] ; [0.68571429 5.31428571],0
p8,1,0.697713,0.150862,[17 12] ; [3 3],[16.57142857 12.42857143] ; [3.42857143 2.57142857],0
d1,1,0.697713,0.150862,[12 17] ; [3 3],[12.42857143 16.57142857] ; [2.57142857 3.42857143],0
p7,1,0.732074,0.117216,[11 15] ; [3 3],[11.375 14.625] ; [2.625 3.375],0
p3,1,0.749139,0.102256,[12 16] ; [3 3],[12.35294118 15.64705882] ; [2.64705882 3.35294118],0
n2,1,0.750042,0.101496,[10  5] ; [3 1],[10.26315789  4.73684211] ; [2.73684211 1.26315789],0
n5,1,0.776675,0.08046,[21  8] ; [4 2],[20.71428571  8.28571429] ; [4.28571429 1.71428571],0
p11,1,0.816921,0.053596,[16 13] ; [3 3],[15.74285714 13.25714286] ; [3.25714286 2.74285714],0
p1,1,0.822564,0.050287,[ 6 23] ; [1 5],[ 5.8 23.2] ; [1.2 4.8],0
a3,1,0.831981,0.045012,[18 11] ; [4 2],[18.22857143 10.77142857] ; [3.77142857 2.22857143],0
p9,1,0.881208,0.022332,[24  4] ; [5 1],[23.88235294  4.11764706] ; [5.11764706 0.88235294],0
u2,1,0.905581,0.014069,[6 5] ; [1 1],[5.92307692 5.07692308] ; [1.07692308 0.92307692],0
u3,1,0.905581,0.014069,[6 5] ; [1 1],[5.92307692 5.07692308] ; [1.07692308 0.92307692],0
n6,1,0.912082,0.012191,[20  9] ; [4 2],[19.88571429  9.11428571] ; [4.11428571 1.88571429],0
p6,1,0.912082,0.012191,[ 9 20] ; [2 4],[ 9.11428571 19.88571429] ; [1.88571429 4.11428571],0
s5,1,0.912082,0.012191,[ 9 20] ; [2 4],[ 9.11428571 19.88571429] ; [1.88571429 4.11428571],0
a7,1,0.93869,0.005916,[15 14] ; [3 3],[14.91428571 14.08571429] ; [3.08571429 2.91428571],0
s8,1,0.956941,0.002915,[10 19] ; [2 4],[ 9.94285714 19.05714286] ; [2.05714286 3.94285714],0
d5,1,0.956941,0.002915,[19 10] ; [4 2],[19.05714286  9.94285714] ; [3.94285714 2.05714286],0
b3,1,0.957911,0.002785,[ 7 15] ; [1 2],[ 7.04 14.96] ; [0.96 2.04],0
b2,1,0.957911,0.002785,[ 7 15] ; [1 2],[ 7.04 14.96] ; [0.96 2.04],0
s4,1,0.972877,0.001156,[ 5 24] ; [1 5],[ 4.97142857 24.02857143] ; [1.02857143 4.97142857],0
