Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,85.91895,[437  13] ; [49 24],[418.16443595  31.83556405] ; [67.83556405  5.16443595],1
r2,1,2e-06,22.888307,[440   6] ; [63  8],[433.92263056  12.07736944] ; [69.07736944  1.92263056],1
u1,1,0.000168,14.161063,[139 311] ; [ 7 66],[125.62141491 324.37858509] ; [20.37858509 52.62141491],1
a2,1,0.000562,11.896525,[174 276] ; [13 60],[160.89866157 289.10133843] ; [26.10133843 46.89866157],1
a8,1,0.002627,9.049684,[ 57 338] ; [ 1 68],[ 49.375 345.625] ; [ 8.625 60.375],0
r3,1,0.003556,8.497751,[435  12] ; [66  7],[430.66730769  16.33269231] ; [70.33269231  2.66730769],0
p2,1,0.008165,6.997026,[383  63] ; [53 19],[375.3976834  70.6023166] ; [60.6023166 11.3976834],0
p7,1,0.008826,6.857606,[292 142] ; [37 35],[282.18577075 151.81422925] ; [46.81422925 25.18577075],0
a7,1,0.010349,6.573868,[356  93] ; [48 25],[347.50191571 101.49808429] ; [56.49808429 16.50191571],0
a6,1,0.01199,6.312375,[338 109] ; [45 28],[329.23269231 117.76730769] ; [53.76730769 19.23269231],0
n4,1,0.016463,5.752768,[367  81] ; [51 22],[359.4318618  88.5681382] ; [58.5681382 14.4318618],0
p8,1,0.022313,5.221236,[254 188] ; [30 40],[245.171875 196.828125] ; [38.828125 31.171875],0
p12,1,0.040723,4.187492,[ 46 400] ; [ 2 70],[ 41.32818533 404.67181467] ; [ 6.67181467 65.32818533],0
s3,1,0.044536,4.036137,[265 178] ; [34 38],[257.19805825 185.80194175] ; [41.80194175 30.19805825],0
d3,1,0.059399,3.554095,[402  46] ; [60 13],[397.26679463  50.73320537] ; [64.73320537  8.26679463],0
s7,1,0.074661,3.177462,[236 193] ; [30 39],[229.14457831 199.85542169] ; [36.85542169 32.14457831],0
p10,1,0.076847,3.130347,[377  68] ; [55 17],[371.83752418  73.16247582] ; [60.16247582 11.83752418],0
n5,1,0.088578,2.900022,[347 100] ; [50 23],[341.26730769 105.73269231] ; [55.73269231 17.26730769],0
s6,1,0.105524,2.620001,[314 128] ; [45 28],[308.11262136 133.88737864] ; [50.88737864 22.11262136],0
a4,1,0.158293,1.990457,[267 182] ; [37 36],[261.48659004 187.51340996] ; [42.51340996 30.48659004],0
a5,1,0.197621,1.659867,[384  66] ; [58 15],[380.30592734  69.69407266] ; [61.69407266 11.30592734],0
p1,1,0.228396,1.450826,[ 36 411] ; [ 9 64],[ 38.68269231 408.31730769] ; [ 6.31730769 66.68269231],0
p4,1,0.240663,1.376707,[295 150] ; [42 29],[290.62984496 154.37015504] ; [46.37015504 24.62984496],0
a1,1,0.24099,1.374794,[ 22 428] ; [ 6 67],[ 24.0917782 425.9082218] ; [ 3.9082218 69.0917782],0
v1,1,0.270034,1.216577,[256 182] ; [36 34],[251.76377953 186.23622047] ; [40.23622047 29.76377953],0
n3,1,0.284126,1.147248,[65 26] ; [17 11],[62.70588235 28.29411765] ; [19.29411765  8.70588235],0
b1,1,0.305668,1.049301,[163 287] ; [31 42],[166.92160612 283.07839388] ; [27.07839388 45.92160612],0
d2,1,0.330664,0.946297,[324 122] ; [49 24],[320.53564547 125.46435453] ; [52.46435453 20.53564547],0
u2,1,0.332144,0.940519,[59 30] ; [8 7],[57.33653846 31.66346154] ; [9.66346154 5.33653846],0
p9,1,0.349366,0.875759,[387  56] ; [60 12],[384.50679612  58.49320388] ; [62.49320388  9.50679612],0
n6,1,0.393456,0.728235,[389  57] ; [61 12],[386.70520231  59.29479769] ; [63.29479769  9.70520231],0
s8,1,0.398022,0.714295,[231 214] ; [34 39],[227.65444015 217.34555985] ; [37.34555985 35.65444015],0
s4,1,0.401324,0.704355,[ 73 368] ; [15 58],[ 75.50194553 365.49805447] ; [12.49805447 60.50194553],0
s2,1,0.413412,0.668967,[255 191] ; [38 35],[251.78805395 194.21194605] ; [41.21194605 31.78805395],0
p6,1,0.469789,0.522471,[175 268] ; [30 38],[177.72015656 265.27984344] ; [27.27984344 40.72015656],0
v2,1,0.524948,0.404162,[269 165] ; [40 29],[266.61232604 167.38767396] ; [42.38767396 26.61232604],0
s1,1,0.576244,0.312346,[ 13 430] ; [ 3 69],[ 13.7631068 429.2368932] ; [ 2.2368932 69.7631068],0
v3,1,0.608967,0.261682,[190 235] ; [29 41],[188.03030303 236.96969697] ; [30.96969697 39.03030303],0
p11,1,0.641973,0.216172,[356  94] ; [56 17],[354.49330784  95.50669216] ; [57.50669216 15.49330784],0
n2,1,0.662639,0.190333,[61 30] ; [20  8],[61.94117647 29.05882353] ; [19.05882353  8.94117647],0
n1,1,0.702432,0.145955,[34 57] ; [ 9 18],[33.16101695 57.83898305] ; [ 9.83898305 17.16101695],0
s5,1,0.726475,0.122373,[162 270] ; [24 44],[160.704 271.296] ; [25.296 42.704],0
u4,1,0.790787,0.070378,[ 15 435] ; [ 2 71],[ 14.62715105 435.37284895] ; [ 2.37284895 70.62715105],0
d5,1,0.798707,0.065036,[439   8] ; [72  1],[439.26346154   7.73653846] ; [71.73653846  1.26346154],0
p5,1,0.799157,0.064739,[ 54 390] ; [ 8 64],[ 53.34883721 390.65116279] ; [ 8.65116279 63.34883721],0
b5,1,0.81204,0.056546,[277 173] ; [46 27],[277.91586998 172.08413002] ; [45.08413002 27.91586998],0
p3,1,0.817029,0.053531,[239 207] ; [37 34],[238.0967118 207.9032882] ; [37.9032882 33.0967118],0
a3,1,0.85711,0.03242,[360  88] ; [58 15],[359.4318618  88.5681382] ; [58.5681382 14.4318618],0
b4,1,0.88776,0.01992,[269 181] ; [43 30],[268.45124283 181.54875717] ; [43.54875717 29.45124283],0
b2,1,0.91101,0.012491,[114 171] ; [18 28],[113.65558912 171.34441088] ; [18.34441088 27.65558912],0
b3,1,0.91101,0.012491,[114 171] ; [18 28],[113.65558912 171.34441088] ; [18.34441088 27.65558912],0
u3,1,1.0,0.0,[60 30] ; [10  5],[60. 30.] ; [10.  5.],0
