Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,65.825853,[ 34 125] ; [161  98],[74.17464115 84.82535885] ; [120.82535885 138.17464115],1
v1,1,0.0,29.785948,[67 94] ; [179  82],[93.85308057 67.14691943] ; [152.14691943 108.85308057],1
r3,1,0.011273,6.421742,[149  14] ; [257   8],[154.62149533   8.37850467] ; [251.37850467  13.62149533],0
s1,1,0.020908,5.334481,[ 10 152] ; [  5 257],[  5.73113208 156.26886792] ; [  9.26886792 252.73113208],0
p10,1,0.024951,5.027265,[131  33] ; [232  32],[139.09345794  24.90654206] ; [223.90654206  40.09345794],0
p9,1,0.029001,4.767549,[135  28] ; [236  26],[142.28941176  20.71058824] ; [228.71058824  33.28941176],0
a8,1,0.033847,4.502404,[ 16 133] ; [ 43 185],[ 23.31830239 125.68169761] ; [ 35.68169761 192.31830239],0
p11,1,0.037798,4.314072,[125  39] ; [225  42],[133.17865429  30.82134571] ; [216.82134571  50.17865429],0
p12,1,0.059171,3.560474,[ 11 152] ; [ 33 232],[ 16.75700935 146.24299065] ; [ 27.24299065 237.75700935],0
n3,1,0.060834,3.514506,[25 16] ; [32  8],[28.85185185 12.14814815] ; [28.14814815 11.85185185],0
s4,1,0.071907,3.238936,[ 31 129] ; [ 34 230],[ 24.52830189 135.47169811] ; [ 40.47169811 223.52830189],0
b1,1,0.091493,2.847911,[73 91] ; [ 97 170],[64.68677494 99.31322506] ; [105.31322506 161.68677494],0
s2,1,0.115494,2.477389,[84 79] ; [156 107],[91.83098592 71.16901408] ; [148.16901408 114.83098592],0
r2,1,0.123773,2.368921,[158   2] ; [252  10],[155.45023697   4.54976303] ; [254.54976303   7.45023697],0
d2,1,0.146319,2.110207,[117  45] ; [207  57],[123.21126761  38.78873239] ; [200.78873239  63.21126761],0
d4,1,0.148387,2.088752,[157   5] ; [262   3],[158.96487119   3.03512881] ; [260.03512881   4.96487119],0
a7,1,0.155134,2.02103,[117  47] ; [206  60],[123.19069767  40.80930233] ; [199.80930233  66.19069767],0
p7,1,0.159841,1.975734,[101  60] ; [179  79],[107.58949881  53.41050119] ; [172.41050119  85.58949881],0
n2,1,0.165048,1.927359,[27 16] ; [30  9],[29.8902439 13.1097561] ; [27.1097561 11.8902439],0
d3,1,0.175521,1.835146,[147  16] ; [228  38],[142.48251748  20.51748252] ; [232.51748252  33.48251748],0
p2,1,0.203139,1.619659,[132  30] ; [229  37],[136.64018692  25.35981308] ; [224.35981308  41.64018692],0
s7,1,0.227439,1.456806,[85 73] ; [152 102],[90.88834951 67.11165049] ; [146.11165049 107.88834951],0
v4,1,0.243407,1.360751,[153  11] ; [254  11],[155.58974359   8.41025641] ; [251.41025641  13.58974359],0
