Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2.3e-05,17.957198,[71 64] ; [ 8 39],[58.5989011 76.4010989] ; [20.4010989 26.5989011],1
a3,1,2.3e-05,17.927502,[105  30] ; [21 26],[93.46153846 41.53846154] ; [32.53846154 14.46153846],1
p9,1,0.000214,13.7028,[118  16] ; [30 17],[109.56906077  24.43093923] ; [38.43093923  8.56906077],1
d4,1,0.000391,12.574926,[114  21] ; [28 19],[105.32967033  29.67032967] ; [36.67032967 10.32967033],1
d1,1,0.001566,9.999107,[82 53] ; [16 31],[72.69230769 62.30769231] ; [25.30769231 21.69230769],0
p10,1,0.001867,9.675986,[112  22] ; [29 18],[104.38674033  29.61325967] ; [36.61325967 10.38674033],0
v2,1,0.002103,9.457721,[66 66] ; [11 35],[57.1011236 74.8988764] ; [19.8988764 26.1011236],0
d2,1,0.002682,9.012293,[74 60] ; [14 33],[65.14917127 68.85082873] ; [22.85082873 24.14917127],0
a6,1,0.01909,5.493284,[97 38] ; [25 22],[90.49450549 44.50549451] ; [31.50549451 15.49450549],0
u1,1,0.030373,4.688059,[ 31 104] ; [ 4 43],[ 25.96153846 109.03846154] ; [ 9.03846154 37.96153846],0
d3,1,0.04541,4.00336,[91 44] ; [24 23],[85.3021978 49.6978022] ; [29.6978022 17.3021978],0
d5,1,0.050951,3.809885,[108  27] ; [31 16],[103.1043956  31.8956044] ; [35.8956044 11.1043956],0
p11,1,0.050951,3.809885,[108  27] ; [31 16],[103.1043956  31.8956044] ; [35.8956044 11.1043956],0
r3,1,0.077102,3.124958,[127   7] ; [40  6],[124.32222222   9.67777778] ; [42.67777778  3.32222222],0
r1,1,0.077862,3.108969,[108  26] ; [32 15],[103.64640884  30.35359116] ; [36.35359116 10.64640884],0
s7,1,0.10284,2.660946,[69 56] ; [18 26],[64.34911243 60.65088757] ; [22.65088757 21.34911243],0
b2,1,0.103831,2.645684,[30 53] ; [ 6 24],[26.44247788 56.55752212] ; [ 9.55752212 20.44247788],0
b3,1,0.103831,2.645684,[30 53] ; [ 6 24],[26.44247788 56.55752212] ; [ 9.55752212 20.44247788],0
s6,1,0.108,2.583239,[93 37] ; [27 19],[88.63636364 41.36363636] ; [31.36363636 14.63636364],0
p1,1,0.111773,2.528973,[ 16 119] ; [10 37],[ 19.28571429 115.71428571] ; [ 6.71428571 40.28571429],0
s8,1,0.114663,2.488745,[60 73] ; [15 32],[55.41666667 77.58333333] ; [19.58333333 27.41666667],0
p12,1,0.118798,2.433101,[ 12 122] ; [ 1 46],[  9.62430939 124.37569061] ; [ 3.37569061 43.62430939],0
n4,1,0.133318,2.253431,[109  26] ; [33 14],[105.32967033  29.67032967] ; [36.67032967 10.32967033],0
