Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.001215,10.467136,[10 60] ; [10 11],[15.38461538 54.61538462] ; [ 4.61538462 16.38461538],0
s6,1,0.002147,9.419642,[18 52] ; [13  8],[23.84615385 46.15384615] ; [ 7.15384615 13.84615385],0
r4,1,0.005667,7.653298,[41 30] ; [19  2],[46.30434783 24.69565217] ; [13.69565217  7.30434783],0
p2,1,0.008802,6.862515,[31 40] ; [16  5],[36.27173913 34.72826087] ; [10.72826087 10.27173913],0
r3,1,0.011298,6.417775,[48 23] ; [20  1],[52.47826087 18.52173913] ; [15.52173913  5.47826087],0
v2,1,0.080888,3.04696,[22 44] ; [11  9],[25.3255814 40.6744186] ; [ 7.6744186 12.3255814],0
p8,1,0.08871,2.897632,[ 9 61] ; [ 6 15],[11.53846154 58.46153846] ; [ 3.46153846 17.53846154],0
v4,1,0.098479,2.73,[47 23] ; [18  3],[50. 20.] ; [15.  6.],0
a5,1,0.10151,2.681656,[40 31] ; [16  5],[43.2173913 27.7826087] ; [12.7826087  8.2173913],0
p6,1,0.108985,2.56888,[ 5 65] ; [ 4 17],[ 6.92307692 63.07692308] ; [ 2.07692308 18.92307692],0
s2,1,0.124391,2.361148,[21 50] ; [10 11],[23.92391304 47.07608696] ; [ 7.07608696 13.92391304],0
u3,1,0.146676,2.106481,[13 13] ; [7 2],[14.85714286 11.14285714] ; [5.14285714 3.85714286],0
a8,1,0.154058,2.031606,[ 4 65] ; [ 3 16],[ 5.48863636 63.51136364] ; [ 1.51136364 17.48863636],0
d4,1,0.160933,1.96544,[50 21] ; [18  3],[52.47826087 18.52173913] ; [15.52173913  5.47826087],0
r2,1,0.193252,1.692651,[59 11] ; [20  1],[60.76923077  9.23076923] ; [18.23076923  2.76923077],0
a6,1,0.215362,1.535009,[40 31] ; [15  6],[42.44565217 28.55434783] ; [12.55434783  8.44565217],0
s8,1,0.236305,1.402505,[12 59] ; [ 6 15],[13.89130435 57.10869565] ; [ 4.10869565 16.89130435],0
d5,1,0.238014,1.39232,[48 23] ; [17  4],[50.16304348 20.83695652] ; [14.83695652  6.16304348],0
