Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,6e-06,20.435332,[27 45] ; [200 101],[43.81769437 28.18230563] ; [183.18230563 117.81769437],1
p5,1,9e-06,19.686593,[16 56] ; [ 17 283],[ 6.38709677 65.61290323] ; [ 26.61290323 273.38709677],1
s6,1,0.000518,12.050186,[45 25] ; [124 176],[31.97297297 38.02702703] ; [137.02702703 162.97297297],1
p1,1,0.004356,8.128994,[10 62] ; [ 14 285],[ 4.65768194 67.34231806] ; [ 19.34231806 279.65768194],0
s8,1,0.006954,7.284723,[26 46] ; [ 63 237],[17.22580645 54.77419355] ; [ 71.77419355 228.22580645],0
a7,1,0.008887,6.845495,[44 27] ; [232  69],[52.67741935 18.32258065] ; [223.32258065  77.67741935],0
a6,1,0.009749,6.680244,[42 30] ; [222  79],[50.95978552 21.04021448] ; [213.04021448  87.95978552],0
d2,1,0.009783,6.674018,[45 26] ; [139 161],[35.21293801 35.78706199] ; [148.78706199 151.21293801],0
p7,1,0.011705,6.354959,[52 20] ; [165 130],[42.57220708 29.42779292] ; [174.42779292 120.57220708],0
p3,1,0.014087,6.027242,[42 30] ; [126 172],[32.69189189 39.30810811] ; [135.30810811 162.69189189],0
s4,1,0.016672,5.730542,[12 59] ; [ 23 277],[ 6.69811321 64.30188679] ; [ 28.30188679 271.69811321],0
p10,1,0.020612,5.359288,[61 11] ; [212  85],[53.26829268 18.73170732] ; [219.73170732  77.26829268],0
r1,1,0.037415,4.331422,[62 10] ; [223  76],[55.30997305 16.69002695] ; [229.69002695  69.30997305],0
b3,1,0.054456,3.698681,[22 24] ; [ 58 120],[16.42857143 29.57142857] ; [ 63.57142857 114.42857143],0
b2,1,0.054456,3.698681,[22 24] ; [ 58 120],[16.42857143 29.57142857] ; [ 63.57142857 114.42857143],0
u1,1,0.073113,3.211707,[15 57] ; [ 38 263],[10.230563 61.769437] ; [ 42.769437 258.230563],0
p12,1,0.073482,3.203467,[ 5 66] ; [  8 290],[ 2.50135501 68.49864499] ; [ 10.49864499 287.50135501],0
n1,1,0.079792,3.069132,[10  9] ; [24 53],[ 6.72916667 12.27083333] ; [27.27083333 49.72916667],0
a8,1,0.08817,2.907469,[12 53] ; [ 29 241],[ 7.95522388 57.04477612] ; [ 33.04477612 236.95522388],0
p4,1,0.088466,2.902068,[45 27] ; [153 145],[38.52972973 33.47027027] ; [159.47027027 138.52972973],0
d4,1,0.089531,2.882791,[66  5] ; [257  44],[61.64784946  9.35215054] ; [261.35215054  39.64784946],0
s7,1,0.096868,2.756367,[24 45] ; [ 71 214],[18.51694915 50.48305085] ; [ 76.48305085 208.51694915],0
p6,1,0.106207,2.609772,[26 46] ; [ 78 216],[20.45901639 51.54098361] ; [ 83.54098361 210.45901639],0
a5,1,0.120045,2.416728,[59 13] ; [220  81],[53.85522788 18.14477212] ; [225.14477212  75.85522788],0
d1,1,0.120237,2.414228,[52 20] ; [188 113],[46.32707775 25.67292225] ; [193.67292225 107.32707775],0
a1,1,0.159914,1.975035,[ 5 67] ; [ 10 291],[ 2.89544236 69.10455764] ; [ 12.10455764 288.89544236],0
a4,1,0.206538,1.59553,[37 35] ; [129 170],[32.21563342 39.78436658] ; [133.78436658 165.21563342],0
r4,1,0.223103,1.484302,[64  8] ; [250  51],[60.61126005 11.38873995] ; [253.38873995  47.61126005],0
b1,1,0.235909,1.404876,[31 41] ; [107 194],[26.63806971 45.36193029] ; [111.36193029 189.63806971],0
v2,1,0.276101,1.186184,[43 29] ; [153 138],[38.87603306 33.12396694] ; [157.12396694 133.87603306],0
n6,1,0.291063,1.114698,[60 12] ; [233  67],[56.70967742 15.29032258] ; [236.29032258  63.70967742],0
p8,1,0.292827,1.106576,[40 32] ; [143 151],[36. 36.] ; [147. 147.],0
a3,1,0.401261,0.704545,[54 18] ; [210  90],[51.09677419 20.90322581] ; [212.90322581  87.09677419],0
p2,1,0.42361,0.640278,[60 12] ; [235  62],[57.56097561 14.43902439] ; [237.43902439  59.56097561],0
n2,1,0.425662,0.634631,[13  6] ; [45 32],[11.47916667  7.52083333] ; [46.52083333 30.47916667],0
