Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,77.264201,[210  84] ; [ 42 109],[166.48988764 127.51011236] ; [85.51011236 65.48988764],1
p6,1,0.0,47.726832,[150 146] ; [ 25 124],[116.40449438 179.59550562] ; [58.59550562 90.40449438],1
p2,1,0.0,40.96533,[275  21] ; [106  45],[252.29530201  43.70469799] ; [128.70469799  22.29530201],1
p3,1,0.0,39.880668,[192 104] ; [ 50 100],[160.60986547 135.39013453] ; [81.39013453 68.60986547],1
p4,1,0.0,32.002864,[224  72] ; [74 77],[197.33333333  98.66666667] ; [100.66666667  50.33333333],1
p10,1,0.0,28.53384,[267  29] ; [104  44],[247.33333333  48.66666667] ; [123.66666667  24.33333333],1
p11,1,0.0,26.315378,[255  42] ; [98 53],[234.02008929  62.97991071] ; [118.97991071  32.02008929],1
p9,1,7e-06,20.129267,[270  26] ; [111  36],[254.57336343  41.42663657] ; [126.42663657  20.57336343],1
a8,1,0.000499,12.121249,[ 50 211] ; [  8 125],[ 38.4213198 222.5786802] ; [ 19.5786802 113.4213198],1
r4,1,0.001038,10.757761,[292   5] ; [139  12],[285.72991071  11.27008929] ; [145.27008929   5.72991071],0
s5,1,0.001112,10.630387,[123 165] ; [ 38 105],[107.58236659 180.41763341] ; [53.41763341 89.58236659],0
v4,1,0.002264,9.321795,[292   3] ; [142   9],[287.06278027   7.93721973] ; [146.93721973   4.06278027],0
v1,1,0.004169,8.208835,[180 112] ; [69 77],[166. 126.] ; [83. 63.],0
n4,1,0.005749,7.627352,[253  43] ; [113  38],[242.36241611  53.63758389] ; [123.63758389  27.36241611],0
n1,1,0.010578,6.534893,[ 9 30] ; [27 28],[14.93617021 24.06382979] ; [21.06382979 33.93617021],0
r3,1,0.014345,5.99519,[291   4] ; [142   8],[287.04494382   7.95505618] ; [145.95505618   4.04494382],0
p5,1,0.016299,5.770357,[ 43 253] ; [ 10 139],[ 35.25393258 260.74606742] ; [ 17.74606742 131.25393258],0
