Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,23.433807,[55  2] ; [22 17],[45.71875 11.28125] ; [31.28125  7.71875],1
v4,1,2e-06,22.586417,[53  2] ; [22 17],[43.88297872 11.11702128] ; [31.11702128  7.88297872],1
p10,1,4e-06,21.422672,[41 15] ; [ 9 28],[30.10752688 25.89247312] ; [19.89247312 17.10752688],1
p2,1,1.8e-05,18.405686,[47  8] ; [17 22],[37.44680851 17.55319149] ; [26.55319149 12.44680851],1
p9,1,5.6e-05,16.224429,[45 12] ; [14 23],[35.77659574 21.22340426] ; [23.22340426 13.77659574],1
r4,1,0.000461,12.268433,[47 10] ; [19 20],[39.1875 17.8125] ; [26.8125 12.1875],1
p8,1,0.000769,11.31439,[24 32] ; [ 4 34],[16.68085106 39.31914894] ; [11.31914894 26.68085106],1
p7,1,0.001005,10.818249,[35 20] ; [11 27],[27.20430108 27.79569892] ; [18.79569892 19.20430108],0
p4,1,0.002105,9.45546,[29 27] ; [ 8 31],[21.81052632 34.18947368] ; [15.18947368 23.81052632],0
b5,1,0.005292,7.776806,[41 16] ; [17 22],[34.4375 22.5625] ; [23.5625 15.4375],0
r1,1,0.020048,5.407707,[46 11] ; [23 16],[40.96875 16.03125] ; [28.03125 10.96875],0
s8,1,0.022631,5.196581,[19 38] ; [ 5 34],[14.25 42.75] ; [ 9.75 29.25],0
u2,1,0.030522,4.67963,[13  3] ; [5 7],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
a1,1,0.03867,4.275304,[ 2 55] ; [ 6 33],[ 4.75 52.25] ; [ 3.25 35.75],0
n2,1,0.039436,4.24197,[14  1] ; [12  7],[11.47058824  3.52941176] ; [14.52941176  4.47058824],0
d5,1,0.057122,3.619048,[46 11] ; [24 14],[42. 15.] ; [28. 10.],0
u3,1,0.062942,3.45812,[11  5] ; [4 8],[8.57142857 7.42857143] ; [6.42857143 5.57142857],0
v2,1,0.066754,3.361083,[28 26] ; [12 25],[23.73626374 30.26373626] ; [16.26373626 20.73626374],0
s6,1,0.07461,3.178577,[31 26] ; [14 25],[26.71875 30.28125] ; [18.28125 20.71875],0
b2,1,0.095591,2.777607,[ 7 26] ; [10 14],[ 9.84210526 23.15789474] ; [ 7.15789474 16.84210526],0
b3,1,0.095591,2.777607,[ 7 26] ; [10 14],[ 9.84210526 23.15789474] ; [ 7.15789474 16.84210526],0
v1,1,0.109165,2.566274,[27 27] ; [13 26],[23.22580645 30.77419355] ; [16.77419355 22.22580645],0
d4,1,0.137323,2.207698,[44 13] ; [24 14],[40.8 16.2] ; [27.2 10.8],0
d2,1,0.153296,2.039141,[23 34] ; [21 17],[26.4 30.6] ; [17.6 20.4],0
