Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,21.033654,[54 37] ; [21 63],[39. 52.] ; [36. 48.],1
a5,1,0.003594,8.478273,[63 28] ; [41 45],[53.46892655 37.53107345] ; [50.53107345 35.46892655],0
a8,1,0.012266,6.27203,[13 72] ; [ 3 77],[ 8.24242424 76.75757576] ; [ 7.75757576 72.24242424],0
a3,1,0.01578,5.827252,[64 26] ; [46 40],[56.25 33.75] ; [53.75 32.25],0
d2,1,0.053787,3.719291,[41 49] ; [27 59],[34.77272727 55.22727273] ; [33.22727273 52.77272727],0
p8,1,0.077535,3.115828,[26 64] ; [35 49],[31.55172414 58.44827586] ; [29.44827586 54.55172414],0
n2,1,0.114317,2.493506,[24  8] ; [18 14],[21. 11.] ; [21. 11.],0
p11,1,0.121107,2.402943,[55 36] ; [42 44],[49.8700565 41.1299435] ; [47.1299435 38.8700565],0
v3,1,0.125778,2.343854,[25 59] ; [16 66],[20.74698795 63.25301205] ; [20.25301205 61.74698795],0
s2,1,0.185697,1.751431,[30 60] ; [37 49],[34.26136364 55.73863636] ; [32.73863636 53.26136364],0
n1,1,0.188669,1.727982,[14 17] ; [ 9 22],[11.5 19.5] ; [11.5 19.5],0
a4,1,0.193548,1.690401,[36 55] ; [26 60],[31.87570621 59.12429379] ; [30.12429379 55.87570621],0
r1,1,0.200296,1.640218,[66 25] ; [54 31],[62.04545455 28.95454545] ; [57.95454545 27.04545455],0
a1,1,0.2735,1.199108,[ 8 83] ; [ 4 82],[ 6.16949153 84.83050847] ; [ 5.83050847 80.16949153],0
r2,1,0.277933,1.177167,[76 12] ; [69 17],[73.33333333 14.66666667] ; [71.66666667 14.33333333],0
u3,1,0.319613,0.990528,[14 13] ; [25 14],[15.95454545 11.04545455] ; [23.04545455 15.95454545],0
n3,1,0.324974,0.968822,[17 13] ; [22 10],[18.87096774 11.12903226] ; [20.12903226 11.87096774],0
s4,1,0.331286,0.943864,[13 78] ; [17 69],[15.42372881 75.57627119] ; [14.57627119 71.42372881],0
p12,1,0.334326,0.932068,[ 3 86] ; [ 1 84],[ 2.04597701 86.95402299] ; [ 1.95402299 83.04597701],0
s7,1,0.347506,0.882544,[28 56] ; [21 58],[25.25153374 58.74846626] ; [23.74846626 55.25153374],0
d5,1,0.391819,0.733291,[66 24] ; [58 28],[63.40909091 26.59090909] ; [60.59090909 25.40909091],0
p2,1,0.393228,0.728935,[61 29] ; [53 33],[58.29545455 31.70454545] ; [55.70454545 30.29545455],0
b1,1,0.416271,0.660819,[50 41] ; [42 44],[47.29943503 43.70056497] ; [44.70056497 41.29943503],0
d4,1,0.420817,0.648032,[64 26] ; [65 20],[66.34285714 23.65714286] ; [62.65714286 22.34285714],0
s1,1,0.478841,0.501502,[ 4 84] ; [ 6 79],[ 5.0867052 82.9132948] ; [ 4.9132948 80.0867052],0
s5,1,0.480339,0.498095,[14 72] ; [17 66],[15.77514793 70.22485207] ; [15.22485207 67.77514793],0
p3,1,0.485369,0.486777,[32 58] ; [26 59],[29.82857143 60.17142857] ; [28.17142857 56.82857143],0
a2,1,0.487903,0.481148,[15 76] ; [11 75],[13.36723164 77.63276836] ; [12.63276836 73.36723164],0
r3,1,0.569447,0.323608,[73 18] ; [71 14],[74.45454545 16.54545455] ; [69.54545455 15.45454545],0
s8,1,0.571599,0.320015,[22 69] ; [24 62],[23.64971751 67.35028249] ; [22.35028249 63.64971751],0
v2,1,0.574107,0.315859,[39 48] ; [32 47],[37.21084337 49.78915663] ; [33.78915663 45.21084337],0
a7,1,0.621642,0.243567,[56 35] ; [56 30],[57.5819209 33.4180791] ; [54.4180791 31.5819209],0
p6,1,0.640219,0.218455,[18 71] ; [19 63],[19.25730994 69.74269006] ; [17.74269006 64.25730994],0
s3,1,0.647914,0.20854,[43 45] ; [45 41],[44.50574713 43.49425287] ; [43.49425287 42.50574713],0
v4,1,0.664616,0.187965,[71 18] ; [70 15],[72.12068966 16.87931034] ; [68.87931034 16.12068966],0
v1,1,0.666003,0.186313,[37 51] ; [33 52],[35.60693642 52.39306358] ; [34.39306358 50.60693642],0
s6,1,0.672544,0.178641,[41 50] ; [41 44],[42.39772727 48.60227273] ; [39.60227273 45.39772727],0
p10,1,0.67826,0.172091,[47 42] ; [47 37],[48.3583815 40.6416185] ; [45.6416185 38.3583815],0
a6,1,0.682575,0.167242,[57 33] ; [57 29],[58.29545455 31.70454545] ; [55.70454545 30.29545455],0
