Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.1e-05,19.334873,[10 27] ; [43 16],[20.42708333 16.57291667] ; [32.57291667 26.42708333],1
p3,1,0.000103,15.080129,[14 24] ; [45 14],[23.11340206 14.88659794] ; [35.88659794 23.11340206],1
d3,1,0.00025,13.415737,[10 28] ; [38 21],[18.80412371 19.19587629] ; [29.19587629 29.80412371],1
v3,1,0.004374,8.121706,[ 8 30] ; [29 29],[14.64583333 23.35416667] ; [22.35416667 35.64583333],0
p7,1,0.005358,7.754466,[22 15] ; [50  9],[27.75  9.25] ; [44.25 14.75],0
p5,1,0.006876,7.305142,[ 2 36] ; [16 43],[ 7.05154639 30.94845361] ; [10.94845361 48.05154639],0
p6,1,0.007483,7.153188,[10 26] ; [33 26],[16.29473684 19.70526316] ; [26.70526316 32.29473684],0
p2,1,0.016932,5.703382,[26 12] ; [52  7],[30.55670103  7.44329897] ; [47.44329897 11.55670103],0
d5,1,0.019547,5.451943,[27 11] ; [52  6],[31.27083333  6.72916667] ; [47.72916667 10.27083333],0
d1,1,0.03759,4.323498,[17 21] ; [39 20],[21.93814433 16.06185567] ; [34.06185567 24.93814433],0
n4,1,0.047532,3.926445,[25 12] ; [50  9],[28.90625  8.09375] ; [46.09375 12.90625],0
b5,1,0.04829,3.899856,[17 21] ; [15 44],[12.53608247 25.46391753] ; [19.46391753 39.53608247],0
u1,1,0.054828,3.687302,[ 4 34] ; [ 1 58],[ 1.95876289 36.04123711] ; [ 3.04123711 55.95876289],0
a4,1,0.056212,3.645762,[15 23] ; [35 24],[19.58762887 18.41237113] ; [30.41237113 28.58762887],0
p9,1,0.067633,3.339545,[28 10] ; [52  7],[31.34020619  6.65979381] ; [48.65979381 10.34020619],0
s7,1,0.071261,3.253728,[19 19] ; [39 18],[23.2 14.8] ; [34.8 22.2],0
a2,1,0.077551,3.115487,[ 7 31] ; [ 4 55],[ 4.30927835 33.69072165] ; [ 6.69072165 52.30927835],0
b1,1,0.080881,3.047106,[15 23] ; [34 25],[19.19587629 18.80412371] ; [29.80412371 29.19587629],0
n5,1,0.089186,2.889004,[26 11] ; [50  9],[29.29166667  7.70833333] ; [46.70833333 12.29166667],0
