Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4e-06,21.187434,[33 24] ; [115  16],[44.87234043 12.12765957] ; [103.12765957  27.87234043],1
p10,1,2.6e-05,17.715165,[29 29] ; [105  26],[41.12169312 16.87830688] ; [92.87830688 38.12169312],1
p2,1,0.000866,11.093768,[36 26] ; [105  25],[45.53125 16.46875] ; [95.46875 34.53125],1
p7,1,0.0057,7.642799,[26 35] ; [80 45],[34.76344086 26.23655914] ; [71.23655914 53.76344086],0
b1,1,0.007378,7.178657,[29 34] ; [35 96],[20.78350515 42.21649485] ; [43.21649485 87.78350515],0
p8,1,0.009478,6.730531,[19 42] ; [67 64],[27.32291667 33.67708333] ; [58.67708333 72.32291667],0
n5,1,0.01342,6.112928,[14 48] ; [53 77],[21.63541667 40.36458333] ; [45.36458333 84.63541667],0
s4,1,0.022706,5.190827,[22 41] ; [ 26 105],[15.58762887 47.41237113] ; [32.41237113 98.58762887],0
n6,1,0.028669,4.787377,[35 27] ; [94 36],[41.65625 20.34375] ; [87.34375 42.65625],0
a2,1,0.032281,4.583505,[14 49] ; [ 14 117],[ 9.09278351 53.90721649] ; [ 18.90721649 112.09278351],0
d5,1,0.032929,4.549462,[52 10] ; [91 40],[45.93782383 16.06217617] ; [97.06217617 33.93782383],0
d2,1,0.058537,3.578368,[29 34] ; [42 89],[23.05670103 39.94329897] ; [47.94329897 83.05670103],0
n2,1,0.100761,2.693461,[17  9] ; [34  7],[19.79104478  6.20895522] ; [31.20895522  9.79104478],0
u1,1,0.144365,2.130801,[ 9 54] ; [ 10 121],[ 6.17010309 56.82989691] ; [ 12.82989691 118.17010309],0
b5,1,0.170267,1.880594,[43 20] ; [76 55],[38.6443299 24.3556701] ; [80.3556701 50.6443299],0
p1,1,0.17544,1.835831,[ 6 56] ; [  6 124],[ 3.875 58.125] ; [  8.125 121.875],0
s1,1,0.176217,1.829241,[ 3 59] ; [  2 129],[ 1.60621762 60.39378238] ; [  3.39378238 127.60621762],0
s2,1,0.187667,1.735839,[33 30] ; [55 75],[28.7253886 34.2746114] ; [59.2746114 70.7253886],0
d3,1,0.216222,1.529268,[38 24] ; [92 39],[41.76165803 20.23834197] ; [88.23834197 42.76165803],0
a4,1,0.294242,1.100109,[24 39] ; [40 91],[20.78350515 42.21649485] ; [43.21649485 87.78350515],0
s3,1,0.305611,1.049548,[35 28] ; [62 68],[31.66321244 31.33678756] ; [65.33678756 64.66321244],0
v1,1,0.309137,1.034358,[23 39] ; [57 70],[26.24338624 35.75661376] ; [53.75661376 73.24338624],0
p12,1,0.311424,1.024628,[ 1 60] ; [  6 125],[ 2.22395833 58.77604167] ; [  4.77604167 126.22395833],0
v4,1,0.340781,0.907491,[59  3] ; [128   3],[60.07253886  1.92746114] ; [126.92746114   4.07253886],0
d1,1,0.390341,0.737879,[33 30] ; [60 71],[30.20103093 32.79896907] ; [62.79896907 68.20103093],0
u3,1,0.390987,0.735871,[18  7] ; [31 19],[16.33333333  8.66666667] ; [32.66666667 17.33333333],0
a5,1,0.403759,0.697103,[35 28] ; [81 50],[37.67010309 25.32989691] ; [78.32989691 52.67010309],0
a6,1,0.40614,0.690072,[39 24] ; [89 42],[41.56701031 21.43298969] ; [86.43298969 44.56701031],0
s7,1,0.407303,0.686659,[21 35] ; [40 88],[18.56521739 37.43478261] ; [42.43478261 85.56521739],0
b3,1,0.423724,0.639965,[ 7 21] ; [22 44],[ 8.63829787 19.36170213] ; [20.36170213 45.63829787],0
b2,1,0.423724,0.639965,[ 7 21] ; [22 44],[ 8.63829787 19.36170213] ; [20.36170213 45.63829787],0
v2,1,0.429312,0.624684,[27 31] ; [65 58],[29.48066298 28.51933702] ; [62.51933702 60.48066298],0
v3,1,0.490661,0.475076,[14 44] ; [36 88],[15.93406593 42.06593407] ; [34.06593407 89.93406593],0
p6,1,0.503187,0.448207,[13 48] ; [33 95],[14.84656085 46.15343915] ; [31.15343915 96.84656085],0
a3,1,0.531888,0.390783,[36 27] ; [81 50],[37.99484536 25.00515464] ; [79.00515464 51.99484536],0
s8,1,0.539567,0.376343,[19 43] ; [46 85],[20.88082902 41.11917098] ; [44.11917098 86.88082902],0
r1,1,0.544047,0.368091,[48 15] ; [104  26],[49.61658031 13.38341969] ; [102.38341969  27.61658031],0
a7,1,0.553659,0.350803,[47 15] ; [94 37],[45.29533679 16.70466321] ; [95.70466321 35.29533679],0
n1,1,0.727339,0.121569,[ 8 18] ; [11 30],[ 7.37313433 18.62686567] ; [11.62686567 29.37313433],0
s6,1,0.750059,0.101482,[39 22] ; [80 50],[38.0052356 22.9947644] ; [80.9947644 49.0052356],0
p3,1,0.796112,0.066761,[22 40] ; [49 82],[22.80829016 39.19170984] ; [48.19170984 82.80829016],0
a1,1,0.822294,0.050443,[ 2 61] ; [  5 126],[ 2.27319588 60.72680412] ; [  4.72680412 126.27319588],0
b4,1,0.838131,0.041732,[38 25] ; [77 54],[37.34536082 25.65463918] ; [77.65463918 53.34536082],0
n3,1,0.882965,0.021671,[19  7] ; [30 12],[18.73529412  7.26470588] ; [30.26470588 11.73529412],0
p4,1,0.889307,0.019371,[27 35] ; [58 72],[27.44791667 34.55208333] ; [57.55208333 72.44791667],0
s5,1,0.945166,0.004731,[18 41] ; [40 89],[18.20212766 40.79787234] ; [39.79787234 89.20212766],0
d4,1,0.948621,0.004152,[49 13] ; [103  28],[48.82901554 13.17098446] ; [103.17098446  27.82901554],0
u2,1,1.0,0.0,[15 10] ; [30 20],[15. 10.] ; [30. 20.],0
