Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000129,14.652658,[87  6] ; [91 33],[76.28571429 16.71428571] ; [101.71428571  22.28571429],1
s2,1,0.000446,12.328783,[77 16] ; [76 49],[65.2706422 27.7293578] ; [87.7293578 37.2706422],1
p6,1,0.001398,10.208847,[52 41] ; [42 81],[40.47222222 52.52777778] ; [53.52777778 69.47222222],0
s4,1,0.004961,7.893715,[33 58] ; [ 24 101],[24.01388889 66.98611111] ; [32.98611111 92.01388889],0
p7,1,0.027059,4.887045,[66 23] ; [72 49],[58.48571429 30.51428571] ; [79.51428571 41.48571429],0
a3,1,0.059098,3.562527,[79 14] ; [93 32],[73.37614679 19.62385321] ; [98.62385321 26.37614679],0
p10,1,0.06687,3.358222,[82 10] ; [99 25],[77.09259259 14.90740741] ; [103.90740741  20.09259259],0
d5,1,0.078669,3.09218,[79 14] ; [94 31],[73.80275229 19.19724771] ; [99.19724771 25.80275229],0
v1,1,0.09003,2.873845,[48 44] ; [49 72],[41.89671362 50.10328638] ; [55.10328638 65.89671362],0
n2,1,0.090272,2.869511,[24  4] ; [20 10],[21.24137931  6.75862069] ; [22.75862069  7.24137931],0
p3,1,0.099565,2.7125,[51 42] ; [54 70],[45. 48.] ; [60. 64.],0
b2,1,0.147728,2.095555,[31 39] ; [28 57],[26.64516129 43.35483871] ; [32.35483871 52.64516129],0
b3,1,0.147728,2.095555,[31 39] ; [28 57],[26.64516129 43.35483871] ; [32.35483871 52.64516129],0
p9,1,0.159991,1.974313,[84  9] ; [103  20],[80.51388889 12.48611111] ; [106.48611111  16.51388889],0
u3,1,0.163811,1.938686,[12  2] ; [21 11],[10.04347826  3.95652174] ; [22.95652174  9.04347826],0
b4,1,0.171752,1.867583,[57 36] ; [65 60],[52.04587156 40.95412844] ; [69.95412844 55.04587156],0
r4,1,0.173978,1.848325,[84  9] ; [105  20],[80.62844037 12.37155963] ; [108.37155963  16.62844037],0
a8,1,0.184535,1.760714,[18 66] ; [ 17 102],[14.48275862 69.51724138] ; [20.51724138 98.48275862],0
r3,1,0.204733,1.608283,[89  3] ; [115   9],[86.88888889  5.11111111] ; [117.11111111   6.88888889],0
b1,1,0.221601,1.493971,[34 59] ; [56 69],[38.39449541 54.60550459] ; [51.60550459 73.39449541],0
n1,1,0.223319,1.482913,[18 10] ; [14 15],[15.71929825 12.28070175] ; [16.28070175 12.71929825],0
s3,1,0.24606,1.345538,[72 21] ; [88 37],[68.25688073 24.74311927] ; [91.74311927 33.25688073],0
d4,1,0.249808,1.324378,[78 15] ; [97 28],[74.6559633 18.3440367] ; [100.3440367  24.6559633],0
d2,1,0.261683,1.259829,[54 39] ; [63 62],[49.91284404 43.08715596] ; [67.08715596 57.91284404],0
p12,1,0.267991,1.227002,[ 9 84] ; [  7 116],[ 6.88888889 86.11111111] ; [  9.11111111 113.88888889],0
v2,1,0.296259,1.09096,[42 49] ; [48 75],[38.27102804 52.72897196] ; [51.72897196 71.27102804],0
a1,1,0.303466,1.058902,[ 2 91] ; [  6 119],[ 3.41284404 89.58715596] ; [  4.58715596 120.41284404],0
d1,1,0.30899,1.034989,[57 36] ; [68 57],[53.32568807 39.67431193] ; [71.67431193 53.32568807],0
a6,1,0.328932,0.953099,[55 38] ; [82 43],[58.44495413 34.55504587] ; [78.55504587 46.44495413],0
p2,1,0.370237,0.802867,[82 11] ; [104  20],[79.71428571 13.28571429] ; [106.28571429  17.71428571],0
b5,1,0.377366,0.779264,[51 42] ; [76 49],[54.17889908 38.82110092] ; [72.82110092 52.17889908],0
s8,1,0.399292,0.710456,[61 32] ; [75 50],[58.01834862 34.98165138] ; [77.98165138 47.01834862],0
r2,1,0.411958,0.673142,[88  3] ; [116   7],[86.74766355  4.25233645] ; [117.25233645   5.74766355],0
n3,1,0.412706,0.670991,[19  8] ; [18 12],[17.52631579  9.47368421] ; [19.47368421 10.52631579],0
u1,1,0.468084,0.526495,[24 69] ; [27 98],[21.75688073 71.24311927] ; [29.24311927 95.75688073],0
u4,1,0.471032,0.519555,[ 1 92] ; [  3 122],[ 1.70642202 91.29357798] ; [  2.29357798 122.70642202],0
a4,1,0.495023,0.46559,[46 47] ; [56 69],[43.51376147 49.48623853] ; [58.48623853 66.51376147],0
p8,1,0.569902,0.322847,[46 45] ; [67 56],[48.05140187 42.94859813] ; [64.94859813 58.05140187],0
a2,1,0.572665,0.318244,[27 66] ; [32 93],[25.16972477 67.83027523] ; [33.83027523 91.16972477],0
s1,1,0.57975,0.30664,[ 6 85] ; [  6 118],[ 5.07906977 85.92093023] ; [  6.92093023 117.07906977],0
p11,1,0.607255,0.264191,[72 21] ; [93 32],[70.38990826 22.61009174] ; [94.61009174 30.38990826],0
v4,1,0.658281,0.195618,[88  4] ; [116   7],[87.29302326  4.70697674] ; [116.70697674   6.29302326],0
n6,1,0.69254,0.156349,[76 15] ; [106  18],[77.03255814 13.96744186] ; [104.96744186  19.03255814],0
p4,1,0.697296,0.1513,[58 34] ; [82 43],[59.35483871 32.64516129] ; [80.64516129 44.35483871],0
p5,1,0.733715,0.115728,[12 81] ; [ 14 109],[11.19444444 81.80555556] ; [ 14.80555556 108.19444444],0
d3,1,0.740323,0.109843,[63 30] ; [82 43],[61.85779817 31.14220183] ; [83.14220183 41.85779817],0
n5,1,0.784432,0.074828,[69 22] ; [96 28],[69.8372093 21.1627907] ; [95.1627907 28.8372093],0
a5,1,0.806585,0.059944,[72 21] ; [95 30],[71.24311927 21.75688073] ; [95.75688073 29.24311927],0
u2,1,0.816099,0.054087,[9 4] ; [21 11],[8.66666667 4.33333333] ; [21.33333333 10.66666667],0
n4,1,0.854212,0.033763,[73 18] ; [99 26],[72.46296296 18.53703704] ; [99.53703704 25.46296296],0
p1,1,0.886998,0.020194,[ 8 85] ; [ 10 114],[ 7.71428571 85.28571429] ; [ 10.28571429 113.71428571],0
r1,1,0.89323,0.018014,[75 17] ; [101  24],[74.61751152 17.38248848] ; [101.38248848  23.61751152],0
a7,1,0.9014,0.01535,[64 29] ; [87 38],[64.41743119 28.58256881] ; [86.58256881 38.41743119],0
