Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.794672,[36 72] ; [ 13 133],[20.83464567 87.16535433] ; [ 28.16535433 117.83464567],1
s7,1,7e-06,20.182798,[40 64] ; [ 18 117],[25.23849372 78.76150628] ; [ 32.76150628 102.23849372],1
s5,1,3.7e-05,17.036424,[26 79] ; [  9 134],[14.81854839 90.18145161] ; [ 20.18145161 122.81854839],1
s3,1,0.000292,13.119942,[39 67] ; [ 24 120],[26.712 79.288] ; [ 36.288 107.712],1
r4,1,0.000481,12.188011,[92 16] ; [96 50],[79.93700787 28.06299213] ; [108.06299213  37.93700787],1
p10,1,0.000494,12.139683,[80 23] ; [81 63],[67.13765182 35.86234818] ; [93.86234818 50.13765182],1
p9,1,0.000852,11.124709,[88 19] ; [90 53],[76.184 30.816] ; [101.816  41.184],1
r3,1,0.000956,10.9106,[101   7] ; [113  31],[91.71428571 16.28571429] ; [122.28571429  21.71428571],1
p7,1,0.001664,9.887399,[66 39] ; [61 82],[53.77016129 51.22983871] ; [73.22983871 69.77016129],0
n6,1,0.002494,9.144863,[88 20] ; [93 52],[77.26482213 30.73517787] ; [103.73517787  41.26482213],0
p5,1,0.002644,9.038204,[16 91] ; [  6 139],[ 9.34126984 97.65873016] ; [ 12.65873016 132.34126984],0
r1,1,0.002857,8.896835,[80 27] ; [82 63],[68.78571429 38.21428571] ; [93.21428571 51.78571429],0
v4,1,0.00519,7.812075,[100   7] ; [117  27],[92.5059761 14.4940239] ; [124.4940239  19.5059761],0
p2,1,0.008718,6.879644,[89 19] ; [99 47],[79.93700787 28.06299213] ; [108.06299213  37.93700787],0
n4,1,0.009163,6.79085,[81 27] ; [86 59],[71.28853755 36.71146245] ; [95.71146245 49.28853755],0
p8,1,0.010018,6.631606,[54 53] ; [49 94],[44.084 62.916] ; [58.916 84.084],0
n5,1,0.014797,5.940452,[81 26] ; [88 56],[72.0438247 34.9561753] ; [96.9561753 47.0438247],0
a7,1,0.021169,5.312832,[75 33] ; [80 65],[66.16600791 41.83399209] ; [88.83399209 56.16600791],0
v1,1,0.024067,5.089818,[52 52] ; [51 92],[43.36842105 60.63157895] ; [59.63157895 83.36842105],0
u3,1,0.027549,4.856062,[31 23] ; [25 42],[24.99173554 29.00826446] ; [31.00826446 35.99173554],0
p4,1,0.03307,4.542138,[55 52] ; [55 90],[46.70634921 60.29365079] ; [63.29365079 81.70634921],0
r2,1,0.039618,4.234179,[93 12] ; [114  31],[86.94 18.06] ; [120.06  24.94],0
b1,1,0.043899,4.060442,[36 72] ; [67 79],[43.79527559 64.20472441] ; [59.20472441 86.79527559],0
p11,1,0.048357,3.897541,[84 24] ; [97 49],[76.96062992 31.03937008] ; [104.03937008  41.96062992],0
v2,1,0.050938,3.810327,[51 52] ; [51 87],[43.593361 59.406639] ; [58.406639 79.593361],0
u2,1,0.051143,3.80358,[33 21] ; [29 38],[27.66942149 26.33057851] ; [34.33057851 32.66942149],0
d5,1,0.053284,3.735003,[65 43] ; [70 76],[57.4015748 50.5984252] ; [77.5984252 68.4015748],0
p3,1,0.060149,3.533283,[48 60] ; [48 98],[40.81889764 67.18110236] ; [55.18110236 90.81889764],0
p1,1,0.06778,3.335979,[  5 103] ; [ 16 129],[ 8.96442688 99.03557312] ; [ 12.03557312 132.96442688],0
a6,1,0.075587,3.157317,[69 39] ; [77 69],[62.07874016 45.92125984] ; [83.92125984 62.07874016],0
p12,1,0.084439,2.977319,[ 8 99] ; [  4 140],[  5.11553785 101.88446215] ; [  6.88446215 137.11553785],0
p6,1,0.089558,2.882297,[29 75] ; [ 27 117],[23.48387097 80.51612903] ; [ 32.51612903 111.48387097],0
s1,1,0.142557,2.150138,[  2 105] ; [  8 137],[  4.24603175 102.75396825] ; [  5.75396825 139.24603175],0
d3,1,0.143718,2.137693,[47 61] ; [50 95],[41.40711462 66.59288538] ; [55.59288538 89.40711462],0
a4,1,0.165168,1.92626,[21 85] ; [ 40 106],[25.65873016 80.34126984] ; [ 35.34126984 110.65873016],0
d4,1,0.178362,1.811218,[61 47] ; [70 76],[55.7007874 52.2992126] ; [75.2992126 70.7007874],0
s4,1,0.209821,1.572663,[15 93] ; [ 13 133],[11.90551181 96.09448819] ; [ 16.09448819 129.90551181],0
u1,1,0.245414,1.349224,[  5 103] ; [  3 143],[  3.4015748 104.5984252] ; [  4.5984252 141.4015748],0
b5,1,0.312727,1.019124,[56 52] ; [85 61],[59.95275591 48.04724409] ; [81.04724409 64.95275591],0
v3,1,0.347818,0.881401,[32 74] ; [ 35 106],[28.75303644 77.24696356] ; [ 38.24696356 102.75303644],0
d2,1,0.38814,0.74476,[15 93] ; [ 26 119],[17.50197628 90.49802372] ; [ 23.49802372 121.50197628],0
a8,1,0.393025,0.729562,[13 87] ; [ 13 124],[10.97046414 89.02953586] ; [ 15.02953586 121.97046414],0
a3,1,0.403111,0.699025,[53 54] ; [79 65],[56.27091633 50.72908367] ; [75.72908367 68.27091633],0
b4,1,0.484096,0.489623,[61 47] ; [76 70],[58.2519685 49.7480315] ; [78.7480315 67.2519685],0
a5,1,0.533744,0.387258,[59 49] ; [74 72],[56.5511811 51.4488189] ; [76.4488189 69.5511811],0
a2,1,0.596198,0.280769,[  5 103] ; [  9 137],[  5.95275591 102.04724409] ; [  8.04724409 137.95275591],0
n1,1,0.669045,0.182721,[11 21] ; [18 28],[11.8974359 20.1025641] ; [17.1025641 28.8974359],0
a1,1,0.761245,0.092322,[  5 103] ; [  8 138],[  5.52755906 102.47244094] ; [  7.47244094 138.52755906],0
n3,1,0.770831,0.084848,[23 10] ; [32 12],[23.57142857  9.42857143] ; [31.42857143 12.57142857],0
b3,1,0.809613,0.058045,[19 38] ; [30 55],[19.66901408 37.33098592] ; [29.33098592 55.66901408],0
b2,1,0.809613,0.058045,[19 38] ; [30 55],[19.66901408 37.33098592] ; [29.33098592 55.66901408],0
n2,1,0.98998,0.000158,[23 10] ; [32 14],[22.97468354 10.02531646] ; [32.02531646 13.97468354],0
