Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,9.9e-05,15.151515,[ 6 24] ; [21  9],[13.5 16.5] ; [13.5 16.5],1
d3,1,0.00046,12.272727,[16 14] ; [28  2],[22.  8.] ; [22.  8.],1
u1,1,0.005584,7.68,[ 1 29] ; [ 9 21],[ 5. 25.] ; [ 5. 25.],0
s8,1,0.00617,7.5,[ 5 25] ; [15 15],[10. 20.] ; [10. 20.],0
a3,1,0.007384,7.177033,[14 16] ; [24  6],[19. 11.] ; [19. 11.],0
a2,1,0.011378,6.405229,[ 1 29] ; [ 8 22],[ 4.5 25.5] ; [ 4.5 25.5],0
p4,1,0.014851,5.934066,[ 6 24] ; [15 15],[10.5 19.5] ; [10.5 19.5],0
a5,1,0.058137,3.589744,[16 14] ; [23  7],[19.5 10.5] ; [19.5 10.5],0
p3,1,0.079839,3.068182,[ 5 25] ; [11 19],[ 8. 22.] ; [ 8. 22.],0
a4,1,0.118017,2.443439,[10 20] ; [16 14],[13. 17.] ; [13. 17.],0
b5,1,0.152008,2.051984,[24  6] ; [19 11],[21.5  8.5] ; [21.5  8.5],0
s7,1,0.157387,1.999158,[10 20] ; [14 13],[12.63157895 17.36842105] ; [11.36842105 15.63157895],0
s1,1,0.172895,1.857659,[ 1 28] ; [ 4 26],[ 2.45762712 26.54237288] ; [ 2.54237288 27.45762712],0
p10,1,0.206608,1.595038,[17 13] ; [21  8],[19.3220339 10.6779661] ; [18.6779661 10.3220339],0
p8,1,0.253589,1.303425,[ 3 27] ; [ 6 23],[ 4.57627119 25.42372881] ; [ 4.42372881 24.57627119],0
s2,1,0.260393,1.266667,[16 11] ; [22  8],[18.  9.] ; [20. 10.],0
p6,1,0.278076,1.176471,[ 3 27] ; [ 6 24],[ 4.5 25.5] ; [ 4.5 25.5],0
p11,1,0.297365,1.085973,[19 11] ; [15 15],[17. 13.] ; [17. 13.],0
a6,1,0.297365,1.085973,[15 15] ; [19 11],[17. 13.] ; [17. 13.],0
s3,1,0.308634,1.036514,[16 12] ; [21  9],[17.86206897 10.13793103] ; [19.13793103 10.86206897],0
s6,1,0.326255,0.963705,[19  9] ; [23  6],[20.63157895  7.36842105] ; [21.36842105  7.63157895],0
u2,1,0.338352,0.916667,[7 9] ; [4 2],[8. 8.] ; [3. 3.],0
n1,1,0.340144,0.90989,[2 8] ; [5 8],[3.04347826 6.95652174] ; [3.95652174 9.04347826],0
u3,1,0.350122,0.873016,[10  6] ; [5 1],[10.90909091  5.09090909] ; [4.09090909 1.90909091],0
n2,1,0.431333,0.619231,[7 3] ; [7 6],[6.08695652 3.91304348] ; [7.91304348 5.08695652],0
n5,1,0.432111,0.617143,[19 11] ; [16 14],[17.5 12.5] ; [17.5 12.5],0
v2,1,0.485894,0.485606,[10 19] ; [13 17],[11.30508475 17.69491525] ; [11.69491525 18.30508475],0
p1,1,0.553617,0.350877,[ 2 28] ; [ 1 29],[ 1.5 28.5] ; [ 1.5 28.5],0
v3,1,0.561126,0.337758,[ 5 24] ; [ 7 23],[ 5.89830508 23.10169492] ; [ 6.10169492 23.89830508],0
s5,1,0.568618,0.325,[11 15] ; [ 9 17],[10. 16.] ; [10. 16.],0
b1,1,0.573138,0.31746,[ 8 22] ; [10 20],[ 9. 21.] ; [ 9. 21.],0
r1,1,0.583882,0.3,[19 11] ; [21  9],[20. 10.] ; [20. 10.],0
a8,1,0.597193,0.27925,[ 1 25] ; [ 2 26],[ 1.44444444 24.55555556] ; [ 1.55555556 26.44444444],0
p2,1,0.602332,0.271493,[18 12] ; [16 14],[17. 13.] ; [17. 13.],0
r3,1,0.717688,0.130719,[26  4] ; [25  5],[25.5  4.5] ; [25.5  4.5],0
r4,1,0.738649,0.111317,[24  6] ; [25  5],[24.5  5.5] ; [24.5  5.5],0
n6,1,0.754001,0.0982,[23  7] ; [24  6],[23.5  6.5] ; [23.5  6.5],0
p9,1,0.772989,0.083214,[20  9] ; [21  8],[20.5  8.5] ; [20.5  8.5],0
a7,1,0.774499,0.082079,[21  9] ; [22  8],[21.5  8.5] ; [21.5  8.5],0
b4,1,0.786648,0.07326,[20 10] ; [19 11],[19.5 10.5] ; [19.5 10.5],0
n4,1,0.790602,0.070505,[18 12] ; [19 11],[18.5 11.5] ; [18.5 11.5],0
b2,1,0.904201,0.014486,[ 3 10] ; [ 4 12],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
b3,1,0.904201,0.014486,[ 3 10] ; [ 4 12],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
n3,1,0.940259,0.005617,[6 4] ; [8 5],[6.08695652 3.91304348] ; [7.91304348 5.08695652],0
v4,1,0.965056,0.001919,[26  3] ; [27  3],[26.05084746  2.94915254] ; [26.94915254  3.05084746],0
v1,1,1.0,0.0,[11 19] ; [11 19],[11. 19.] ; [11. 19.],0
a1,1,1.0,0.0,[ 1 29] ; [ 1 29],[ 1. 29.] ; [ 1. 29.],0
