Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001533,10.038879,[ 4 11] ; [38 15],[9.26470588 5.73529412] ; [32.73529412 20.26470588],0
d3,1,0.008149,7.000329,[8 7] ; [46  8],[11.73913043  3.26086957] ; [42.26086957 11.73913043],0
r2,1,0.031265,4.638333,[12  3] ; [52  2],[13.91304348  1.08695652] ; [50.08695652  3.91304348],0
v4,1,0.031265,4.638333,[12  3] ; [52  2],[13.91304348  1.08695652] ; [50.08695652  3.91304348],0
p9,1,0.037162,4.342978,[7 8] ; [39 13],[10.29850746  4.70149254] ; [35.70149254 16.29850746],0
n4,1,0.040574,4.193732,[10  5] ; [20 34],[6.52173913 8.47826087] ; [23.47826087 30.52173913],0
a4,1,0.063252,3.45,[ 2 13] ; [21 33],[ 5. 10.] ; [18. 36.],0
p2,1,0.067138,3.351651,[8 7] ; [41 12],[10.80882353  4.19117647] ; [38.19117647 14.80882353],0
n1,1,0.070645,3.267974,[2 3] ; [ 1 14],[0.75 4.25] ; [ 2.25 12.75],0
d5,1,0.081168,3.041352,[9 6] ; [44 10],[11.52173913  3.47826087] ; [41.47826087 12.52173913],0
p3,1,0.093369,2.81531,[9 6] ; [19 34],[6.17647059 8.82352941] ; [21.82352941 31.17647059],0
p10,1,0.097725,2.742291,[7 8] ; [37 16],[9.70588235 5.29411765] ; [34.29411765 18.70588235],0
d1,1,0.144537,2.128974,[6 9] ; [33 21],[8.47826087 6.52173913] ; [30.52173913 23.47826087],0
p11,1,0.157336,1.999642,[7 8] ; [36 18],[9.34782609 5.65217391] ; [33.65217391 20.34782609],0
s1,1,0.157993,1.993333,[ 2 13] ; [ 2 52],[ 0.86956522 14.13043478] ; [ 3.13043478 50.86956522],0
n2,1,0.19446,1.683502,[4 1] ; [7 8],[2.75 2.25] ; [8.25 6.75],0
v1,1,0.231703,1.430377,[6 9] ; [31 23],[8.04347826 6.95652174] ; [28.95652174 25.04347826],0
v2,1,0.238412,1.38996,[9 6] ; [40 13],[10.80882353  4.19117647] ; [38.19117647 14.80882353],0
b5,1,0.274664,1.193302,[8 7] ; [37 17],[9.7826087 5.2173913] ; [35.2173913 18.7826087],0
s4,1,0.292624,1.107508,[ 5 10] ; [11 43],[ 3.47826087 11.52173913] ; [12.52173913 41.47826087],0
r3,1,0.304001,1.056562,[13  2] ; [51  3],[13.91304348  1.08695652] ; [50.08695652  3.91304348],0
p1,1,0.314808,1.010394,[ 2 13] ; [ 3 50],[ 1.10294118 13.89705882] ; [ 3.89705882 49.10294118],0
a5,1,0.385906,0.751803,[12  3] ; [37 17],[10.65217391  4.34782609] ; [38.34782609 15.65217391],0
s3,1,0.396283,0.719577,[8 6] ; [24 30],[6.58823529 7.41176471] ; [25.41176471 28.58823529],0
b1,1,0.445802,0.581302,[6 9] ; [16 38],[ 4.7826087 10.2173913] ; [17.2173913 36.7826087],0
a6,1,0.445802,0.581302,[9 6] ; [38 16],[10.2173913  4.7826087] ; [36.7826087 17.2173913],0
a3,1,0.445802,0.581302,[9 6] ; [38 16],[10.2173913  4.7826087] ; [36.7826087 17.2173913],0
d4,1,0.493403,0.469096,[12  3] ; [47  7],[12.82608696  2.17391304] ; [46.17391304  7.82608696],0
u2,1,0.493963,0.467882,[5 1] ; [11  5],[4.36363636 1.63636364] ; [11.63636364  4.36363636],0
p8,1,0.506786,0.440698,[8 6] ; [25 28],[6.89552239 7.10447761] ; [26.10447761 26.89552239],0
s7,1,0.523879,0.40625,[4 9] ; [21 31],[5. 8.] ; [20. 32.],0
s6,1,0.567755,0.326453,[10  5] ; [31 22],[9.04411765 5.95588235] ; [31.95588235 21.04411765],0
n3,1,0.573138,0.31746,[4 1] ; [10  5],[3.5 1.5] ; [10.5  4.5],0
p4,1,0.604234,0.268657,[5 9] ; [23 30],[5.85074627 8.14925373] ; [22.14925373 30.85074627],0
r1,1,0.637504,0.222021,[12  3] ; [40 14],[11.30434783  3.69565217] ; [40.69565217 13.30434783],0
u3,1,0.675706,0.175,[3 3] ; [9 6],[3.42857143 2.57142857] ; [8.57142857 6.42857143],0
s2,1,0.680828,0.169195,[7 8] ; [22 32],[6.30434783 8.69565217] ; [22.69565217 31.30434783],0
b2,1,0.685117,0.164423,[3 5] ; [ 9 21],[2.52631579 5.47368421] ; [ 9.47368421 20.52631579],0
b3,1,0.685117,0.164423,[3 5] ; [ 9 21],[2.52631579 5.47368421] ; [ 9.47368421 20.52631579],0
p6,1,0.698069,0.150489,[ 4 10] ; [12 39],[ 3.44615385 10.55384615] ; [12.55384615 38.44615385],0
p5,1,0.738684,0.111287,[ 1 14] ; [ 5 48],[ 1.32352941 13.67647059] ; [ 4.67647059 48.32352941],0
p12,1,0.738684,0.111287,[ 1 14] ; [ 5 48],[ 1.32352941 13.67647059] ; [ 4.67647059 48.32352941],0
s5,1,0.759683,0.093573,[ 4 11] ; [16 36],[ 4.47761194 10.52238806] ; [15.52238806 36.47761194],0
d2,1,0.778265,0.079288,[7 8] ; [23 31],[6.52173913 8.47826087] ; [23.47826087 30.52173913],0
b4,1,0.782712,0.076058,[10  5] ; [38 16],[10.43478261  4.56521739] ; [37.56521739 16.43478261],0
s8,1,0.834062,0.043888,[6 9] ; [20 34],[5.65217391 9.34782609] ; [20.34782609 33.65217391],0
a1,1,0.870592,0.026538,[ 1 14] ; [ 3 51],[ 0.86956522 14.13043478] ; [ 3.13043478 50.86956522],0
p7,1,0.923256,0.00928,[8 7] ; [27 25],[7.8358209 7.1641791] ; [27.1641791 24.8358209],0
r4,1,0.969943,0.00142,[13  2] ; [47  7],[13.04347826  1.95652174] ; [46.95652174  7.04347826],0
