Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.004085,8.245561,[23 20] ; [15  1],[27.69491525 15.30508475] ; [10.30508475  5.69491525],0
s8,1,0.012286,6.269156,[ 6 38] ; [7 9],[ 9.53333333 34.46666667] ; [ 3.46666667 12.53333333],0
u3,1,0.020821,5.341719,[ 7 13] ; [6 1],[ 9.62962963 10.37037037] ; [3.37037037 3.62962963],0
p4,1,0.026938,4.894788,[11 32] ; [9 7],[14.57627119 28.42372881] ; [ 5.42372881 10.57627119],0
p3,1,0.031215,4.641098,[ 7 35] ; [7 9],[10.13793103 31.86206897] ; [ 3.86206897 12.13793103],0
p11,1,0.038676,4.275061,[17 27] ; [11  5],[20.53333333 23.46666667] ; [7.46666667 8.53333333],0
d4,1,0.042754,4.105114,[23 21] ; [13  3],[26.4 17.6] ; [9.6 6.4],0
n1,1,0.059346,3.555556,[ 7 11] ; [5 1],[9. 9.] ; [3. 3.],0
s2,1,0.065634,3.38896,[11 33] ; [8 8],[13.93333333 30.06666667] ; [ 5.06666667 10.93333333],0
s3,1,0.081938,3.026041,[16 27] ; [10  6],[18.94915254 24.05084746] ; [7.05084746 8.94915254],0
a6,1,0.083965,2.986425,[22 22] ; [12  4],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
n3,1,0.114057,2.497095,[10  8] ; [7 1],[11.76923077  6.23076923] ; [5.23076923 2.76923077],0
s7,1,0.135925,2.223492,[10 32] ; [7 9],[12.31034483 29.68965517] ; [ 4.68965517 11.31034483],0
b4,1,0.138222,2.197646,[18 26] ; [10  6],[20.53333333 23.46666667] ; [7.46666667 8.53333333],0
p2,1,0.149312,2.079266,[20 22] ; [11  5],[22.44827586 19.55172414] ; [8.55172414 7.44827586],0
p6,1,0.156293,2.009734,[ 8 33] ; [ 6 10],[10.07017544 30.92982456] ; [ 3.92982456 12.07017544],0
p9,1,0.179157,1.804601,[24 19] ; [12  4],[26.23728814 16.76271186] ; [9.76271186 6.23728814],0
s6,1,0.19622,1.670291,[14 30] ; [8 8],[16.13333333 27.86666667] ; [ 5.86666667 10.13333333],0
b1,1,0.19622,1.670291,[30 14] ; [8 8],[27.86666667 16.13333333] ; [10.13333333  5.86666667],0
a4,1,0.225004,1.472167,[12 32] ; [7 9],[13.93333333 30.06666667] ; [ 5.06666667 10.93333333],0
s5,1,0.261715,1.259664,[ 6 37] ; [ 4 11],[ 7.4137931 35.5862069] ; [ 2.5862069 12.4137931],0
d2,1,0.290846,1.115702,[18 26] ; [9 7],[19.8 24.2] ; [7.2 8.8],0
d1,1,0.302,1.065341,[13 31] ; [7 9],[14.66666667 29.33333333] ; [ 5.33333333 10.66666667],0
a2,1,0.302705,1.06224,[ 4 40] ; [ 3 13],[ 5.13333333 38.86666667] ; [ 1.86666667 14.13333333],0
d5,1,0.323678,0.974026,[24 20] ; [11  5],[25.66666667 18.33333333] ; [9.33333333 6.66666667],0
a1,1,0.330399,0.947334,[ 7 37] ; [ 1 15],[ 5.86666667 38.13333333] ; [ 2.13333333 13.86666667],0
a5,1,0.369575,0.805093,[19 25] ; [9 7],[20.53333333 23.46666667] ; [7.46666667 8.53333333],0
s4,1,0.381955,0.764399,[ 9 35] ; [ 5 11],[10.26666667 33.73333333] ; [ 3.73333333 12.26666667],0
b5,1,0.39075,0.736607,[22 22] ; [10  6],[23.46666667 20.53333333] ; [8.53333333 7.46666667],0
a8,1,0.433967,0.612183,[ 3 41] ; [ 2 13],[ 3.72881356 40.27118644] ; [ 1.27118644 13.72881356],0
p10,1,0.453192,0.562656,[19 23] ; [9 7],[20.27586207 21.72413793] ; [7.72413793 8.27586207],0
p1,1,0.456697,0.553977,[ 5 39] ; [ 3 13],[ 5.86666667 38.13333333] ; [ 2.13333333 13.86666667],0
v1,1,0.459502,0.547107,[16 27] ; [ 4 11],[14.82758621 28.17241379] ; [5.17241379 9.82758621],0
b3,1,0.461743,0.541667,[10 17] ; [3 9],[ 9. 18.] ; [4. 8.],0
b2,1,0.461743,0.541667,[10 17] ; [3 9],[ 9. 18.] ; [4. 8.],0
n4,1,0.481321,0.495868,[21 23] ; [ 6 10],[19.8 24.2] ; [7.2 8.8],0
p8,1,0.648372,0.207959,[10 31] ; [ 3 13],[ 9.35087719 31.64912281] ; [ 3.64912281 12.35087719],0
p7,1,0.662374,0.190653,[20 23] ; [6 9],[19.27586207 23.72413793] ; [6.72413793 8.27586207],0
v2,1,0.671077,0.180345,[14 29] ; [ 4 11],[13.34482759 29.65517241] ; [ 4.65517241 10.34482759],0
u2,1,0.744785,0.105965,[10 10] ; [4 3],[10.37037037  9.62962963] ; [3.62962963 3.37037037],0
n5,1,0.754969,0.097403,[24 20] ; [8 8],[23.46666667 20.53333333] ; [8.53333333 7.46666667],0
p5,1,0.803728,0.061765,[ 2 41] ; [ 1 15],[ 2.18644068 40.81355932] ; [ 0.81355932 15.18644068],0
v3,1,0.883828,0.021351,[ 7 37] ; [ 2 12],[ 6.82758621 37.17241379] ; [ 2.17241379 11.82758621],0
a3,1,0.906572,0.013774,[24 20] ; [9 7],[24.2 19.8] ; [8.8 7.2],0
d3,1,0.976073,0.0009,[19 24] ; [7 9],[18.94915254 24.05084746] ; [7.05084746 8.94915254],0
a7,1,1.0,0.0,[22 22] ; [8 8],[22. 22.] ; [8. 8.],0
