Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.4e-05,15.98961,[40  4] ; [16 16],[32.42105263 11.57894737] ; [23.57894737  8.42105263],1
p2,1,0.000244,13.461162,[43  3] ; [19 13],[36.56410256  9.43589744] ; [25.43589744  6.56410256],1
p6,1,0.001665,9.886088,[31 15] ; [10 22],[24.17948718 21.82051282] ; [16.82051282 15.17948718],0
n5,1,0.002251,9.332665,[40  6] ; [18 14],[34.20512821 11.79487179] ; [23.79487179  8.20512821],0
p11,1,0.002251,9.332665,[40  6] ; [18 14],[34.20512821 11.79487179] ; [23.79487179  8.20512821],0
p3,1,0.009032,6.816409,[31 15] ; [12 20],[25.35897436 20.64102564] ; [17.64102564 14.35897436],0
a2,1,0.022877,5.177795,[ 8 38] ; [13 19],[12.38461538 33.61538462] ; [ 8.61538462 23.38461538],0
a3,1,0.060618,3.520391,[30 16] ; [27  5],[33.61538462 12.38461538] ; [23.38461538  8.61538462],0
u1,1,0.071978,3.237322,[10 36] ; [13 19],[13.56410256 32.43589744] ; [ 9.43589744 22.56410256],0
p10,1,0.085625,2.954758,[43  3] ; [25  6],[40.62337662  5.37662338] ; [27.37662338  3.62337662],0
b5,1,0.09425,2.800248,[26 20] ; [24  8],[29.48717949 16.51282051] ; [20.51282051 11.48717949],0
d5,1,0.096525,2.762049,[37  9] ; [30  2],[39.51282051  6.48717949] ; [27.48717949  4.51282051],0
p5,1,0.096525,2.762049,[ 9 37] ; [ 2 30],[ 6.48717949 39.51282051] ; [ 4.51282051 27.48717949],0
p4,1,0.115721,2.474298,[35 11] ; [19 13],[31.84615385 14.15384615] ; [22.15384615  9.84615385],0
p12,1,0.141655,2.159888,[ 6 40] ; [ 1 30],[ 4.18181818 41.81818182] ; [ 2.81818182 28.18181818],0
v2,1,0.143088,2.144428,[18 26] ; [18 13],[21.12 22.88] ; [14.88 16.12],0
a6,1,0.167561,1.904625,[26 20] ; [23  9],[28.8974359 17.1025641] ; [20.1025641 11.8974359],0
a4,1,0.193519,1.690622,[19 27] ; [18 14],[21.82051282 24.17948718] ; [15.17948718 16.82051282],0
r4,1,0.206743,1.59409,[41  5] ; [31  1],[42.46153846  3.53846154] ; [29.53846154  2.46153846],0
d2,1,0.274875,1.192255,[26 20] ; [22 10],[28.30769231 17.69230769] ; [19.69230769 12.30769231],0
b3,1,0.275121,1.191035,[ 9 17] ; [ 4 16],[ 7.34782609 18.65217391] ; [ 5.65217391 14.34782609],0
b2,1,0.275121,1.191035,[ 9 17] ; [ 4 16],[ 7.34782609 18.65217391] ; [ 5.65217391 14.34782609],0
a5,1,0.300107,1.073718,[31 15] ; [25  7],[33.02564103 12.97435897] ; [22.97435897  9.02564103],0
n6,1,0.303265,1.059783,[40  6] ; [25  7],[38.33333333  7.66666667] ; [26.66666667  5.33333333],0
n4,1,0.312509,1.020041,[35 11] ; [21 11],[33.02564103 12.97435897] ; [22.97435897  9.02564103],0
a7,1,0.357168,0.847826,[30 16] ; [24  8],[31.84615385 14.15384615] ; [22.15384615  9.84615385],0
b1,1,0.365661,0.818356,[22 24] ; [12 20],[20.05128205 25.94871795] ; [13.94871795 18.05128205],0
r1,1,0.372577,0.795051,[35 11] ; [27  5],[36.56410256  9.43589744] ; [25.43589744  6.56410256],0
b4,1,0.413956,0.667411,[23 23] ; [19 13],[24.76923077 21.23076923] ; [17.23076923 14.76923077],0
v3,1,0.415727,0.662364,[17 29] ; [ 9 23],[15.33333333 30.66666667] ; [10.66666667 21.33333333],0
d1,1,0.472405,0.516345,[35 11] ; [22 10],[33.61538462 12.38461538] ; [23.38461538  8.61538462],0
d4,1,0.49203,0.472085,[40  6] ; [26  6],[38.92307692  7.07692308] ; [27.07692308  4.92307692],0
a8,1,0.521481,0.410963,[ 3 40] ; [ 1 28],[ 2.38888889 40.61111111] ; [ 1.61111111 27.38888889],0
d3,1,0.52522,0.403631,[33 13] ; [25  7],[34.20512821 11.79487179] ; [23.79487179  8.20512821],0
n3,1,0.531168,0.392157,[8 2] ; [9 1],[8.5 1.5] ; [8.5 1.5],0
s7,1,0.55569,0.347222,[37  8] ; [23  7],[36.  9.] ; [24.  6.],0
s2,1,0.594381,0.283555,[38  8] ; [27  4],[38.83116883  7.16883117] ; [26.16883117  4.83116883],0
s5,1,0.609104,0.261481,[25 17] ; [19 10],[26.02816901 15.97183099] ; [17.97183099 11.02816901],0
s6,1,0.632402,0.228817,[42  3] ; [28  3],[41.44736842  3.55263158] ; [28.55263158  2.44736842],0
n1,1,0.639207,0.21978,[4 6] ; [3 7],[3.5 6.5] ; [3.5 6.5],0
v1,1,0.766707,0.088022,[26 20] ; [17 15],[25.35897436 20.64102564] ; [17.64102564 14.35897436],0
r3,1,0.78237,0.076304,[44  2] ; [31  1],[44.23076923  1.76923077] ; [30.76923077  1.23076923],0
u3,1,0.818769,0.0525,[12  4] ; [4 1],[12.19047619  3.80952381] ; [3.80952381 1.19047619],0
u2,1,0.88242,0.021875,[9 7] ; [3 2],[9.14285714 6.85714286] ; [2.85714286 2.14285714],0
p9,1,0.883159,0.021599,[42  4] ; [28  3],[41.81818182  4.18181818] ; [28.18181818  2.81818182],0
s3,1,0.884703,0.021028,[38  8] ; [26  5],[38.23376623  7.76623377] ; [25.76623377  5.23376623],0
p1,1,0.960858,0.002409,[ 7 39] ; [ 5 27],[ 7.07692308 38.92307692] ; [ 4.92307692 27.07692308],0
n2,1,1.0,0.0,[7 3] ; [7 3],[7. 3.] ; [7. 3.],0
