Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.653146,[17  5] ; [14 54],[ 7.57777778 14.42222222] ; [23.42222222 44.57777778],1
p7,1,0.000101,15.122106,[18  3] ; [24 41],[10.25581395 10.74418605] ; [31.74418605 33.25581395],1
s6,1,0.000417,12.453496,[15  7] ; [18 50],[ 8.06666667 13.93333333] ; [24.93333333 43.06666667],1
s3,1,0.002402,9.213728,[13  8] ; [17 49],[ 7.24137931 13.75862069] ; [22.75862069 43.24137931],0
s7,1,0.004026,8.271941,[11 10] ; [13 52],[ 5.86046512 15.13953488] ; [18.13953488 46.86046512],0
s2,1,0.00441,8.106618,[11 11] ; [13 55],[ 5.86666667 16.13333333] ; [18.13333333 49.86666667],0
p8,1,0.005912,7.576874,[13  9] ; [18 49],[ 7.66292135 14.33707865] ; [23.33707865 43.66292135],0
s8,1,0.008711,6.881052,[ 8 14] ; [ 8 60],[ 3.91111111 18.08888889] ; [12.08888889 55.91111111],0
p2,1,0.011927,6.321652,[19  3] ; [38 29],[14.08988764  7.91011236] ; [42.91011236 24.08988764],0
n6,1,0.015889,5.815112,[17  5] ; [31 34],[12.13793103  9.86206897] ; [35.86206897 29.13793103],0
p6,1,0.021629,5.275374,[ 8 13] ; [10 57],[ 4.29545455 16.70454545] ; [13.70454545 53.29545455],0
a6,1,0.027045,4.887967,[14  8] ; [25 43],[ 9.53333333 12.46666667] ; [29.46666667 38.53333333],0
d4,1,0.027509,4.858557,[15  7] ; [28 40],[10.51111111 11.48888889] ; [32.48888889 35.51111111],0
d5,1,0.04863,3.888063,[13  9] ; [24 44],[ 9.04444444 12.95555556] ; [27.95555556 40.04444444],0
p11,1,0.065365,3.395735,[15  7] ; [31 37],[11.24444444 10.75555556] ; [34.75555556 33.24444444],0
r3,1,0.073906,3.194056,[15  7] ; [30 35],[11.37931034 10.62068966] ; [33.62068966 31.37931034],0
s4,1,0.074681,3.177014,[ 7 15] ; [10 58],[ 4.15555556 17.84444444] ; [12.84444444 55.15555556],0
b3,1,0.13062,2.285123,[ 3 12] ; [16 22],[5.37735849 9.62264151] ; [13.62264151 24.37735849],0
b2,1,0.13062,2.285123,[ 3 12] ; [16 22],[5.37735849 9.62264151] ; [13.62264151 24.37735849],0
p9,1,0.133062,2.25641,[16  6] ; [36 30],[13.  9.] ; [39. 27.],0
a5,1,0.140664,2.170684,[12 10] ; [25 43],[ 9.04444444 12.95555556] ; [27.95555556 40.04444444],0
d3,1,0.164422,1.933079,[ 9 13] ; [17 50],[ 6.42696629 15.57303371] ; [19.57303371 47.42696629],0
d2,1,0.176779,1.824495,[ 2 20] ; [15 53],[ 4.15555556 17.84444444] ; [12.84444444 55.15555556],0
n4,1,0.190987,1.70999,[15  7] ; [35 32],[12.35955056  9.64044944] ; [37.64044944 29.35955056],0
n1,1,0.200761,1.636829,[5 3] ; [12 20],[3.4 4.6] ; [13.6 18.4],0
p5,1,0.237256,1.396825,[ 2 20] ; [ 2 64],[ 1. 21.] ; [ 3. 63.],0
b1,1,0.265108,1.241883,[14  8] ; [34 34],[11.73333333 10.26666667] ; [36.26666667 31.73333333],0
v3,1,0.312684,1.019305,[ 5 17] ; [ 9 57],[ 3.5 18.5] ; [10.5 55.5],0
a4,1,0.322981,0.976838,[ 3 19] ; [16 52],[ 4.64444444 17.35555556] ; [14.35555556 53.64444444],0
s5,1,0.34548,0.88999,[ 4 16] ; [ 8 60],[ 2.72727273 17.27272727] ; [ 9.27272727 58.72727273],0
v1,1,0.359381,0.840055,[ 9 13] ; [20 46],[ 7.25 14.75] ; [21.75 44.25],0
r1,1,0.412653,0.671143,[ 4 18] ; [18 49],[ 5.43820225 16.56179775] ; [16.56179775 50.43820225],0
