Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001098,10.654689,[ 7 10] ; [48 11],[12.30263158  4.69736842] ; [42.69736842 16.30263158],0
n6,1,0.005619,7.668513,[11  6] ; [54  5],[14.53947368  2.46052632] ; [50.46052632  8.53947368],0
p4,1,0.015191,5.894182,[ 7 10] ; [43 16],[11.18421053  5.81578947] ; [38.81578947 20.18421053],0
p2,1,0.020893,5.33566,[10  7] ; [50  9],[13.42105263  3.57894737] ; [46.57894737 12.42105263],0
s7,1,0.033268,4.531913,[13  2] ; [33 25],[9.45205479 5.54794521] ; [36.54794521 21.45205479],0
p8,1,0.034167,4.486349,[ 6 11] ; [36 20],[9.78082192 7.21917808] ; [32.21917808 23.78082192],0
u2,1,0.051927,3.778127,[4 3] ; [ 2 11],[2.1 4.9] ; [3.9 9.1],0
p9,1,0.075959,3.149307,[12  4] ; [53  5],[14.05405405  1.94594595] ; [50.94594595  7.05405405],0
p7,1,0.082552,3.013919,[9 8] ; [42 14],[11.87671233  5.12328767] ; [39.12328767 16.87671233],0
n1,1,0.087375,2.922078,[4 2] ; [3 9],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
a3,1,0.114281,2.494004,[10  7] ; [46 13],[12.52631579  4.47368421] ; [43.47368421 15.52631579],0
b5,1,0.158778,1.985822,[13  4] ; [34 25],[10.51315789  6.48684211] ; [36.48684211 22.51315789],0
p1,1,0.172177,1.863882,[ 3 14] ; [ 4 55],[ 1.56578947 15.43421053] ; [ 5.43421053 53.56578947],0
b2,1,0.181746,1.783292,[5 6] ; [ 8 25],[3.25 7.75] ; [ 9.75 23.25],0
b3,1,0.181746,1.783292,[5 6] ; [ 8 25],[3.25 7.75] ; [ 9.75 23.25],0
p3,1,0.247234,1.338868,[8 9] ; [37 22],[10.06578947  6.93421053] ; [34.93421053 24.06578947],0
p11,1,0.26593,1.23762,[11  6] ; [46 13],[12.75  4.25] ; [44.25 14.75],0
b1,1,0.278633,1.173743,[ 5 12] ; [26 33],[ 6.93421053 10.06578947] ; [24.06578947 34.93421053],0
v4,1,0.291585,1.112288,[14  2] ; [56  3],[14.93333333  1.06666667] ; [55.06666667  3.93333333],0
s8,1,0.304406,1.05479,[8 9] ; [36 23],[9.84210526 7.15789474] ; [34.15789474 24.84210526],0
r4,1,0.327653,0.958151,[15  2] ; [56  3],[15.88157895  1.11842105] ; [55.11842105  3.88157895],0
v3,1,0.329513,0.950811,[ 4 13] ; [21 37],[ 5.66666667 11.33333333] ; [19.33333333 38.66666667],0
a7,1,0.33394,0.933558,[10  7] ; [42 17],[11.63157895  5.36842105] ; [40.36842105 18.63157895],0
p10,1,0.362472,0.82931,[13  3] ; [52  6],[14.05405405  1.94594595] ; [50.94594595  7.05405405],0
d5,1,0.388053,0.745035,[16  1] ; [51  8],[14.98684211  2.01315789] ; [52.01315789  6.98684211],0
n2,1,0.422678,0.642857,[4 2] ; [10  2],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
d1,1,0.46773,0.527334,[9 8] ; [37 22],[10.28947368  6.71052632] ; [35.71052632 23.28947368],0
v2,1,0.473666,0.513411,[8 9] ; [33 25],[9.29333333 7.70666667] ; [31.70666667 26.29333333],0
u1,1,0.528412,0.397444,[ 5 12] ; [13 46],[ 4.02631579 12.97368421] ; [13.97368421 45.02631579],0
d4,1,0.537464,0.38026,[13  4] ; [49 10],[13.86842105  3.13157895] ; [48.13157895 10.86842105],0
s3,1,0.53932,0.376802,[11  6] ; [42 16],[12.01333333  4.98666667] ; [40.98666667 17.01333333],0
b4,1,0.601472,0.272782,[8 9] ; [32 27],[8.94736842 8.05263158] ; [31.05263158 27.94736842],0
a5,1,0.63352,0.227318,[12  5] ; [45 14],[12.75  4.25] ; [44.25 14.75],0
a6,1,0.638713,0.22043,[9 8] ; [35 24],[9.84210526 7.15789474] ; [34.15789474 24.84210526],0
s5,1,0.642207,0.215868,[8 7] ; [33 22],[8.78571429 6.21428571] ; [32.21428571 22.78571429],0
s1,1,0.652438,0.20284,[ 1 16] ; [ 2 56],[ 0.68 16.32] ; [ 2.32 55.68],0
r3,1,0.652438,0.20284,[16  1] ; [56  2],[16.32  0.68] ; [55.68  2.32],0
a4,1,0.690223,0.158844,[9 8] ; [28 31],[8.27631579 8.72368421] ; [28.72368421 30.27631579],0
s6,1,0.718423,0.130009,[12  3] ; [47  9],[12.46478873  2.53521127] ; [46.53521127  9.46478873],0
n3,1,0.73244,0.116883,[4 2] ; [7 5],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
p6,1,0.746655,0.104363,[ 7 10] ; [26 31],[7.58108108 9.41891892] ; [25.41891892 31.58108108],0
d3,1,0.767148,0.08768,[13  4] ; [43 16],[12.52631579  4.47368421] ; [43.47368421 15.52631579],0
a2,1,0.776184,0.080824,[ 4 13] ; [12 47],[ 3.57894737 13.42105263] ; [12.42105263 46.57894737],0
r1,1,0.776184,0.080824,[13  4] ; [47 12],[13.42105263  3.57894737] ; [46.57894737 12.42105263],0
d2,1,0.879049,0.023157,[8 9] ; [29 30],[8.27631579 8.72368421] ; [28.72368421 30.27631579],0
r2,1,0.896754,0.016838,[16  1] ; [56  3],[16.10526316  0.89473684] ; [55.89473684  3.10526316],0
s2,1,0.944287,0.004884,[12  4] ; [43 15],[11.89189189  4.10810811] ; [43.10810811 14.89189189],0
