Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000152,14.349825,[ 5 39] ; [8 5],[10.03508772 33.96491228] ; [ 2.96491228 10.03508772],1
p7,1,0.000279,13.203264,[13 30] ; [12  2],[18.85964912 24.14035088] ; [6.14035088 7.85964912],1
s6,1,0.003264,8.653457,[10 35] ; [9 5],[14.49152542 30.50847458] ; [4.50847458 9.49152542],0
p11,1,0.005954,7.564223,[11 34] ; [9 5],[15.25423729 29.74576271] ; [4.74576271 9.25423729],0
r3,1,0.011763,6.346218,[15 30] ; [10  4],[19.06779661 25.93220339] ; [5.93220339 8.06779661],0
u3,1,0.019437,5.461806,[ 3 15] ; [5 3],[ 5.53846154 12.46153846] ; [2.46153846 5.53846154],0
s2,1,0.027449,4.862355,[ 9 36] ; [7 7],[12.20338983 32.79661017] ; [ 3.79661017 10.20338983],0
p2,1,0.030803,4.663915,[16 29] ; [9 4],[19.39655172 25.60344828] ; [5.60344828 7.39655172],0
b2,1,0.055571,3.664855,[11 14] ; [1 9],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
b3,1,0.055571,3.664855,[11 14] ; [1 9],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
b5,1,0.056258,3.644415,[19 26] ; [10  4],[22.11864407 22.88135593] ; [6.88135593 7.11864407],0
p5,1,0.059094,3.562621,[ 1 44] ; [ 2 11],[ 2.32758621 42.67241379] ; [ 0.67241379 12.32758621],0
s8,1,0.060291,3.52935,[ 4 41] ; [ 4 10],[ 6.10169492 38.89830508] ; [ 1.89830508 12.10169492],0
s3,1,0.066138,3.376372,[16 28] ; [9 5],[18.96551724 25.03448276] ; [6.03448276 7.96551724],0
n4,1,0.077769,3.110929,[25 20] ; [ 4 10],[22.11864407 22.88135593] ; [6.88135593 7.11864407],0
d2,1,0.09318,2.818554,[21 24] ; [ 3 11],[18.30508475 26.69491525] ; [5.69491525 8.30508475],0
