Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.247444,[94 12] ; [3 6],[89.40869565 16.59130435] ; [7.59130435 1.40869565],1
p12,1,0.000141,14.487545,[  1 103] ; [2 7],[  2.76106195 101.23893805] ; [0.23893805 8.76106195],1
r1,1,0.00038,12.628971,[81 24] ; [2 7],[76.44736842 28.55263158] ; [6.55263158 2.44736842],1
r3,1,0.001197,10.495448,[101   5] ; [6 3],[98.62608696  7.37391304] ; [8.37391304 0.62608696],0
v4,1,0.001245,10.421947,[95  9] ; [5 4],[92.03539823 11.96460177] ; [7.96460177 1.03539823],0
s1,1,0.001569,9.995932,[  2 102] ; [2 7],[  3.68141593 100.31858407] ; [0.31858407 8.68141593],0
p10,1,0.00248,9.155593,[75 30] ; [2 7],[70.92105263 34.07894737] ; [6.07894737 2.92105263],0
a8,1,0.007504,7.148126,[ 8 93] ; [3 5],[10.19266055 90.80733945] ; [0.80733945 7.19266055],0
n6,1,0.044016,4.055944,[80 26] ; [4 5],[77.42608696 28.57391304] ; [6.57391304 2.42608696],0
p2,1,0.04432,4.044328,[88 18] ; [5 4],[85.72173913 20.27826087] ; [7.27826087 1.72173913],0
b1,1,0.088961,2.893082,[40 66] ; [6 3],[42.4 63.6] ; [3.6 5.4],0
d1,1,0.148821,2.084296,[50 56] ; [2 7],[47.93043478 58.06956522] ; [4.06956522 4.93043478],0
s8,1,0.173615,1.851452,[35 71] ; [1 8],[33.1826087 72.8173913] ; [2.8173913 6.1826087],0
p4,1,0.18641,1.745764,[46 59] ; [6 3],[47.89473684 57.10526316] ; [4.10526316 4.89473684],0
s7,1,0.217162,1.523027,[34 67] ; [1 7],[32.43119266 68.56880734] ; [2.56880734 5.43119266],0
n4,1,0.218138,1.516581,[79 27] ; [5 4],[77.42608696 28.57391304] ; [6.57391304 2.42608696],0
b2,1,0.237926,1.392838,[22 38] ; [1 6],[20.59701493 39.40298507] ; [2.40298507 4.59701493],0
b3,1,0.237926,1.392838,[22 38] ; [1 6],[20.59701493 39.40298507] ; [2.40298507 4.59701493],0
