Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-05,19.544935,[55 37] ; [ 4 26],[44.49180328 47.50819672] ; [14.50819672 15.49180328],1
a4,1,0.000674,11.560441,[44 47] ; [ 4 26],[36.09917355 54.90082645] ; [11.90082645 18.09917355],1
d1,1,0.00456,8.046118,[55 37] ; [ 9 21],[48.26229508 43.73770492] ; [15.73770492 14.26229508],0
p9,1,0.014216,6.011132,[78 12] ; [20 10],[73.5 16.5] ; [24.5  5.5],0
b5,1,0.020861,5.338359,[53 39] ; [10 20],[47.50819672 44.49180328] ; [15.49180328 14.50819672],0
r1,1,0.027211,4.877381,[76 16] ; [19 11],[71.63934426 20.36065574] ; [23.36065574  6.63934426],0
n5,1,0.041133,4.170547,[70 22] ; [17 13],[65.60655738 26.39344262] ; [21.39344262  8.60655738],0
a3,1,0.071072,3.258095,[75 17] ; [19 10],[71.47107438 20.52892562] ; [22.52892562  6.47107438],0
p6,1,0.109269,2.564758,[32 60] ; [14 13],[35.56302521 56.43697479] ; [10.43697479 16.56302521],0
p10,1,0.1392,2.186779,[77 14] ; [21  8],[74.31666667 16.68333333] ; [23.68333333  5.31666667],0
d3,1,0.14679,2.105292,[68 24] ; [18 12],[64.85245902 27.14754098] ; [21.14754098  8.85245902],0
d5,1,0.180822,1.790855,[75 17] ; [21  9],[72.39344262 19.60655738] ; [23.60655738  6.39344262],0
a6,1,0.184461,1.761313,[67 25] ; [18 12],[64.09836066 27.90163934] ; [20.90163934  9.09836066],0
p5,1,0.228126,1.452506,[18 74] ; [ 3 27],[15.83606557 76.16393443] ; [ 5.16393443 24.83606557],0
p1,1,0.263463,1.250468,[ 9 83] ; [ 1 29],[ 7.54098361 84.45901639] ; [ 2.45901639 27.54098361],0
n4,1,0.29037,1.117903,[73 19] ; [21  9],[70.8852459 21.1147541] ; [23.1147541  6.8852459],0
v2,1,0.29173,1.111622,[51 40] ; [13 16],[48.53333333 42.46666667] ; [15.46666667 13.53333333],0
p12,1,0.317068,1.001001,[ 8 82] ; [ 1 29],[ 6.75 83.25] ; [ 2.25 27.75],0
r2,1,0.330741,0.945996,[83  7] ; [25  4],[81.68067227  8.31932773] ; [26.31932773  2.68067227],0
p11,1,0.3346,0.931013,[75 17] ; [22  8],[73.14754098 18.85245902] ; [23.85245902  6.14754098],0
s3,1,0.339443,0.912533,[25 66] ; [11 19],[27.07438017 63.92561983] ; [ 8.92561983 21.07438017],0
s8,1,0.371693,0.797997,[51 40] ; [14 16],[48.88429752 42.11570248] ; [16.11570248 13.88429752],0
u3,1,0.3869,0.748663,[12  5] ; [6 5],[10.92857143  6.07142857] ; [7.07142857 3.92857143],0
s1,1,0.400114,0.707983,[ 1 91] ; [ 1 29],[ 1.50819672 90.49180328] ; [ 0.49180328 29.50819672],0
n2,1,0.405521,0.691893,[20  7] ; [6 4],[18.97297297  8.02702703] ; [7.02702703 2.97297297],0
b4,1,0.455071,0.55799,[48 44] ; [18 12],[49.7704918 42.2295082] ; [16.2295082 13.7704918],0
v3,1,0.486395,0.48449,[38 51] ; [15 15],[39.63865546 49.36134454] ; [13.36134454 16.63865546],0
r3,1,0.526798,0.400564,[86  6] ; [27  3],[85.21311475  6.78688525] ; [27.78688525  2.21311475],0
p7,1,0.578456,0.308737,[58 32] ; [21  9],[59.25 30.75] ; [19.75 10.25],0
