Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.6e-05,18.559952,[105  39] ; [12 23],[94.12290503 49.87709497] ; [22.87709497 12.12290503],1
n6,1,0.0004,12.530663,[133  11] ; [24 10],[127.01123596  16.98876404] ; [29.98876404  4.01123596],1
p10,1,0.001819,9.723413,[137   9] ; [26  8],[132.21111111  13.78888889] ; [30.78888889  3.21111111],0
p7,1,0.002048,9.506349,[116  26] ; [20 15],[109.10734463  32.89265537] ; [26.89265537  8.10734463],0
n5,1,0.00903,6.816946,[126  19] ; [24 11],[120.83333333  24.16666667] ; [29.16666667  5.83333333],0
b1,1,0.009262,6.771586,[51 96] ; [21 15],[57.83606557 89.16393443] ; [14.16393443 21.83606557],0
n4,1,0.012824,6.193292,[126  21] ; [23 11],[121.01104972  25.98895028] ; [27.98895028  6.01104972],0
b2,1,0.014339,5.995925,[51 44] ; [ 4 14],[46.23893805 48.76106195] ; [8.76106195 9.23893805],0
b3,1,0.014339,5.995925,[51 44] ; [ 4 14],[46.23893805 48.76106195] ; [8.76106195 9.23893805],0
p9,1,0.021172,5.312566,[137   8] ; [29  6],[133.72222222  11.27777778] ; [32.27777778  2.72222222],0
p6,1,0.041657,4.149076,[80 62] ; [13 22],[74.61016949 67.38983051] ; [18.38983051 16.61016949],0
b5,1,0.044472,4.038546,[79 68] ; [26 10],[84.3442623 62.6557377] ; [20.6557377 15.3442623],0
u3,1,0.053239,3.736413,[19  4] ; [5 5],[16.72727273  6.27272727] ; [7.27272727 2.72727273],0
a5,1,0.069713,3.289756,[125  22] ; [26 10],[121.29508197  25.70491803] ; [29.70491803  6.29508197],0
a8,1,0.070868,3.26281,[ 17 120] ; [ 8 24],[ 20.26627219 116.73372781] ; [ 4.73372781 27.26627219],0
a3,1,0.072786,3.21905,[124  22] ; [26 10],[120.32967033  25.67032967] ; [29.67032967  6.32967033],0
p3,1,0.075839,3.151899,[94 51] ; [17 18],[89.41666667 55.58333333] ; [21.58333333 13.41666667],0
r1,1,0.084197,2.981963,[129  17] ; [27  8],[125.83425414  20.16574586] ; [30.16574586  4.83425414],0
r4,1,0.096279,2.76612,[141   6] ; [32  4],[138.96721311   8.03278689] ; [34.03278689  1.96721311],0
p5,1,0.106992,2.5981,[ 40 106] ; [ 5 30],[ 36.29834254 109.70165746] ; [ 8.70165746 26.29834254],0
p4,1,0.111641,2.530834,[106  38] ; [21 14],[102.16759777  41.83240223] ; [24.83240223 10.16759777],0
r3,1,0.115603,2.475902,[143   4] ; [33  3],[141.37704918   5.62295082] ; [34.62295082  1.37704918],0
d4,1,0.12252,2.384802,[136   9] ; [31  5],[133.78453039  11.21546961] ; [33.21546961  2.78453039],0
d1,1,0.197089,1.663813,[106  41] ; [22 14],[102.81967213  44.18032787] ; [25.18032787 10.81967213],0
v2,1,0.213781,1.545635,[99 44] ; [21 15],[95.86592179 47.13407821] ; [24.13407821 11.86592179],0
p12,1,0.27658,1.183818,[ 23 123] ; [ 3 32],[ 20.97237569 125.02762431] ; [ 5.02762431 29.97237569],0
d3,1,0.29216,1.109639,[105  41] ; [29  7],[107.49450549  38.50549451] ; [26.50549451  9.49450549],0
n1,1,0.294859,1.097304,[15 10] ; [5 7],[13.51351351 11.48648649] ; [6.48648649 5.51351351],0
a1,1,0.306697,1.044847,[ 11 136] ; [ 1 35],[  9.63934426 137.36065574] ; [ 2.36065574 33.63934426],0
a7,1,0.335482,0.927621,[98 49] ; [27  9],[100.40983607  46.59016393] ; [24.59016393 11.40983607],0
u1,1,0.353724,0.860052,[ 34 113] ; [11 25],[ 36.14754098 110.85245902] ; [ 8.85245902 27.14754098],0
d2,1,0.387651,0.746297,[77 68] ; [22 14],[79.30939227 65.69060773] ; [19.69060773 16.30939227],0
p2,1,0.450706,0.568875,[128  18] ; [29  6],[126.64088398  19.35911602] ; [30.35911602  4.64088398],0
s2,1,0.530291,0.393835,[114  31] ; [30  6],[115.35911602  29.64088398] ; [28.64088398  7.35911602],0
s3,1,0.542405,0.3711,[105  36] ; [25 11],[103.55932203  37.44067797] ; [26.44067797  9.55932203],0
b4,1,0.545941,0.364638,[90 57] ; [24 12],[91.57377049 55.42622951] ; [22.42622951 13.57377049],0
v4,1,0.55637,0.346029,[143   2] ; [35  1],[142.59668508   2.40331492] ; [35.40331492  0.59668508],0
a6,1,0.557674,0.343747,[89 56] ; [24 12],[90.52486188 54.47513812] ; [22.47513812 13.52486188],0
a2,1,0.574479,0.315245,[ 42 105] ; [12 24],[ 43.37704918 103.62295082] ; [10.62295082 25.37704918],0
s6,1,0.639115,0.219901,[124  21] ; [31  4],[124.86111111  20.13888889] ; [30.13888889  4.86111111],0
s8,1,0.655473,0.199069,[95 50] ; [25 11],[96.13259669 48.86740331] ; [23.86740331 12.13259669],0
r2,1,0.709768,0.138508,[140   6] ; [35  1],[140.38461538   5.61538462] ; [34.61538462  1.38461538],0
s4,1,0.72226,0.126338,[ 32 112] ; [ 9 27],[ 32.8 111.2] ; [ 8.2 27.8],0
u2,1,0.729507,0.119565,[13 10] ; [5 5],[12.54545455 10.45454545] ; [5.45454545 4.54545455],0
n2,1,0.736692,0.113056,[22  3] ; [11  1],[22.2972973  2.7027027] ; [10.7027027  1.2972973],0
s7,1,0.744264,0.106414,[94 49] ; [22 10],[94.78857143 48.21142857] ; [21.21142857 10.78857143],0
u4,1,0.786365,0.073459,[  3 144] ; [ 1 35],[  3.21311475 143.78688525] ; [ 0.78688525 35.21311475],0
v3,1,0.853031,0.034318,[75 70] ; [18 18],[74.50276243 70.49723757] ; [18.49723757 17.50276243],0
n3,1,0.873624,0.025299,[16  9] ; [8 4],[16.21621622  8.78378378] ; [7.78378378 4.21621622],0
d5,1,0.893201,0.018024,[130  15] ; [32  4],[129.77900552  15.22099448] ; [32.22099448  3.77900552],0
p1,1,0.916318,0.01104,[ 20 127] ; [ 5 30],[ 20.19230769 126.80769231] ; [ 4.80769231 30.19230769],0
s1,1,0.958637,0.00269,[  4 140] ; [ 1 33],[  4.04494382 139.95505618] ; [ 0.95505618 33.04494382],0
a4,1,0.975636,0.000933,[78 69] ; [19 17],[77.91803279 69.08196721] ; [19.08196721 16.91803279],0
