Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,34.439652,[ 32 119] ; [121 116],[59.54381443 91.45618557] ; [ 93.45618557 143.54381443],1
r4,1,2e-05,18.161699,[102  49] ; [204  34],[118.781491  32.218509] ; [187.218509  50.781491],1
a6,1,2.2e-05,17.982259,[66 85] ; [156  82],[86.1748072 64.8251928] ; [135.8251928 102.1748072],1
r3,1,2.8e-05,17.527226,[120  31] ; [220  15],[133.00518135  17.99481865] ; [206.99481865  28.00518135],1
p2,1,0.001291,10.355874,[100  50] ; [193  45],[113.27319588  36.72680412] ; [179.72680412  58.27319588],0
d5,1,0.00424,8.178114,[69 82] ; [144  94],[82.68123393 68.31876607] ; [130.31876607 107.68123393],0
r1,1,0.006432,7.425064,[90 61] ; [172  64],[102.22739018  48.77260982] ; [159.77260982  76.22739018],0
u3,1,0.006792,7.32729,[25 44] ; [59 44],[33.69767442 35.30232558] ; [50.30232558 52.69767442],0
b5,1,0.00728,7.202537,[75 76] ; [151  87],[87.72750643 63.27249357] ; [138.27249357  99.72750643],0
r2,1,0.008082,7.01511,[122  28] ; [213  22],[130.51948052  19.48051948] ; [204.48051948  30.51948052],0
b3,1,0.023415,5.137446,[38 56] ; [31 89],[30.30841121 63.69158879] ; [38.69158879 81.30841121],0
b2,1,0.023415,5.137446,[38 56] ; [31 89],[30.30841121 63.69158879] ; [38.69158879 81.30841121],0
v4,1,0.023572,5.125815,[126  23] ; [217  19],[132.74545455  16.25454545] ; [210.25454545  25.74545455],0
p9,1,0.024661,5.047518,[101  48] ; [182  51],[110.38481675  38.61518325] ; [172.61518325  60.38481675],0
p10,1,0.02608,4.950707,[94 55] ; [172  61],[103.7539267  45.2460733] ; [162.2460733  70.7539267],0
d4,1,0.039825,4.225323,[76 75] ; [145  93],[85.78663239 65.21336761] ; [135.21336761 102.78663239],0
a1,1,0.046882,3.949618,[ 11 140] ; [  7 231],[  6.98714653 144.01285347] ; [ 11.01285347 226.98714653],0
v2,1,0.057788,3.59977,[54 89] ; [109 119],[62.82749326 80.17250674] ; [100.17250674 127.82749326],0
s6,1,0.059366,3.555018,[74 74] ; [140  94],[82.91099476 65.08900524] ; [131.08900524 102.91099476],0
p12,1,0.087914,2.912168,[  8 142] ; [  5 231],[  5.05181347 144.94818653] ; [  7.94818653 228.05181347],0
p8,1,0.0916,2.846026,[54 96] ; [105 130],[61.94805195 88.05194805] ; [ 97.05194805 137.94805195],0
