Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.1e-05,19.314954,[90  6] ; [43 21],[79.8 16.2] ; [53.2 10.8],1
r3,1,1.1e-05,19.285714,[93  3] ; [47 17],[84. 12.] ; [56.  8.],1
p9,1,0.000695,11.502471,[45 48] ; [13 48],[35.02597403 57.97402597] ; [22.97402597 38.02597403],1
p7,1,0.000784,11.277834,[48 47] ; [15 48],[37.87974684 57.12025316] ; [25.12025316 37.87974684],1
p8,1,0.001263,10.395616,[39 55] ; [11 53],[29.74683544 64.25316456] ; [20.25316456 43.74683544],0
r4,1,0.001478,10.105896,[80 16] ; [39 25],[71.4 24.6] ; [47.6 16.4],0
r1,1,0.00248,9.155481,[76 19] ; [37 27],[67.51572327 27.48427673] ; [45.48427673 18.51572327],0
a7,1,0.002899,8.869701,[74 22] ; [35 29],[65.4 30.6] ; [43.6 20.4],0
p4,1,0.003865,8.346266,[47 48] ; [17 47],[38.23899371 56.76100629] ; [25.76100629 38.23899371],0
s3,1,0.009916,6.650012,[51 43] ; [21 42],[43.10828025 50.89171975] ; [28.89171975 34.10828025],0
a6,1,0.011565,6.376332,[67 29] ; [32 32],[59.4 36.6] ; [39.6 24.4],0
r2,1,0.012185,6.283759,[89  6] ; [50 12],[84.10828025 10.89171975] ; [54.89171975  7.10828025],0
p11,1,0.014164,6.017607,[55 41] ; [24 40],[47.4 48.6] ; [31.6 32.4],0
p3,1,0.031059,4.649708,[37 59] ; [14 49],[30.79245283 65.20754717] ; [20.20754717 42.79245283],0
s8,1,0.034547,4.467426,[31 64] ; [11 52],[25.25316456 69.74683544] ; [16.74683544 46.25316456],0
d3,1,0.036714,4.363636,[72 24] ; [38 26],[66. 30.] ; [44. 20.],0
s7,1,0.037286,4.337294,[40 51] ; [16 43],[33.97333333 57.02666667] ; [22.02666667 36.97333333],0
p6,1,0.038457,4.284684,[28 64] ; [10 53],[22.55483871 69.44516129] ; [15.44516129 47.55483871],0
s1,1,0.039731,4.229326,[ 2 93] ; [ 6 58],[ 4.77987421 90.22012579] ; [ 3.22012579 60.77987421],0
v1,1,0.079426,3.076606,[43 51] ; [20 43],[37.71974522 56.28025478] ; [25.28025478 37.71974522],0
b5,1,0.095581,2.777778,[65 31] ; [35 29],[60. 36.] ; [40. 24.],0
s6,1,0.097365,2.748181,[55 40] ; [28 35],[49.90506329 45.09493671] ; [33.09493671 29.90506329],0
s2,1,0.100748,2.693667,[40 54] ; [19 45],[35.10126582 58.89873418] ; [23.89873418 40.10126582],0
b1,1,0.121219,2.401501,[42 54] ; [36 28],[46.8 49.2] ; [31.2 32.8],0
n4,1,0.139213,2.186636,[63 32] ; [35 29],[58.55345912 36.44654088] ; [39.44654088 24.55345912],0
n3,1,0.143126,2.144022,[22 11] ; [14 15],[19.16129032 13.83870968] ; [16.83870968 12.16129032],0
v2,1,0.161083,1.964034,[48 46] ; [25 38],[43.70700637 50.29299363] ; [29.29299363 33.70700637],0
u4,1,0.174128,1.847042,[ 2 94] ; [ 4 60],[ 3.6 92.4] ; [ 2.4 61.6],0
a8,1,0.183369,1.770108,[11 72] ; [ 4 58],[ 8.5862069 74.4137931] ; [ 6.4137931 55.5862069],0
u2,1,0.254451,1.298701,[12 16] ; [13  9],[14. 14.] ; [11. 11.],0
d2,1,0.307003,1.043525,[50 46] ; [38 25],[53.13207547 42.86792453] ; [34.86792453 28.13207547],0
n2,1,0.324974,0.968822,[22 10] ; [17 13],[20.12903226 11.87096774] ; [18.87096774 11.12903226],0
u1,1,0.350122,0.873016,[19 77] ; [ 9 55],[16.8 79.2] ; [11.2 52.8],0
a2,1,0.353679,0.860215,[24 72] ; [12 52],[21.6 74.4] ; [14.4 49.6],0
b3,1,0.408873,0.682075,[19 41] ; [17 26],[20.97087379 39.02912621] ; [15.02912621 27.97087379],0
b2,1,0.408873,0.682075,[19 41] ; [17 26],[20.97087379 39.02912621] ; [15.02912621 27.97087379],0
v3,1,0.429846,0.62324,[24 67] ; [20 42],[26.16993464 64.83006536] ; [17.83006536 44.16993464],0
a3,1,0.475684,0.508743,[66 29] ; [41 23],[63.93081761 31.06918239] ; [43.06918239 20.93081761],0
a1,1,0.504985,0.444444,[ 5 91] ; [ 5 59],[ 6. 90.] ; [ 4. 60.],0
s5,1,0.525868,0.40237,[21 69] ; [12 51],[19.41176471 70.58823529] ; [13.58823529 49.41176471],0
b4,1,0.55216,0.353461,[60 36] ; [37 27],[58.2 37.8] ; [38.8 25.2],0
u3,1,0.568849,0.324612,[18 12] ; [12 11],[16.98113208 13.01886792] ; [13.01886792  9.98113208],0
n5,1,0.603903,0.26915,[50 45] ; [31 33],[48.39622642 46.60377358] ; [32.60377358 31.39622642],0
d5,1,0.605125,0.267335,[81 15] ; [52 12],[79.8 16.2] ; [53.2 10.8],0
n6,1,0.614962,0.253012,[64 31] ; [40 23],[62.53164557 32.46835443] ; [41.46835443 21.53164557],0
p1,1,0.651702,0.203761,[ 6 88] ; [ 3 61],[ 5.35443038 88.64556962] ; [ 3.64556962 60.35443038],0
p5,1,0.734034,0.11544,[ 4 92] ; [ 2 62],[ 3.6 92.4] ; [ 2.4 61.6],0
a4,1,0.825251,0.048751,[44 52] ; [30 33],[44.67924528 51.32075472] ; [29.32075472 33.67924528],0
a5,1,0.837756,0.041929,[63 33] ; [43 21],[63.6 32.4] ; [42.4 21.6],0
n1,1,0.877874,0.023613,[13 18] ; [12 18],[12.70491803 18.29508197] ; [12.29508197 17.70491803],0
s4,1,0.915912,0.011148,[14 80] ; [ 9 54],[13.77070064 80.22929936] ; [ 9.22929936 53.77070064],0
d1,1,0.947331,0.004364,[58 38] ; [39 25],[58.2 37.8] ; [38.8 25.2],0
