Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.218633,[109   8] ; [17 16],[98.28 18.72] ; [27.72  5.28],1
n4,1,0.000855,11.117856,[83 34] ; [13 20],[74.88 42.12] ; [21.12 11.88],1
r2,1,0.000857,11.113152,[111   6] ; [25  8],[106.08  10.92] ; [29.92  3.08],1
a5,1,0.003219,8.678711,[76 41] ; [12 21],[68.64 48.36] ; [19.36 13.64],0
n5,1,0.041776,4.144253,[66 51] ; [12 21],[60.84 56.16] ; [17.16 15.84],0
s4,1,0.042984,4.09604,[ 12 102] ; [ 8 25],[15.51020408 98.48979592] ; [ 4.48979592 28.51020408],0
b4,1,0.070125,3.280091,[77 40] ; [16 17],[72.54 44.46] ; [20.46 12.54],0
p6,1,0.071571,3.246617,[22 92] ; [11 21],[25.76712329 88.23287671] ; [ 7.23287671 24.76712329],0
a4,1,0.074094,3.189907,[44 72] ; [ 7 26],[39.70469799 76.29530201] ; [11.29530201 21.70469799],0
u1,1,0.136678,2.214968,[19 98] ; [ 2 31],[ 16.38 100.62] ; [ 4.62 28.38],0
a8,1,0.146204,2.111417,[12 92] ; [ 1 32],[ 9.86861314 94.13138686] ; [ 3.13138686 29.86861314],0
a2,1,0.156685,2.005935,[23 94] ; [ 3 30],[20.28 96.72] ; [ 5.72 27.28],0
d2,1,0.227545,1.45614,[60 57] ; [13 20],[56.94 60.06] ; [16.06 16.94],0
u3,1,0.244493,1.354497,[29 19] ; [7 9],[27. 21.] ; [9. 7.],0
p2,1,0.274788,1.19269,[76 41] ; [18 15],[73.32 43.68] ; [20.68 12.32],0
d5,1,0.276839,1.182543,[89 28] ; [22 11],[86.58 30.42] ; [24.42  8.58],0
v4,1,0.278708,1.173381,[105  10] ; [28  5],[103.34459459  11.65540541] ; [29.65540541  3.34459459],0
s3,1,0.281767,1.158546,[58 58] ; [13 20],[55.27516779 60.72483221] ; [15.72483221 17.27516779],0
p7,1,0.28212,1.156847,[54 61] ; [19 14],[56.72297297 58.27702703] ; [16.27702703 16.72297297],0
d1,1,0.300997,1.069772,[58 59] ; [13 20],[55.38 61.62] ; [15.62 17.38],0
v1,1,0.302337,1.063858,[47 70] ; [10 23],[44.46 72.54] ; [12.54 20.46],0
v3,1,0.307206,1.04265,[38 75] ; [ 8 25],[35.60273973 77.39726027] ; [10.39726027 22.60273973],0
s6,1,0.323445,0.974967,[60 55] ; [14 19],[57.5 57.5] ; [16.5 16.5],0
b3,1,0.333707,0.934458,[20 52] ; [ 3 15],[18.4 53.6] ; [ 4.6 13.4],0
b2,1,0.333707,0.934458,[20 52] ; [ 3 15],[18.4 53.6] ; [ 4.6 13.4],0
p1,1,0.33816,0.917396,[  9 107] ; [ 1 32],[  7.7852349 108.2147651] ; [ 2.2147651 30.7852349],0
d4,1,0.350219,0.872664,[90 26] ; [23 10],[87.97315436 28.02684564] ; [25.02684564  7.97315436],0
p11,1,0.370241,0.802857,[67 50] ; [16 17],[64.74 52.26] ; [18.26 14.74],0
u2,1,0.37365,0.791489,[25 22] ; [6 9],[23.5 23.5] ; [7.5 7.5],0
s7,1,0.427082,0.630745,[36 72] ; [ 8 23],[34.18705036 73.81294964] ; [ 9.81294964 21.18705036],0
a3,1,0.44418,0.585461,[69 48] ; [17 16],[67.08 49.92] ; [18.92 14.08],0
p10,1,0.447109,0.577971,[32 83] ; [ 7 26],[30.30405405 84.69594595] ; [ 8.69594595 24.30405405],0
a7,1,0.458915,0.54854,[79 38] ; [20 13],[77.22 39.78] ; [21.78 11.22],0
s1,1,0.505083,0.44424,[  7 109] ; [ 3 29],[  7.83783784 108.16216216] ; [ 2.16216216 29.83783784],0
p8,1,0.518217,0.41744,[39 78] ; [13 20],[40.56 76.44] ; [11.44 21.56],0
n2,1,0.552821,0.352288,[22 11] ; [12  4],[22.89795918 10.10204082] ; [11.10204082  4.89795918],0
s5,1,0.55711,0.344733,[24 91] ; [ 5 26],[22.84246575 92.15753425] ; [ 6.15753425 24.84246575],0
p4,1,0.582926,0.301527,[50 66] ; [16 17],[51.38255034 64.61744966] ; [14.61744966 18.38255034],0
n1,1,0.606153,0.265815,[12 21] ; [ 4 10],[11.23404255 21.76595745] ; [4.76595745 9.23404255],0
s2,1,0.645336,0.211831,[43 71] ; [11 22],[41.87755102 72.12244898] ; [12.12244898 20.87755102],0
b5,1,0.71389,0.134422,[68 49] ; [18 15],[67.08 49.92] ; [18.92 14.08],0
d3,1,0.747551,0.1036,[71 46] ; [19 14],[70.2 46.8] ; [19.8 13.2],0
a1,1,0.747551,0.1036,[  5 112] ; [ 1 32],[  4.68 112.32] ; [ 1.32 31.68],0
n6,1,0.81295,0.05599,[79 38] ; [23 10],[79.56 37.44] ; [22.44 10.56],0
n3,1,0.831013,0.045541,[21 11] ; [10  6],[20.66666667 11.33333333] ; [10.33333333  5.66666667],0
b1,1,0.836416,0.042634,[65 52] ; [19 14],[65.52 51.48] ; [18.48 14.52],0
s8,1,0.909225,0.013,[29 86] ; [ 8 25],[28.75 86.25] ; [ 8.25 24.75],0
v2,1,0.973932,0.001068,[51 62] ; [15 18],[51.08219178 61.91780822] ; [14.91780822 18.08219178],0
p3,1,0.99094,0.000129,[40 76] ; [11 21],[39.97297297 76.02702703] ; [11.02702703 20.97297297],0
a6,1,0.993561,6.5e-05,[71 46] ; [20 13],[70.98 46.02] ; [20.02 12.98],0
