Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,3.5e-05,17.136943,[ 14 464] ; [2 4],[ 15.80165289 462.19834711] ; [0.19834711 5.80165289],1
a8,1,0.007698,7.102315,[ 58 374] ; [2 1],[ 59.5862069 372.4137931] ; [0.4137931 2.5862069],0
b3,1,0.024805,5.037475,[113 183] ; [5 1],[115.65562914 180.34437086] ; [2.34437086 3.65562914],0
b2,1,0.024805,5.037475,[113 183] ; [5 1],[115.65562914 180.34437086] ; [2.34437086 3.65562914],0
p5,1,0.035836,4.404869,[ 50 422] ; [2 3],[ 51.45492662 420.54507338] ; [0.54507338 4.45492662],0
s8,1,0.041743,4.145597,[199 275] ; [5 1],[201.45 272.55] ; [2.55 3.45],0
d2,1,0.056075,3.649835,[210 264] ; [5 1],[212.3125 261.6875] ; [2.6875 3.3125],0
a2,1,0.068015,3.330277,[ 95 383] ; [3 3],[ 96.78512397 381.21487603] ; [1.21487603 4.78512397],0
s7,1,0.080841,3.047917,[218 241] ; [5 1],[220.12258065 238.87741935] ; [2.87741935 3.12258065],0
s3,1,0.151474,2.05734,[251 214] ; [5 1],[252.7388535 212.2611465] ; [3.2611465 2.7388535],0
a4,1,0.188073,1.73265,[191 285] ; [4 2],[192.57261411 283.42738589] ; [2.42738589 3.57261411],0
d1,1,0.20339,1.617862,[275 203] ; [5 1],[276.52892562 201.47107438] ; [3.47107438 2.52892562],0
p4,1,0.224699,1.474107,[277 194] ; [5 1],[278.45283019 192.54716981] ; [3.54716981 2.45283019],0
u1,1,0.273107,1.201075,[ 79 399] ; [2 4],[ 79.99586777 398.00413223] ; [1.00413223 4.99586777],0
p7,1,0.303902,1.056991,[289 170] ; [5 1],[290.20645161 168.79354839] ; [3.79354839 2.20645161],0
p3,1,0.315544,1.007328,[219 256] ; [4 2],[220.21829522 254.78170478] ; [2.78170478 3.21829522],0
s2,1,0.379531,0.77222,[229 242] ; [4 2],[230.06918239 240.93081761] ; [2.93081761 3.06918239],0
p6,1,0.403952,0.696531,[158 310] ; [3 3],[158.96202532 309.03797468] ; [2.03797468 3.96202532],0
p8,1,0.534877,0.385118,[252 215] ; [4 2],[252.75264271 214.24735729] ; [3.24735729 2.75264271],0
p12,1,0.556059,0.346574,[ 45 427] ; [1 5],[ 45.42259414 426.57740586] ; [0.57740586 5.42259414],0
a7,1,0.658614,0.195212,[355 121] ; [4 2],[354.53112033 121.46887967] ; [4.46887967 1.53112033],0
n4,1,0.709529,0.138748,[366 110] ; [5 1],[366.38174274 109.61825726] ; [4.61825726 1.38174274],0
b4,1,0.749549,0.10191,[288 190] ; [4 2],[288.38016529 189.61983471] ; [3.61983471 2.38016529],0
b5,1,0.764972,0.089376,[290 188] ; [4 2],[290.3553719 187.6446281] ; [3.6446281 2.3553719],0
r1,1,0.822386,0.05039,[379  97] ; [5 1],[379.21991701  96.78008299] ; [4.78008299 1.21991701],0
a6,1,0.861322,0.030517,[333 143] ; [4 2],[332.80497925 143.19502075] ; [4.19502075 1.80497925],0
d5,1,0.891007,0.018777,[387  90] ; [5 1],[387.13043478  89.86956522] ; [4.86956522 1.13043478],0
s5,1,0.961554,0.002324,[158 303] ; [2 4],[157.94432548 303.05567452] ; [2.05567452 3.94432548],0
