Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.0176,5.635544,[24 16] ; [11 23],[18.91891892 21.08108108] ; [16.08108108 17.91891892],0
p2,1,0.393649,0.727641,[27 13] ; [26  8],[28.64864865 11.35135135] ; [24.35135135  9.64864865],0
p11,1,0.640839,0.217647,[21 19] ; [16 18],[20. 20.] ; [17. 17.],0
p3,1,0.773257,0.083011,[14 26] ; [13 21],[14.59459459 25.40540541] ; [12.40540541 21.59459459],0
p12,1,0.907152,0.013603,[ 1 39] ; [ 1 33],[ 1.08108108 38.91891892] ; [ 0.91891892 33.08108108],0
