Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,55.003338,[ 1 24] ; [93 22],[16.78571429  8.21428571] ; [77.21428571 37.78571429],1
r1,1,0.0,25.677835,[ 6 19] ; [88 27],[16.78571429  8.21428571] ; [77.21428571 37.78571429],1
r3,1,4e-06,21.334602,[11 14] ; [98 16],[19.60431655  5.39568345] ; [89.39568345 24.60431655],1
v4,1,8e-06,19.975529,[11 14] ; [97 17],[19.42446043  5.57553957] ; [88.57553957 25.42446043],1
a5,1,0.010757,6.505051,[ 8 17] ; [69 46],[13.75 11.25] ; [63.25 51.75],0
u3,1,0.021572,5.28,[ 4 12] ; [29 21],[8. 8.] ; [25. 25.],0
v3,1,0.049273,3.866026,[ 3 22] ; [35 76],[ 6.98529412 18.01470588] ; [31.01470588 79.98529412],0
d3,1,0.05193,3.778033,[ 9 16] ; [66 49],[13.39285714 11.60714286] ; [61.60714286 53.39285714],0
d2,1,0.067282,3.34811,[ 8 17] ; [59 54],[12.13768116 12.86231884] ; [54.86231884 58.13768116],0
a3,1,0.089359,2.885887,[ 9 15] ; [65 50],[12.77697842 11.22302158] ; [61.22302158 53.77697842],0
a7,1,0.110016,2.553996,[11 14] ; [70 44],[14.56834532 10.43165468] ; [66.43165468 47.56834532],0
d1,1,0.114086,2.496684,[ 7 18] ; [52 63],[10.53571429 14.46428571] ; [48.46428571 66.53571429],0
d4,1,0.125541,2.3468,[14 11] ; [81 32],[17.21014493  7.78985507] ; [77.78985507 35.21014493],0
a4,1,0.126001,2.341096,[ 6 19] ; [46 68],[ 9.35251799 15.64748201] ; [42.64748201 71.35251799],0
n6,1,0.160434,1.970133,[12 13] ; [72 42],[15.10791367  9.89208633] ; [68.89208633 45.10791367],0
v1,1,0.177426,1.819053,[ 6 19] ; [44 71],[ 8.92857143 16.07142857] ; [41.07142857 73.92857143],0
n2,1,0.200036,1.642109,[5 7] ; [28 17],[6.94736842 5.05263158] ; [26.05263158 18.94736842],0
p2,1,0.207132,1.591361,[10 15] ; [62 53],[12.85714286 12.14285714] ; [59.14285714 55.85714286],0
d5,1,0.223117,1.484209,[14 11] ; [79 36],[16.60714286  8.39285714] ; [76.39285714 38.60714286],0
p8,1,0.225205,1.470889,[ 4 20] ; [33 82],[ 6.38848921 17.61151079] ; [30.61151079 84.38848921],0
p12,1,0.235067,1.409936,[ 1 24] ; [  1 113],[ 0.35971223 24.64028777] ; [  1.64028777 112.35971223],0
p11,1,0.257132,1.284133,[ 8 17] ; [51 64],[10.53571429 14.46428571] ; [48.46428571 66.53571429],0
n4,1,0.285252,1.141894,[13 12] ; [73 42],[15.35714286  9.64285714] ; [70.64285714 44.35714286],0
p1,1,0.304492,1.054419,[ 3 22] ; [  7 107],[ 1.79856115 23.20143885] ; [  8.20143885 105.79856115],0
s3,1,0.305885,1.048361,[ 7 17] ; [46 68],[ 9.2173913 14.7826087] ; [43.7826087 70.2173913],0
a6,1,0.348371,0.879381,[12 13] ; [67 48],[14.10714286 10.89285714] ; [64.89285714 50.10714286],0
n5,1,0.368508,0.80869,[11 14] ; [62 53],[13.03571429 11.96428571] ; [59.96428571 55.03571429],0
p6,1,0.369103,0.806681,[ 3 20] ; [24 89],[ 4.56617647 18.43382353] ; [22.43382353 90.56617647],0
n1,1,0.409889,0.679122,[3 9] ; [17 28],[4.21052632 7.78947368] ; [15.78947368 29.21052632],0
p7,1,0.410514,0.677312,[ 8 17] ; [47 68],[ 9.82142857 15.17857143] ; [45.17857143 69.82142857],0
b1,1,0.429878,0.623153,[15 10] ; [59 56],[13.21428571 11.78571429] ; [60.78571429 54.21428571],0
p3,1,0.440956,0.593793,[ 6 18] ; [38 77],[ 7.5971223 16.4028777] ; [36.4028777 78.5971223],0
v2,1,0.447751,0.576339,[ 8 17] ; [45 67],[ 9.67153285 15.32846715] ; [43.32846715 68.67153285],0
a2,1,0.451567,0.566717,[ 3 22] ; [21 94],[ 4.28571429 20.71428571] ; [19.71428571 95.28571429],0
s2,1,0.474158,0.512271,[ 6 19] ; [35 77],[ 7.48175182 17.51824818] ; [33.51824818 78.48175182],0
a8,1,0.49351,0.468864,[ 2 22] ; [ 5 99],[ 1.3125 22.6875] ; [ 5.6875 98.3125],0
s6,1,0.499744,0.45548,[ 9 16] ; [49 64],[10.50724638 14.49275362] ; [47.49275362 65.50724638],0
p4,1,0.505286,0.443816,[ 8 17] ; [45 70],[ 9.46428571 15.53571429] ; [43.53571429 71.46428571],0
s1,1,0.508049,0.438083,[ 3 22] ; [  9 105],[ 2.15827338 22.84172662] ; [  9.84172662 104.15827338],0
b3,1,0.523251,0.40748,[ 4 14] ; [20 47],[ 5.08235294 12.91764706] ; [18.91764706 48.08235294],0
b2,1,0.523251,0.40748,[ 4 14] ; [20 47],[ 5.08235294 12.91764706] ; [18.91764706 48.08235294],0
s4,1,0.540196,0.375177,[ 5 20] ; [17 96],[ 3.98550725 21.01449275] ; [18.01449275 94.98550725],0
s7,1,0.579807,0.306547,[ 4 19] ; [24 82],[ 4.99224806 18.00775194] ; [23.00775194 82.99224806],0
s5,1,0.598148,0.277799,[ 3 22] ; [18 93],[ 3.86029412 21.13970588] ; [17.13970588 93.86029412],0
a1,1,0.723737,0.12494,[ 2 23] ; [  7 108],[ 1.60714286 23.39285714] ; [  7.39285714 107.60714286],0
u2,1,0.772397,0.08366,[7 9] ; [23 25],[7.5 8.5] ; [22.5 25.5],0
b5,1,0.83563,0.043051,[14 11] ; [67 48],[14.46428571 10.53571429] ; [66.53571429 48.46428571],0
p5,1,0.869158,0.027136,[ 1 23] ; [  4 111],[ 0.86330935 23.13669065] ; [  4.13669065 110.86330935],0
n3,1,0.876347,0.024212,[7 5] ; [24 19],[6.76363636 5.23636364] ; [24.23636364 18.76363636],0
b4,1,1.0,0.0,[15 10] ; [69 46],[15. 10.] ; [69. 46.],0
