Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.393368,[ 5 24] ; [97 29],[19.08387097  9.91612903] ; [82.91612903 43.08387097],1
r3,1,0.0,26.87844,[11 18] ; [105  20],[21.84415584  7.15584416] ; [94.15584416 30.84415584],1
r2,1,0.0,25.607522,[15 12] ; [115   9],[23.24503311  3.75496689] ; [106.75496689  17.24503311],1
n6,1,7e-06,20.320981,[ 7 21] ; [89 37],[17.45454545 10.54545455] ; [78.54545455 47.45454545],1
s6,1,2.1e-05,18.118677,[ 4 25] ; [71 52],[14.30921053 14.69078947] ; [60.69078947 62.30921053],1
p2,1,8.3e-05,15.485084,[ 6 23] ; [77 49],[15.52903226 13.47096774] ; [67.47096774 58.52903226],1
p9,1,0.000218,13.666517,[ 7 21] ; [75 43],[15.7260274 12.2739726] ; [66.2739726 51.7260274],1
a1,1,0.000248,13.427057,[ 7 22] ; [  5 121],[ 2.24516129 26.75483871] ; [  9.75483871 116.24516129],1
d5,1,0.000482,12.185625,[13 16] ; [96 28],[20.66013072  8.33986928] ; [88.33986928 35.66013072],1
p10,1,0.000785,11.27619,[ 6 22] ; [68 52],[14. 14.] ; [60. 60.],1
s2,1,0.001093,10.662261,[ 4 25] ; [59 67],[11.78709677 17.21290323] ; [51.21290323 74.78709677],0
d3,1,0.001127,10.606723,[ 9 20] ; [79 44],[16.78947368 12.21052632] ; [71.21052632 51.78947368],0
r1,1,0.001333,10.29644,[12 17] ; [90 34],[19.33333333  9.66666667] ; [82.66666667 41.33333333],0
s8,1,0.001386,10.224184,[ 1 28] ; [41 84],[ 7.90909091 21.09090909] ; [34.09090909 90.90909091],0
n3,1,0.001455,10.134958,[ 4 13] ; [37 18],[9.68055556 7.31944444] ; [31.31944444 23.68055556],0
s7,1,0.002812,8.925632,[ 3 24] ; [50 70],[ 9.73469388 17.26530612] ; [43.26530612 76.73469388],0
v2,1,0.003003,8.805615,[ 4 24] ; [54 67],[10.89932886 17.10067114] ; [47.10067114 73.89932886],0
s3,1,0.003801,8.376731,[ 6 22] ; [64 60],[12.89473684 15.10526316] ; [57.10526316 66.89473684],0
u3,1,0.022592,5.199608,[ 2 13] ; [20 23],[5.68965517 9.31034483] ; [16.31034483 26.68965517],0
b5,1,0.023194,5.153941,[12 17] ; [81 45],[17.4 11.6] ; [75.6 50.4],0
p8,1,0.025878,4.964176,[ 2 26] ; [33 90],[ 6.49006623 21.50993377] ; [28.50993377 94.49006623],0
d1,1,0.025896,4.962931,[ 7 22] ; [59 67],[12.3483871 16.6516129] ; [53.6516129 72.3483871],0
a5,1,0.028823,4.778125,[12 17] ; [80 46],[17.21290323 11.78709677] ; [74.78709677 51.21290323],0
p7,1,0.030149,4.700787,[ 5 24] ; [47 75],[ 9.98675497 19.01324503] ; [42.01324503 79.98675497],0
a6,1,0.0313,4.63643,[12 17] ; [79 46],[17.13636364 11.86363636] ; [73.86363636 51.13636364],0
p1,1,0.041375,4.160607,[ 4 25] ; [  5 121],[ 1.68387097 27.31612903] ; [  7.31612903 118.68387097],0
s5,1,0.050369,3.829118,[ 3 26] ; [33 86],[ 7.05405405 21.94594595] ; [28.94594595 90.05405405],0
d4,1,0.050772,3.815786,[16 13] ; [92 33],[20.33766234  8.66233766] ; [87.66233766 37.33766234],0
n2,1,0.052301,3.766125,[ 7 10] ; [39 19],[10.42666667  6.57333333] ; [35.57333333 22.42666667],0
p4,1,0.054012,3.712336,[ 4 25] ; [39 84],[ 8.20394737 20.79605263] ; [34.79605263 88.20394737],0
a7,1,0.054196,3.706659,[15 14] ; [88 37],[19.3961039  9.6038961] ; [83.6038961 41.3961039],0
u2,1,0.059047,3.563945,[ 3 12] ; [21 23],[6.10169492 8.89830508] ; [17.89830508 26.10169492],0
s1,1,0.060656,3.519361,[ 5 24] ; [  8 116],[ 2.46405229 26.53594771] ; [ 10.53594771 113.46405229],0
n4,1,0.090142,2.871834,[21  8] ; [69 56],[16.94805195 12.05194805] ; [73.05194805 51.94805195],0
a2,1,0.110262,2.550466,[ 3 26] ; [30 96],[ 6.17419355 22.82580645] ; [26.82580645 99.17419355],0
p6,1,0.117659,2.448215,[ 2 26] ; [24 99],[ 4.82119205 23.17880795] ; [ 21.17880795 101.82119205],0
v3,1,0.123907,2.367228,[ 5 24] ; [38 82],[ 8.36912752 20.63087248] ; [34.63087248 85.36912752],0
a3,1,0.130363,2.288172,[14 14] ; [81 43],[17.5 10.5] ; [77.5 46.5],0
s4,1,0.173154,1.855419,[ 3 26] ; [27 99],[ 5.61290323 23.38709677] ; [ 24.38709677 101.61290323],0
a4,1,0.176752,1.824721,[ 8 20] ; [53 72],[11.16339869 16.83660131] ; [49.83660131 75.16339869],0
v1,1,0.195989,1.672018,[ 7 22] ; [46 79],[ 9.98051948 19.01948052] ; [43.01948052 81.98051948],0
b1,1,0.251955,1.312433,[17 12] ; [59 67],[14.21935484 14.78064516] ; [61.78064516 64.21935484],0
n5,1,0.309038,1.034782,[20  9] ; [74 52],[17.58709677 11.41290323] ; [76.41290323 49.58709677],0
b2,1,0.379386,0.77269,[ 9 12] ; [19 40],[ 7.35 13.65] ; [20.65 38.35],0
b3,1,0.379386,0.77269,[ 9 12] ; [19 40],[ 7.35 13.65] ; [20.65 38.35],0
n1,1,0.584665,0.298753,[ 7 10] ; [19 37],[ 6.05479452 10.94520548] ; [19.94520548 36.05479452],0
b4,1,0.747739,0.103441,[14 15] ; [65 61],[14.78064516 14.21935484] ; [64.21935484 61.78064516],0
d2,1,0.851656,0.034971,[12 16] ; [56 69],[12.44444444 15.55555556] ; [55.55555556 69.44444444],0
p5,1,0.915899,0.011152,[ 1 27] ; [  5 120],[ 1.09803922 26.90196078] ; [  4.90196078 120.09803922],0
a8,1,0.965762,0.001842,[ 3 26] ; [ 12 101],[ 3.06338028 25.93661972] ; [ 11.93661972 101.06338028],0
